TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Trans,LIFE_CYCLE,AirBreather,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID,TSN,ParTSN
Chironomidae,FALSE,4,4_middle,CG,BU,,,"uni,multi",FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,,,6,Collector,Sprawler,63,127917,125808
Chironomini,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,,8,Collector,Sprawler,1607,129229,
Chironomus,FALSE,4,4_worse,CG,BU,,,uni,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Chironomus,10,Collector,Burrower,64,129254,129229
Chloroperlidae,FALSE,3,,PR,CN,CS,coarse,uni,FALSE,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,Chloroperlidae,1,Predator,Clinger,1735,103202,
Choroterpes,FALSE,3,,CG,CN,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,,Choroterpes,1,Collector,Clinger,2005,101108,
Chromagrion conditum,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Chromagrion,4,Predator,Climber,2114,102134,102133
Chrysomelidae,FALSE,,,SH,CN,,,,FALSE,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,,6,Shredder,Clinger,229,114509,114496
Chrysops,FALSE,4,4_middle,PR,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Tabanidae,,,Chrysops,6,Shredder,Burrower,1955,131078,
Cladocera,FALSE,,,,,,,,FALSE,Arthropoda,Branchiopoda,,,,,,8,,,14562,,
Cladopelma,FALSE,4,4_middle,CG,BU,NF,pool,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cladopelma,8,Collector,Clinger,1610,129350,129229
Cladotanytarsus,FALSE,4,4_middle,CG,CB,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Tanytarsini,Cladotanytarsus,7,Collector,Climber,391,129873,129872
Clathrosperchon,FALSE,,,,,,,,FALSE,Arthropoda,Arachnida,Trombidiformes,Rhynchohydracaridae,,,Clathrosperchon,6,Predator,Climber,10699,83177,
Clinocera,FALSE,4,4_middle,PR,CN,CS,coarse,uni,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,Clinocera,6,Predator,Sprawler,67,135849,135844
Clinotanypus,FALSE,4,4_middle,PR,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Clinotanypus,8,Predator,Sprawler,424,127996,127995
Cloeon,FALSE,,,CG,SW,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Cloeon,3,Collector,Clinger,1968,100756,100755
Coelotanypus,FALSE,4,4_middle,PR,BU,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Coelotanypus,6,Predator,Sprawler,1613,128010,128010
Coenagrion,FALSE,4,4_worse,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Coenagrion,6,Predator,Climber,2115,102155,102155
Coenagrionidae,FALSE,4,4_worse,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,6,Predator,Climber,2121,102077,
Coleoptera,FALSE,,,NA,NA,,,,FALSE,Arthropoda,Insecta,Coleoptera,Coleoptera,,,,4,Predator,Swimmer,222,109216,109215
Collembola,FALSE,4,4_middle,CG,NA,,,,FALSE,Arthropoda,Insecta,Collembola,Collembola,,,,10,Collector,Unidentified,211,99237,99209
Colymbetes,FALSE,,,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Colymbetes,4,Predator,Swimmer,1519,112379,112379
Conchapelopia,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Conchapelopia,6,Predator,Sprawler,1614,128130,128078
Constempellina,FALSE,,,CG,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Tanytarsini,Constempellina,6,Collector,Sprawler,1615,129884,129872
Copelatus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Copelatus,8,Predator,Swimmer,3267,112561,
Copepoda,FALSE,,,,,,,,FALSE,Arthropoda,Copepoda,,,,,,8,,,14430,,
Coptotomus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Coptotomus,8,Predator,Swimmer,1520,112371,112371
Corbicula fluminea,FALSE,6m,,CF,BU,,,multi,FALSE,Mollusca,Pelecypoda,Unionoida,Corbiculidae,,,Corbicula,6,Filterer,Burrower,2259,81387,81385
Cordulia,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Odonata,Corduliidae,,,Cordulia,4,Predator,Climber,1693,102014,102014
Corduliidae,FALSE,4,4_middle,PR,CB,,,uni,FALSE,Arthropoda,Insecta,Odonata,Corduliidae,,,,4,Predator,Climber,1697,102020,
Cordylophora lacustris,FALSE,,,,,,,,FALSE,Coelenterata,Hydrozoa,Hydroida,Clavidae,,,Cordylophora,5,Filterer,Clinger,2163,48894,
Corisella,FALSE,4,4_middle,PR,SW,,,multi,FALSE,Arthropoda,Insecta,Heteroptera,Corixidae,,,Corisell,9,Predator,Swimmer,3257,103484,
Corixidae,FALSE,4,4_middle,PR,SW,,,multi,TRUE,Arthropoda,Insecta,Hemiptera,Corixidae,,,,10,Predator,Swimmer,2031,103364,103364
Corydalidae,FALSE,4,4_middle,PR,CN,,,"semi,uni",FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,,4,Predator,Climber,2090,115023,
Corydalus,FALSE,4,4_middle,PR,CN,CS,coarse,"semi,uni",FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,Corydalus,4,Predator,Climber,2089,115033,115023
Corydalus cornutus,FALSE,4,4_middle,PR,CN,,,"semi,uni",FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,Corydalus,4,Predator,Climber,2088,115034,115033
Corynoneura,FALSE,4,4_middle,CG,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Corynoneura,3,Collector,Sprawler,1616,128563,128457
Crambidae,FALSE,3,,SH,BU,,,,FALSE,Arthropoda,Insecta,Lepidoptera,Crambidae,,,,5,Shredder,Burrower,7860,693963,
Crangonyx,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Arthropoda,Crustacea,Amphipoda,Crangonyctidae,,,Crangonyx,2,Collector,Swimmer,1486,95081,95080
Crangonyx gracilis,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Arthropoda,Crustacea,Amphipoda,Crangonyctidae,,,Crangonyx,2,Collector,Swimmer,1485,95086,95081
Cricotopus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,7,Shredder,Sprawler,1623,128575,128457
Cricotopus (Cricotopus),FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,,,,,,
Cricotopus (Isocladius),FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,7,Scraper,Sprawler,1617,568515,128575
Cricotopus bicinctus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,7,Collector,Sprawler,1618,128583,128575
Cricotopus cylindraceus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,7,Collector,Sprawler,1619,128589,
Cricotopus fuscus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,8,Collector,Sprawler,1620,128669,128575
Cricotopus intersectus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,8,Collector,Sprawler,1621,128614,128575
Cricotopus laricomalis,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,9,Collector,Sprawler,1622,128619,
Cricotopus Sylvestris Group,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,8,Collector,Sprawler,1624,128645,128575
Cricotopus tibialis,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,5,Collector,Sprawler,1625,128647,
Cricotopus Tremulus Group,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,5,Shredder,Sprawler,1626,128651,128575
Cricotopus triannulatus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,6,Collector,Sprawler,1627,128653,128575
Cricotopus tricinctus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,4,Collector,Sprawler,1628,128656,128575
Cricotopus trifascia,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,4,Collector,Sprawler,1629,128659,128575
Cricotopus trifasciatus,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,6,Collector,Sprawler,1630,128661,
Cricotopus vierriensis,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,4,Collector,Sprawler,1631,128666,128575
Cricotopus/Orthocladius,FALSE,4,4_middle,"SH,CG",CN,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,,,,,,,
Cryphocricos,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Hemiptera,Naucoridae,,,Cryphocricos,6,Collector,Swimmer,2050,103675,
Cryptochironomus,FALSE,4,4_worse,PR,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cryptochironomus,8,Predator,Sprawler,1633,1239368,129229
Cryptochironomus fulvus,FALSE,4,4_worse,PR,SP,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cryptochironomus,8,Predator,Sprawler,3232,129376,129368
Cryptotendipes,FALSE,4,4_middle,CG,"BU,SP",NF,pool,uni,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cryptotendipes,6,Collector,Sprawler,1634,129394,129229
Culex,FALSE,4,4_worse,CF,SW,RM,root_mat,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1915,126455,126455
Culex pipiens,FALSE,4,4_worse,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1911,126488,
Culex quinquefasciatus,FALSE,4,4_worse,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1912,126490,126455
Culex restuans,FALSE,4,4_worse,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1913,126493,
Culex salinarius,FALSE,4,4_worse,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1914,126495,
Culex tarsalis,FALSE,4,4_worse,CF,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,Culex,9,Filterer,Swimmer,1916,126498,
Culicidae,FALSE,4,4_middle,CG,SW,,,multi,TRUE,Arthropoda,Insecta,Diptera,Culicidae,,,,8,Predator,Swimmer,332,125930,125808
Culicoides,FALSE,4,4_middle,PR,BU,,,uni,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,Culicoides,8,Collector,Sprawler,1584,127340,
Culoptila,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,,Culoptila,,,,16303,,
Cura foremanii,FALSE,,,"CG,PR",SP,,,,FALSE,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,,Cura,1,Collector,Sprawler,2287,54554,
Curculionidae,FALSE,4,4_middle,SH,CN,,,uni,FALSE,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,6,Shredder,Climber,1513,114666,
Cybister,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Cybister,5,Predator,Swimmer,224,112364,111963
Cymbiodyta,FALSE,4,4_middle,CG,"BU,SW",,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Cymbiodyta,6,Collector,Burrower,1552,113017,
Cymbiodyta toddi,FALSE,4,4_middle,CG,"BU,SW",,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Cymbiodyta,6,Collector,Burrower,1553,113024,113017
Cyphomella,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cyphomella,4,Collector,Sprawler,1635,129405,
Cyphon,FALSE,4,4_middle,SC,CB,,,,TRUE,Arthropoda,Insecta,Coleoptera,Scirtidae,,,Cyphon,6,Scraper,Climber,1567,113948,113923
Cyrnellus,FALSE,4,4_worse,CF,CN,,,uni,FALSE,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,,Cyrnellus,4,Filterer,Clinger,2144,117091,
Cyrnellus fraternus,FALSE,4,4_worse,CF,CN,SG,snag,uni,FALSE,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,,Cyrnellus,4,Filterer,Clinger,2143,117092,117091
Dactylobaetis,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Dactylobaetis,2,Shredder,Swimmer,1969,100942,
Dannella,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,,2,Scraper,Clinger,341,101360,
Dasyhelea,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,Dasyhelea,6,Collector,Sprawler,1585,127278,127278
Dasyheleinae,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyheleinae,,,,,,,,
Decapoda,FALSE,,,"SC,SH",SP,,,,FALSE,Arthropoda,Crustacea,Decapoda,,,,Decapoda,,Scraper,Sprawler,1500,95599,95495
Demicryptochironomus,FALSE,,,CG,BU,CS,coarse,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Demicryptochironomus,3,Collector,Burrower,1636,129421,129229
Dero,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,9,Collector,Clinger,413,68898,68854
Dero digitata,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,9,Collector,Clinger,1405,68904,68898
Dero dorsalis,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,8,Collector,Clinger,1406,68906,
Dero furcata,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,9,Collector,Clinger,1407,68912,68898
Dero lodeni,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,6,Collector,Clinger,1408,68924,68898
Dero nivea,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,9,Collector,Clinger,1409,68900,68898
Dero vaga,FALSE,4,4_middle,CG,BU,,,multi,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Dero,6,Collector,Clinger,1411,68915,68898
Deronectes,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Deronectes,6,Predator,Swimmer,1521,112153,111963
Desmopachria,FALSE,4,4_middle,PR,SW,,,multi,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Desmopachria,4,Predator,Swimmer,10283,112145,
Desserobdella picta,FALSE,,,,,,,,FALSE,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,,,Desserobdella,6,Predator,Clinger,3926,69362,
Diamesa,FALSE,3,,CG,SP,CS,coarse,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,,Diamesa,2,Collector,Sprawler,1637,128355,128351
Dibolocelus,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Dibolocelus,8,Collector,Swimmer,1554,113085,
Dicranomyia,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Dicranomyia,,,,,,
Dicranota,FALSE,4,4_middle,PR,"SP,BU",,,uni,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Dicranota,3,Predator,Sprawler,71,121027,121026
Dicrotendipes,FALSE,4,4_worse,CG,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Dicrotendipes,6,Collector,Clinger,392,129428,129229
Dicrotendipes neomodestus,FALSE,4,4_worse,CG,BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Decrotendipes,6,Collector,Climber,3236,129450,129428
Dictya,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Diptera,Sciomyzidae,,,Dictya,6,Predator,Sprawler,1938,144789,
Didymops,FALSE,4,4_middle,PR,SP,,,semi,FALSE,Arthropoda,Insecta,Odonata,Macromiidae,,,Didymops,6,Predator,Sprawler,1726,101851,101851
Didymops transversa,FALSE,4,4_middle,PR,SP,,,semi,FALSE,Arthropoda,Insecta,Odonata,Macromiidae,,,Didymops,6,Predator,Sprawler,1727,101852,101851
Dina,FALSE,,,,,,,,FALSE,Annelida,Hirudinea,Pharyngobdellida,Erpobdellidae,,,Dina,8,Predator,Clinger,1378,69439,69438
Dineutus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Gyrinidae,,,Dineutus,4,Predator,Skater,226,112711,112653
Diplectrona,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Diplectrona,0,Filterer,Clinger,1787,115399,115398
Diplocladius,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Diplocladius,8,Collector,Sprawler,1641,128670,128457
Diplocladius cultriger,FALSE,4,4_middle,CG,SP,,,uni,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Diplocladius,8,Collector,Sprawler,1640,128670,128670
Diptera,FALSE,,,NA,CB,,,,FALSE,Arthropoda,Insecta,Diptera,Diptera,,,,10,,,329,118831,109215
Disonycha,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,Disonycha,8,Shredder,Clinger,3269,114615,
Dixa,FALSE,3,,CG,CB,,,uni,FALSE,Arthropoda,Insecta,Diptera,Dixidae,,,Dixa,6,Collector,Sprawler,1919,125810,128510
Dixella,FALSE,4,4_middle,CG,SW,RM,root_mat,uni,FALSE,Arthropoda,Insecta,Diptera,Dixidae,,,Dixella,6,Collector,Sprawler,1920,125854,125854
Dixidae,FALSE,4,4_middle,CG,SW,,,,FALSE,Arthropoda,Insecta,Diptera,Dixidae,,,,6,Collector,Sprawler,1921,125809,
Dolichopodidae,FALSE,4,4_middle,PR,"SP,BU",,,,TRUE,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,5,Predator,Sprawler,1922,136824,
Dromogomphus,FALSE,4,4_better,PR,BU,,,semi,FALSE,Arthropoda,Insecta,Odonata,Gomphidae,,,Dromogomphus,6,Predator,Burrower,1699,101730,101730
Dryopidae,FALSE,4,4_middle,"SC,SH","CN,CB",,,,FALSE,Arthropoda,Insecta,Coleoptera,Dryopidae,,,,6,Shredder,Climber,1516,113999,
Dubiraphia,FALSE,4,4_middle,"CG,SC",CN,,,"semi,uni",FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Dubiraphia,6,Collector,Clinger,72,114126,114093
Dubiraphia vittata,FALSE,4,4_middle,"CG,SC",CN,,,"semi,uni",FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Dubiraphia,6,Collector,Clinger,3883,114131,114126
Dugesia,FALSE,4,4_middle,"CG,PR",SP,,,,FALSE,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,,Dugesia,8,Collector,Sprawler,2289,54503,54502
Dugesia tigrina,FALSE,4,4_middle,"CG,PR",SP,,,,FALSE,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,,Dugesia,8,Collector,Sprawler,2290,54504,54503
Dytiscidae,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,5,Predator,Swimmer,1534,111963,109226
Dytiscus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Dytiscus,4,Predator,Swimmer,1522,112118,
Eccoptura,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,,,Eccoptura,1,Predator,Clinger,1747,102939,
Ecdyonurinae,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Ecdyonurinae,,,,,,,,
Einfeldia,FALSE,,,CG,BU,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Einfeldia,8,Collector,Sprawler,1642,129459,129229
Elliptio dilatata,FALSE,,,,,,,,FALSE,Mollusca,Pelecypoda,Unionoida,Unionidae,,,Elliptio,4,Filterer,Burrower,2222,79953,
Elmidae,FALSE,4,4_middle,CG,CN,,,semi,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Elmidae,5,Collector,Climber,1539,114093,113998
Elodes,FALSE,,,,,,,,TRUE,Arthropoda,Insecta,Coleoptera,Scirtidae,,,Elodes,6,Scraper,Climber,1568,113969,113923
Empididae,FALSE,4,4_middle,PR,SP,,,,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,,8,Collector,Sprawler,1923,135830,
Enallagma,FALSE,4,4_worse,PR,CB,RM,root_mat,multi,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Enallagma,9,Predator,Climber,2117,102102,102102
Enallagma praevarum,FALSE,4,4_worse,PR,CB,,,multi,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Enallagma,9,Predator,Climber,2116,102127,
Enchytraeidae,FALSE,4,4_middle,CG,BU,,,,FALSE,Annelida,Oligochaeta,Tubificida,Enchytraeidae,,,,9,Collector,Burrower,425,68510,68509
Enchytraeus,FALSE,,,,,,,,FALSE,Annelida,Oligochaeta,Tubificida,Enchytraeidae,,,Enchytraeus,9,Collector,Burrower,6559,68531,
Endochironomus,FALSE,4,4_worse,SH,CN,SG,snag,multi,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Endochironomus,9,Shredder,Sprawler,426,129470,129229
Enochrus,FALSE,4,4_worse,CG,"BU,SW",SG,snag,uni,TRUE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Enochrus,5,Collector,Burrower,1555,112973,112811
Epeorus,FALSE,,,,,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,Epeorus,0,Scraper,Clinger,74,100626,100504
Ephemera,FALSE,4,4_middle,CG,BU,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,,Ephemera,4,Collector,Burrower,1978,101526,101525
Ephemerella,FALSE,3,,CG,CN,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,Ephemerella,1,Collector,Clinger,75,101233,101232
Ephemerella Excrucians Group,FALSE,3,,CG,CN,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,Ephemerella,4,Collector,Sprawler,16305,,
Ephemeroptera,FALSE,,,CG,NA,,,,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemeroptera,,,,3,Collector,Clinger,76,100502,100500
Ephoron,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,,,Ephoron,2,Collector,Burrower,2016,101572,101570
Ephoron album,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,,,Ephoron,2,Collector,Burrower,2014,101571,101570
Ephoron leukon,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,,,Ephoron,2,Collector,Burrower,2015,101570,101570
Ephydra,FALSE,5,,"CG,SH",BU,,,multi,FALSE,Arthropoda,Insecta,Diptera,Ephydridae,,,Ephydra,8,Collector,Sprawler,1924,147486,147486
Ephydridae,FALSE,5,,CG,BU,,,,FALSE,Arthropoda,Insecta,Diptera,Ephydridae,,,,6,Collector,Sprawler,1928,146893,
Epitheca,FALSE,4,4_middle,PR,CB,RM,,uni,FALSE,Arthropoda,Insecta,Odonata,Cordulegastridae,,,Epitheca,8,Predator,Sprawler,1691,102035,102035
Epitheca princeps,FALSE,4,4_middle,PR,CB,RM,,uni,FALSE,Arthropoda,Insecta,Odonata,Cordulegastridae,,,Epitheca,8,Predator,Sprawler,1690,185985,102035
Epoicocladius,FALSE,,,"CG,PA",,,,,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Epiococladius,3,Collector,Sprawler,1644,128682,128682
Erioptera,FALSE,4,4_middle,CG,"BU,SP",,,uni,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Erioptera,6,Shredder,Burrower,1959,120503,120503
Eristalis,FALSE,,,CG,BU,,,,TRUE,Arthropoda,Insecta,Diptera,Syrphidae,,,Eristalis,10,Shredder,Burrower,1953,140904,
Erpetogomphus,FALSE,4,4_middle,PR,BU,,,semi,FALSE,Arthropoda,Insecta,Odonata,Gomphidae,,,Erpetogomphus,6,Predator,Burrower,1701,101725,101729
Erpobdella,FALSE,4,4_worse,PR,SP,,,,FALSE,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,,,Erpobdella,5,Predator,Clinger,1376,69444,69444
Erpobdella microstoma,FALSE,4,4_worse,PR,SP,,,,FALSE,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,,,Erpobdella,10,Predator,Clinger,14445,,
Erpobdella punctata,FALSE,4,4_worse,PR,SP,,,,FALSE,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,,,Erpobdella,8,Predator,Swimmer,343,69445,69444
Erpobdellidae,FALSE,4,4_worse,PR,SP,,,uni,FALSE,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,,,,10,Predator,Clinger,185,69438,69437
Erythemis,FALSE,4,4_middle,PR,"CB,SP",RM,root_mat,"multi,uni",FALSE,Arthropoda,Insecta,Odonata,Libellulidae,,,Erythemis,7,Predator,Climber,1715,101865,101865
