TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,THERMAL_INDICATOR,COLD_IA,ColdWaterIndicatorTaxa,HABSTRUCT,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
CERACLEA CANCELLATA,Species,FALSE,4,4_middle,CG,"CN,SP",uni,FALSE,3,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,CERACLEA,CANCELLATA,Longhorned Case Maker Caddisflies,1058
NECTOPSYCHE ALBIDA,Species,FALSE,4,4_middle,SH,"CB,SP",uni,FALSE,3,SH,Shredder,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,NECTOPSYCHE,ALBIDA,Longhorned Case Maker Caddisflies,1059
OPTIOSERVUS FASTIDITUS,Species,FALSE,4,4_middle,SC,CN,semi,FALSE,4,SC,Scraper,UN,Unidentified,cold,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,OPTIOSERVUS,FASTIDITUS,Riffle Beetles,106
TRIAENODES MARGINATUS,Species,FALSE,3,,SH,SW,uni,FALSE,6,SH,Shredder,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,TRIAENODES,MARGINATUS,Longhorned Case Maker Caddisflies,1060
SIPHLONURUS MARSHALLI,Species,FALSE,,,CG,SW,uni,FALSE,7,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,SIPHLONURIDAE,,SIPHLONURUS,MARSHALLI,,1063
PARALEPTOPHLEBIA PRAEPEDITA,Species,FALSE,3,,CG,SW,uni,FALSE,1,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,PARALEPTOPHLEBIA,PRAEPEDITA,Pronggilled Mayflies,1064
RAPTOHEPTAGENIA CRUENTATA,Species,FALSE,,,PR,SW,uni,FALSE,3.1,PR,Predator,SW/CN,Swimmer/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,RAPTOHEPTAGENIA,CRUENTATA,Flatheaded Mayflies,1066
ALASMIDONTA MARGINATA,Species,FALSE,,,NA,BU,NA,FALSE,6,CF,Filterer,UN,Unidentified,,0,FALSE,,MOLLUSCA,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,UNIONIDAE,,ALASMIDONTA,MARGINATA,Mussels,1068
HELOBDELLA TRISERIALIS,Species,FALSE,4,4_worse,PR,SP,multi,FALSE,7,PA,Parasite,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,HELOBDELLA,TRISERIALIS,Leeches,1069
STENELMIS,Genus,FALSE,4,4_middle,SC,CN,"semi,uni",FALSE,5,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,STENELMIS,,Riffle Beetles,107
SOMATOCHLORA LINEARIS,Species,FALSE,4,4_middle,PR,"SP,CB","semi,uni",FALSE,1,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,SOMATOCHLORA,LINEARIS,Greeneyed Skimmers,1070
SIPHLOPLECTON INTERLINEATUM,Species,FALSE,,,"CG,PR","SW,CN",uni,FALSE,2,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,METRETOPODIDAE,,SIPHLOPLECTON,INTERLINEATUM,Cleftfooted Minnow Mayflies,1072
SYMPETRUM,Genus,FALSE,4,4_middle,PR,SP,uni,FALSE,10,PR,Predator,CB/SP,Climber/Sprawler,,0,FALSE,,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,SYMPETRUM,,Skimmer Dragonflies,1073
BASIAESCHNA JANATA,Species,FALSE,4,4_better,PR,"CB,CN",uni,FALSE,6,PR,Predator,CB/SP,Climber/Sprawler,,0,FALSE,RM,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,BASIAESCHNA,JANATA,Darner Dragonflies,1074
EMPIDIDAE,Family,FALSE,4,4_middle,PR,SP,NA,FALSE,6,PR,Predator,sp/bu,Sprawler/Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,EMPIDIDAE,,,,Dance Flies,175
HEMERODROMIA,Genus,FALSE,4,4_middle,PR,SP,"multi,uni",FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,EMPIDIDAE,,HEMERODROMIA,,Dance Flies,176
EPHYDRIDAE,Family,FALSE,5,,CG,BU,NA,FALSE,6,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,EPHYDRIDAE,,,,"Shore Flies, Brine Flies",177
PARYDRA,Genus,FALSE,,,SC,BU,multi,FALSE,6,SC,Scraper,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,EPHYDRIDAE,,PARYDRA,,"Shore Flies, Brine Flies",178
MUSCIDAE,Family,FALSE,4,4_middle,PR,SP,NA,FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,MUSCIDAE,,,,"Face Flies, Horn Flies, House Flies",179
SIMULIIDAE,Family,FALSE,4,4_middle,CF,CN,uni,FALSE,5.5,CF,Filterer,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,,,Black Flies,180
CNEPHIA,Genus,FALSE,4,4_middle,CF,NA,uni,FALSE,4,CF,Filterer,UN,Unidentified,,0,FALSE,SG,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,CNEPHIA,,Black Flies,181
PROSIMULIUM,Genus,FALSE,3,,CF,CN,uni,FALSE,3.6,CF,Filterer,UN,Unidentified,,0,FALSE,CS,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,PROSIMULIUM,,Black Flies,182
SIMULIUM,Genus,FALSE,4,4_middle,CF,CN,multi,FALSE,5.5,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,SIMULIUM,,Black Flies,183
SIMULIUM AUREUM,Species,FALSE,4,4_middle,CF,CN,multi,FALSE,7,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,SIMULIUM,AUREUM,Black Flies,184
SIMULIUM JENNINGSI/LUGGERI,Species,FALSE,4,4_middle,CF,CN,multi,FALSE,4.5,CF,Filterer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,SIMULIUM,JENNINGSI/LUGGERI,Black Flies,185
SIMULIUM TUBEROSUM,Species,FALSE,4,4_middle,CF,CN,multi,FALSE,4,CF,Filterer,cn,Clinger,cold,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,SIMULIIDAE,,SIMULIUM,TUBEROSUM,Black Flies,186
ERPOBDELLA OBSCURA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,8,PA,Parasite,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIDAE,,ERPOBDELLA,OBSCURA,Leeches,19
TABANIDAE,Family,FALSE,4,4_middle,PR,SP,uni,FALSE,6,PR,Predator,sp/bu,Sprawler/Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,,,"Horse Flies, Deer Flies",192
CHRYSOPS,Genus,FALSE,4,4_middle,PR,SP,uni,FALSE,6,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,CHRYSOPS,,"Horse Flies, Deer Flies",193
TABANUS,Genus,FALSE,4,4_middle,PR,SP,uni,FALSE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,TABANUS,,"Horse Flies, Deer Flies",194
TABANUS/ATYLOTUS,Genus,FALSE,,,PR,SP,NA,FALSE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,TABANUS/ATYLOTUS,,"Horse Flies, Deer Flies",195
TIPULIDAE,Family,FALSE,4,4_middle,SH,BU,uni,FALSE,3.5,SH,Shredder,bu,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,,Crane Flies,196
ANTOCHA,Genus,FALSE,3,,CG,CN,multi,FALSE,3,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,ANTOCHA,,Crane Flies,197
DICRANOTA,Genus,FALSE,4,4_middle,PR,"SP,BU",uni,FALSE,3,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,DICRANOTA,,Crane Flies,198
ERIOPTERA,Genus,FALSE,4,4_middle,CG,"BU,SP",uni,FALSE,7,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,ERIOPTERA,,Crane Flies,199
HIRUDINEA,Subclass,FALSE,4,4_worse,PR,SP,semi,FALSE,7.5,UN,Unidentified,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,,,,,,Leeches,2
HEXATOMA,Genus,FALSE,3,,PR,BU,uni,FALSE,2,PR,Predator,bu/sp,Burrower/Sprawler,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,HEXATOMA,,Crane Flies,200
LIMONIA,Genus,FALSE,4,4_middle,SH,BU,uni,FALSE,6,SH,Shredder,bu,Burrower,,0,FALSE,SG,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,LIMONIA,,Crane Flies,201
ORMOSIA,Genus,FALSE,4,4_middle,CG,BU,uni,FALSE,4.6,CG,Collector/Gatherer,bu,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,ORMOSIA,,Crane Flies,202
PILARIA,Genus,FALSE,4,4_middle,PR,BU,uni,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,PILARIA,,Crane Flies,203
TIPULA,Genus,FALSE,4,4_middle,SH,BU,uni,FALSE,4,SH,Shredder,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,TIPULA,,Crane Flies,204
EPHEMEROPTERA,Order,FALSE,,,CG,NA,NA,FALSE,,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,,,,,Mayflies,205
BAETIDAE,Family,FALSE,4,4_middle,CG,SW,multi,FALSE,4.8,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,,Small Minnow Mayflies,206
ACENTRELLA,Genus,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,4.2,CG,Collector/Gatherer,SW/CN,Swimmer/Clinger,,0,FALSE,CS,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,,Small Minnow Mayflies,207
