Taxon_Group,Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Coleoptera,Agabinus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabinus glabrellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabinus sculpturellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,
Coleoptera,Agabus,FALSE,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus lutosus,FALSE,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus seriatus group,FALSE,,Agabinae,Agabus,Agabus,DNI,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,
Coleoptera,Agabus/Ilybius/Platambus/Ilybiosoma,FALSE,,Agabinae,Agabinae,Agabinae,DNI,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,
Trichoptera,Agapetus,FALSE,,Agapetus,Agapetus,Agapetus,Agapetus,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Agapetinae,,,Agapetus,,,,,
Diptera,Agathon,FALSE,,Blephariceridae,Agathon,Agathon,Blephariceridae,121230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,
Diptera,Agathon comstocki,FALSE,,Blephariceridae,Agathon comstocki,Agathon comstocki,Blephariceridae,121237,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,comstocki
Trichoptera,Agraylea,FALSE,,Agraylea,Agraylea,Agraylea,DNI,115635,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,
Other Non-Insect,Albertathyas,FALSE,,DNI,Albertathyas,Trombidiformes,DNI,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,
Other Non-Insect,Albertathyas montana,FALSE,,DNI,Albertathyas montana,Trombidiformes,DNI,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana
Chironomidae,Allocladius,FALSE,,DNI,Allocladius,Allocladius,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Allocladius,,,,,
Trichoptera,Allocosmoecus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,
Trichoptera,Allocosmoecus partitus,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,Allocosmoecus partitus,DNI,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,
Diptera,Allognosta,FALSE,,Stratiomyidae,Allognosta,Allognosta,DNI,130160,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Beridinae,,,Allognosta,,,,,
Trichoptera,Allomyia,FALSE,,DNI,Allomyia,Allomyia,DNI,116438,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,Allomyia,,,,,
Plecoptera,Alloperla,FALSE,,DNI,Alloperla,Alloperla,DNI,103203,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,,,Alloperla,,,,,
Chironomidae,Alotanypus,FALSE,,Alotanypus,Alotanypus,Alotanypus,DNI,206646,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Alotanypus,,,,,
Chironomidae,Alotanypus/Apsectrotanypus,FALSE,,DNI,Tanypodinae,Tanypodinae,DNI,127994,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,,,,,,,
Oligochaeta,Altmanella,FALSE,,Lumbriculidae,Altmanella,Oligochaeta,Lumbriculidae,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
Heteroptera,Ambrysus,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103614,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Naucoridae,Ambrysinae,,,Ambrysus,,,,,
Ephemeroptera,Ameletus,FALSE,,Ameletus,Ameletus,Ameletus,Ameletus,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,
Other Non-Insect,Americorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Americorophium spinicorne,FALSE,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Coleoptera,Ametor,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Coleoptera,Ametor latus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Coleoptera,Ametor scabrosus,FALSE,,Hydrophilidae,Ametor,Ametor,Hydrophilidae,112890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Sperchopsini,,Ametor,,,,,
Ephemeroptera,Ametropus,FALSE,,DNI,Ametropus,Ametropus,DNI,101074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ametropodidae,,,,Ametropus,,,,,
Ephemeroptera,Ametropus ammophilus,FALSE,,DNI,Ametropus,Ametropus,DNI,101077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ametropodidae,,,,Ametropus,,,,,ammophilus
Trichoptera,Amiocentrus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Amiocentrus,,,,,
Trichoptera,Amiocentrus aspilus,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,Amiocentrus,Amiocentrus,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Amiocentrus,,,,,
Odonata,Amphiagrion,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,
Odonata,Amphiagrion abbreviatum,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,
Fish,Amphibia,TRUE,Fish,DNI,DNI,DNI,DNI,,Animalia,Chordata,Vertebrata,Amphibia,,,,,,,,,,,,,,
Trichoptera,Amphicosmoecus,FALSE,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,116253,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,
Trichoptera,Amphicosmoecus canax,FALSE,single species in genus,DNI,Amphicosmoecus,Amphicosmoecus,DNI,116253,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,
Plecoptera,Amphinemura,FALSE,,Malenka,Malenka,Malenka,Malenka,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,
Plecoptera,Amphinemura/Malenka,FALSE,,Malenka,Malenka,Malenka,Malenka,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,
Other Non-Insect,Amphipoda,FALSE,,DNI,Amphipoda,Amphipoda,DNI,93294,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,,,,,
Coleoptera,Amphizoa,FALSE,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Amphizoa insolens,FALSE,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Amphizoa lecontei,FALSE,,DNI,Amphizoa,Amphizoa,DNI,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,
Coleoptera,Ampumixis,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,
Coleoptera,Ampumixis dispar,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,Ampumixis,Ampumixis dispar,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,
Coleoptera,Anacaena,FALSE,,Hydrophilidae,Anacaena,Anacaena,Hydrophilidae,112878,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Anacaena,,,,,
Ephemeroptera,Anafroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Neocloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Neocloeon/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Anafroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Trichoptera,Anagapetus,FALSE,,Anagapetus,Anagapetus,Anagapetus,Anagapetus,117154,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Glossosomatinae,Anagapetini,,Anagapetus,,,,,
Odonata,Anax,FALSE,,Aeshnidae,Anax,Anax,DNI,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,
Odonata,Anax junius,FALSE,,Aeshnidae,Anax,Anax,DNI,101597,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Anax,,,,,
Coleoptera,Anchycteis,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,114265,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,,,,,,,,,
Coleoptera,Anchycteis velutina,FALSE,,DNI,Ptilodactylidae,Ptilodactylidae,DNI,114265,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,,,,,,,,,
Other Non-Insect,Ancylidae,FALSE,,DNI,Ancylidae,Ancylidae,DNI,76568,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Ancylidae,,,,,,,,,
Other Non-Insect,Anericorophium,FALSE,,DNI,Americorophium,Americorophium,DNI,656484,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Corophiidae,,,,Americorophium,,,,,
Other Non-Insect,Anisogammaridae,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,203113,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Anisogammaridae,,,,,,,,,
Odonata,Anisoptera,FALSE,,DNI,Anisoptera,Anisoptera,DNI,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,
Other Non-Insect,Anodonta,FALSE,,DNI,Anodonta,Anodonta,DNI,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,
Other Non-Insect,Anodonta oregonsis,FALSE,,DNI,Anodonta,Anodonta,DNI,79930,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Unionidae,,,,Anodonta,,,,,
Diptera,Anopheles,FALSE,,DNI,Anopheles,Anopheles,DNI,125956,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,Anophelinae,,,Anopheles,,,,,
Chironomidae,Antillocladius,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,
Diptera,Antocha,FALSE,,Antocha,Antocha,Antocha,Antocha,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,
Diptera,Antocha monticola,FALSE,,Antocha,Antocha,Antocha,Antocha,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,
Fish,Anura,TRUE,Fish,DNI,DNI,DNI,DNI,173423,Animalia,Chordata,Vertebrata,Amphibia,,Anura,,,,,,,,,,,,
Trichoptera,Apatania,FALSE,,Apatania,Apatania,Apatania,Apatania,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,
Trichoptera,Apataniidae,FALSE,,DNI,Apataniidae,Apataniidae,DNI,598182,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,,,,,,
Chironomidae,Apedilum,FALSE,,Apedilum,Apedilum,Apedilum,DNI,206655,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,
Ephemeroptera,Apobaetis,FALSE,,DNI,Apobaetis,Apobaetis,DNI,100936,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Apobaetis,,,,,
Chironomidae,Apsectrotanypus,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,
Chironomidae,Apsectrotanypus johnsoni,FALSE,,DNI,Apsectrotanypus,Apsectrotanypus,DNI,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,
Heteroptera,Aquarius,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Heteroptera,Aquarius nyctalis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Heteroptera,Aquarius remigis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Gerridae,,,,,,,,,
Terrestrial,Arachnida,TRUE,Terrestrial,DNI,DNI,DNI,DNI,82708,Animalia,Arthropoda,Chelicerata,Arachnida,,,,,,,,,,,,,,
Coleoptera,Araeopidius monachus,FALSE,,DNI,Araeopidius monachus,Araeopidius monachus,DNI,708487,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Ptilodactylidae,Araeopidiinae,,,Araeopidius,,,,,monachus
Odonata,Archilestes,FALSE,,DNI,Archilestes,Archilestes,DNI,102059,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Archilestes,,,,,
Odonata,Archilestes californica,FALSE,,DNI,Archilestes,Archilestes,DNI,102059,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Archilestes,,,,,
