Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Megaloptera,Corydalidae,FALSE,no,,Corydalidae,Corydalidae,Corydalidae,Corydalidae,115023,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,,,,,,,,,
Megaloptera,Corydalus,FALSE,yes,,Corydalidae,Corydalidae,Corydalidae,Corydalidae,115023,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,,,,,,,,,
Chironomidae,Corynoneura,FALSE,no,,Corynoneura,Corynoneura,Corynoneura,Corynoneura,128563,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Corynoneura,,,,,
Chironomidae,Corynoneura/Thienemanniella,FALSE,yes,,DNI,Orthocladiinae,Orthocladiinae,DNI,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,
Fish,Cottidae,TRUE,NonTarget,Fish,DNI,DNI,DNI,DNI,167196,Animalia,Chordata,Vertebrata,Actinopterygii,Neopterygii,Scorpaeniformes,Cottoidei,,Cottidae,,,,,,,,,
Lepidoptera,Crambidae,FALSE,yes,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI,117232,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,,,,,,,,,,,,
Terrestrial,Crangon,TRUE,NonTarget,marine,DNI,DNI,DNI,DNI,97107,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,,Crangonidae,,,,,,,,,
Other Non-Insect,Crangonyctidae,FALSE,no,,DNI,Crangonyctidae,Crangonyctidae,DNI,95080,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,,,,,,
Other Non-Insect,Crangonyx,FALSE,no,,Crangonyx,Crangonyx,Crangonyx,DNI,95081,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,Crangonyx,,,,,
Terrestrial,Crassiclitellata,TRUE,NonTarget,Terrestrial,DNI,DNI,DNI,DNI,974256,Animalia,Annelida,,Clitellata,,Opisthopra,Crassiclitellata,,,,,,,,,,,
Coleoptera,Crenitis,FALSE,no,,Hydrophilidae,Crenitis,Crenitis,Hydrophilidae,113220,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Crenitis,,,,,
Chironomidae,Cricotopus,FALSE,no,,DNI,Cricotopus,Cricotopus,DNI,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,
Chironomidae,Cricotopus (Cricotopus),FALSE,yes,,DNI,Cricotopus,Cricotopus,DNI,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,
Chironomidae,Cricotopus (Isocladius),FALSE,no,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,
Chironomidae,Cricotopus (Isocladius) Type I,FALSE,yes,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,
Chironomidae,Cricotopus (Nostoc.) nostocicola,FALSE,yes,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
Chironomidae,Cricotopus (Nostococladius),FALSE,no,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
Chironomidae,Cricotopus (Nostococladius) nostocicola,FALSE,yes,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
Chironomidae,Cricotopus / Orthocladius,FALSE,yes,,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,
Chironomidae,Cricotopus bicinctus,FALSE,yes,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
Chironomidae,Cricotopus Bicinctus Gr.,FALSE,yes,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
Chironomidae,Cricotopus bicinctus group,FALSE,yes,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
Chironomidae,Cricotopus bicinctus Group,FALSE,yes,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
Chironomidae,Cricotopus Bicinctus Group,FALSE,no,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
Chironomidae,Cricotopus Isocladius,FALSE,yes,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,
Chironomidae,Cricotopus Isocladius--Type I,FALSE,yes,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,
Chironomidae,Cricotopus nostocicola,FALSE,yes,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
Chironomidae,Cricotopus Nostococladius,FALSE,yes,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
Chironomidae,Cricotopus sylvestris group,FALSE,yes,,DNI,Cricotopus,Cricotopus,DNI,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,
Chironomidae,Cricotopus Tremulus Gr.,FALSE,yes,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,
