Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Ectemnia,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Prosimuliini,,Ectemnia,,,,,,Diptera
Ellipteroides,FALSE,NA,CG,UNKN,SPEC,TRUE,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Ellipteroides,,,,,,Diptera
Elmidae,FALSE,NA,CG,semi,RHEO,,TRUE,eurythermal,,19.5226259,22.79,,yes,114093,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,,,,,,,Coleoptera
Eloeophila,FALSE,3,PR,uni,DEPO,,FALSE,cold,,16.08487826,19.976,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,Eloeophila,,,,,,Diptera
Empididae,FALSE,4,PR,uni,RHEO,,FALSE,eurythermal,,17.07492216,22.128,,yes,135830,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,,,,,,,,,,Diptera
Empididae Genus A,FALSE,,,,,,FALSE,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,,,,A,,,,,,Diptera
Enchytraeidae,FALSE,,,,,,FALSE,cool,,15.76726475,20.705,,yes,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,,Oligochaeta
Enchytraeus,FALSE,,,,,,FALSE,cool,,17.88051793,21.292,,,68531,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,,Oligochaeta
Endochironomus,FALSE,5,MH,multi,GENE,,,,Less30,,,,,129470,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Endochironomus,,,,,,Chironomidae
Endotribelos,FALSE,,,,,,,,,,,,,130046,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Endotribelos,,,,,,Chironomidae
