Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Kincaidiana,FALSE,,,,,,FALSE,,Less30,,,,,68470,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Kincaidiana,,,,,,Oligochaeta
Koenikea,FALSE,,,,,,,,Less30,,,,,83093,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Unionicolidae,,,,Koenikea,,,,,,Other Non-Insect
Kogotus/Rickera,FALSE,4,PR,uni,RHEO,,FALSE,cold,,16.10262511,19.716,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Diploperlini,,Kogotus/Rickera,,,,,,Plecoptera
Kongsbergia,FALSE,,,,,,,,,,,,,83000,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Kongsbergia,,,,,,Other Non-Insect
Krendowskia,FALSE,,,,,,,,,,,,,83502,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Krendowskiidae,,,,Krendowskia,,,,,,Other Non-Insect
Krendowskiidae,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Krendowskiidae,,,,,,,,,,Other Non-Insect
Krenopelopia,FALSE,NA,PR,multi,GENE,,,,Less30,,,,,128170,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Krenopelopia,,,,,,Chironomidae
Krenopsectra,FALSE,NA,,,,,,,Less30,,,,,129889,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Krenopsectra,,,,,,Chironomidae
Krenosmittia,FALSE,3,CG,multi,SPEC,TRUE,FALSE,cold,,14.76324455,19.382,,,128771,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Krenosmittia,,,,,,Chironomidae
Labiobaetis,FALSE,4,CG,multi,DEPO,TRUE,FALSE,cowa,,20.15874345,21.805,,,568552,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Labiobaetis,,,,,,Ephemeroptera
Labrundinia,FALSE,NA,PR,multi,GENE,,,,Less30,,,,,128173,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Labrundinia,,,,,,Chironomidae
Laccobius,FALSE,4,PR,uni,GENE,,FALSE,,Less30,,,,,112858,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Laccobiini,,Laccobius,,,,,,Coleoptera
Laccophilus,FALSE,,,,,,FALSE,,Less30,,,,,112278,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Laccophilinae,Laccophilini,,Laccophilus,,,,,,Coleoptera
Lanx,FALSE,,,,,,,,Less30,,,,,76477,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Lymnaeidae,,,,,,,,,,Other Non-Insect
Lara,FALSE,4,XY,semi,SPEC,,TRUE,cool,,17.68613192,20.81,,,114137,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Lara,,,,,,Coleoptera
Larsia,FALSE,3,PR,multi,GENE,,FALSE,eurythermal,,17.49079065,22.302,,,128183,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Larsia,,,,,,Chironomidae
Lauterborniella,FALSE,,,,,,,,Less30,,,,,129525,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Lauterborniella,,,,,,Chironomidae
Laversia,FALSE,,,,,,,,,,,,,82971,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Laversiidae,,,,Laversia,,,,,,Other Non-Insect
Lebertia,FALSE,,,,,,FALSE,eurythermal,,18.2091266,22.072,,,83034,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Lebertiidae,,,,Lebertia,,,,,,Other Non-Insect
Lebertiidae,FALSE,,,,,,,eurythermal,,18.02639351,21.95,,yes,83033,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Lebertiidae,,,,,,,,,,Other Non-Insect
Lepidoptera,FALSE,4,MH,multi,UNKN,,FALSE,warm,,24.93628295,27.95,,,117232,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,,,,,,,,,,,,,Lepidoptera
Lepidostoma,FALSE,3,SH,uni,DEPO,,FALSE,eurythermal,,18.83171357,22.02,,,116794,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Lepidostomatidae,Lepidostomatinae,,,Lepidostoma,,,,,,Trichoptera
Leptoceridae,FALSE,4,UNKN,uni,GENE,,FALSE,warm,,23.17710433,27.296,,yes,116547,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Leptoceridae,,,,,,,,,,Trichoptera
Leptohyphidae,FALSE,,,,,,FALSE,stenow,,24.22020522,27.616,,,568545,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptohyphidae,,,,,,,,,,Ephemeroptera
Leptophlebiidae,FALSE,3,CG,uni,DEPO,,FALSE,eurythermal,,17.64307495,22.08,,yes,101095,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,,,,,,,Ephemeroptera
Lestes,FALSE,,,,,,FALSE,,,,,,,102061,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,Lestes,,,,,,Odonata
Lestidae,FALSE,,,,,,,,Less30,,,,,102061,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Lestidae,,,,,,,,,,Odonata
Leucotrichia,FALSE,4,SC,multi,RHEO,,FALSE,warm,,22.45463596,27.002,,,115630,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydroptilidae,Hydroptilinae,Leucotrichiini,,Leucotrichia,,,,,,Trichoptera
Leucrocuta,FALSE,3,SC,uni,RHEO,,,,Less30,,,,,100676,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Leucrocuta,,,,,,Ephemeroptera
Leuctridae,FALSE,3,SH,uni,RHEO,,FALSE,cold,,15.35283437,19.662,,yes,102840,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,,,,,,,,,,Plecoptera
Libellulidae,FALSE,NA,PR,uni,GENE,,FALSE,,Less30,,,,,101797,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Libellulidae,,,,,,,,,,Odonata
Limnephilidae,FALSE,3,UNKN,UNKN,UNKN,,FALSE,cool,,16.04420894,21.418,,yes,115933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,,,,,,,,,,Trichoptera
Limnephiloidea,FALSE,NA,UNKN,UNKN,UNKN,,,eurythermal,,16.9680582,22.05,,,598162,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,,,,,,,,,,,Trichoptera
Limnephilus,FALSE,,,,,,,,Less30,,,,,116069,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Limnephilini,,Limnephilus,,,,,,Trichoptera
Limnesia,FALSE,,,,,,FALSE,warm,,20.12441661,24.365,,,83051,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Limnesiidae,,,,Limnesia,,,,,,Other Non-Insect
Limnesiidae,FALSE,,,,,,,warm,,20.08907404,24.26,,,83050,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Limnesiidae,,,,,,,,,,Other Non-Insect
Limnochares,FALSE,,,,,,,,Less30,,,,,83146,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Limnocharidae,,,,Limnochares,,,,,,Other Non-Insect
Limnodrilus,FALSE,,,,,,FALSE,,Less30,,,,,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,,Oligochaeta
Limnophyes,FALSE,5,CG,multi,GENE,,FALSE,eurythermal,,18.95992803,23.244,,,128776,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Limnophyes,,,,,,Chironomidae
Limoniidae,FALSE,,,,,,FALSE,cowa,,19.45541675,22.771,,yes,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,,,,,,,,,,Diptera
Lipsothrix,FALSE,1i,XY,semi,SPEC,TRUE,,,Less30,,,,,120749,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Lipsothrix,,,,,,Diptera
Lirceus,FALSE,,,,,,,,,,,,,92666,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,,Asellidae,,,,Lirceus,,,,,,Other Non-Insect
Ljania,FALSE,,,,,,,,,,,,,83449,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Ljania,,,,,,Other Non-Insect
Lopescladius,FALSE,3,CG,multi,SPEC,,FALSE,warm,,23.36830776,26.932,,,128811,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Lopescladius,,,,,,Chironomidae
Lumbriculidae,FALSE,,,,,,TRUE,cool,,18.36323759,21.424,,,68440,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,,Oligochaeta
Lutrochus,FALSE,,,,,,,,Less30,,,,,114037,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Lutrochidae,,,,Lutrochus,,,,,,Coleoptera
Lymnaeidae,FALSE,5,SC,uni,GENE,,FALSE,warm,,21.67354241,26.385,,,76483,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Lymnaeidae,,,,,,,,,,Other Non-Insect
Maccaffertium,FALSE,5,,,,,FALSE,,Less30,,,,,697957,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Maccaffertium,,,,,,Ephemeroptera
Macromia,FALSE,,,,,,,,Less30,,,,,101918,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Macromiidae,,,,Macromia,,,,,,Odonata
Macromiidae,FALSE,,,,,,,,Less30,,,,,102019,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Macromiidae,,,,,,,,,,Odonata
Macropelopia,FALSE,3,PR,multi,RHEO,,FALSE,cool,,17.48659678,20.848,,,128034,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Macropelopia,,,,,,Chironomidae
Macropelopiini,FALSE,,,,,,FALSE,eurythermal,,18.80941866,22.262,,yes,128020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,,,,,,,Chironomidae
Malenka,FALSE,4,SH,uni,RHEO,,FALSE,cool,,18.30303736,21.438,,,102567,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Amphinemurinae,,,Malenka,,,,,,Plecoptera
Margaritiferidae,FALSE,,,,,,TRUE,,Less30,,,,,79914,Animalia,Mollusca,,Bivalvia,Palaeoheterodonta,Unionoida,,,Margaritiferidae,,,,,,,,,,Other Non-Insect
Marilia,FALSE,,,,,,,,Less30,,,,,116514,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Odontoceridae,Odontocerinae,,,Marilia,,,,,,Trichoptera
Maruina,FALSE,3,SC,uni,SPEC,,FALSE,cowa,,19.51096521,23.215,,,125392,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Psychodidae,Psychodinae,,,Maruina,,,,,,Diptera
Matriella teresa,FALSE,3,CG,uni,RHEO,,FALSE,cool,,19.06645627,21.67,,,776924,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Matriella,,,,,,Ephemeroptera
Megaleuctra,FALSE,,,,,,,,,,,,,102877,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,Megaleuctrinae,,,Megaleuctra,,,,,,Plecoptera
Megaloptera,FALSE,,,,,,,cowa,,19.41566802,23.13,,,115000,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,,,,,,,,,,,Megaloptera
Megarcys,FALSE,2,PR,semi,RHEO,,TRUE,stenoc,,12.95348618,17.07,steno_cold,,103110,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Arcynopterygini,,Megarcys,,,,,,Plecoptera
Menetus,FALSE,4,SC,multi,GENE,,FALSE,warm,,19.363361,24.215,,,76626,Animalia,Mollusca,,Gastropoda,,Basommatophora,,,Planorbidae,,,,Menetus,,,,,,Other Non-Insect
Meringodixa,FALSE,3,CG,multi,SPEC,,FALSE,cool,,17.53695693,20.31,,,125873,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Meringodixa,,,,,,Diptera
Mesenchytraeus,FALSE,,,,,,FALSE,cold,,15.07057539,19.705,,,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,,Oligochaeta
Mesobates,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,Hygrobatinae,,,Mesobates,,,,,,Other Non-Insect
Mesocricotopus,FALSE,NA,CG,multi,GENE,,,,,,,,,128815,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Mesocricotopus,,,,,,Chironomidae
Mesosmittia,FALSE,4,CG,multi,GENE,,,,,,,,,128818,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Mesosmittia,,,,,,Chironomidae
Metacnephia,FALSE,1i,CF,uni,HEAD,TRUE,,,Less30,,,,,126687,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Simuliidae,Simuliinae,Prosimuliini,,Metacnephia,,,,,,Diptera
Metriocnemus,FALSE,4,OM,multi,GENE,,FALSE,eurythermal,,19.05610859,22.415,,,128821,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Metriocnemus,,,,,,Chironomidae
Micrasema,FALSE,3,CG,semi,RHEO,,FALSE,cool,,16.67755003,20.829,,,116958,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Brachycentridae,,,,Micrasema,,,,,,Trichoptera
Microchironomus,FALSE,,,,,,,,Less30,,,,,129532,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microchironomus,,,,,,Chironomidae
Microcylloepus,FALSE,4,CG,semi,RHEO,,TRUE,stenow,,26.84036357,28.71,,,114146,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Microcylloepus,,,,,,Coleoptera
Micropsectra,FALSE,4,CG,multi,GENE,,FALSE,eurythermal,,17.73507182,22.151,eurythermal,,129890,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Micropsectra,,,,,,Chironomidae
Microtendipes,FALSE,4,CF,multi,GENE,,FALSE,warm,,20.31055476,23.584,,yes,129535,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,,,,,Chironomidae
Microtendipes Pedellus Group,FALSE,4,CF,multi,GENE,,FALSE,warm,,20.16030303,23.49,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,Pedellus Gr.,,,,Chironomidae
Microtendipes Rydalensis Group,FALSE,4,CF,multi,GENE,,FALSE,cowa,,20.24341199,22.23,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Microtendipes,,Rydalensis Gr.,,,,Chironomidae
Midea,FALSE,,,,,,,,Less30,,,,,83466,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Mideidae,,,,Midea,,,,,,Other Non-Insect
Mideopsidae,FALSE,,,,,,,eurythermal,,18.80123845,22.256,,,83476,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Mideopsidae,,,,,,,,,,Other Non-Insect
Mideopsis,FALSE,,,,,,FALSE,eurythermal,,18.89205312,22.35,,,83479,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Mideopsidae,,,,Mideopsis,,,,,,Other Non-Insect
Molanna,FALSE,,,,,,,,,,,,,116474,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Molannidae,,,,Molanna,,,,,,Trichoptera
Molophilus,FALSE,4,SH,uni,GENE,,FALSE,,Less30,,,,,120758,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Molophilus,,,,,,Diptera
Momonia,FALSE,,,,,,,,,,,,,83474,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Momoniidae,,,,Momonia,,,,,,Other Non-Insect
Momoniidae,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Momoniidae,,,,,,,,,,Other Non-Insect
Monatractides,FALSE,,,,,,,cool,,17.83620003,21.802,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Torrenticolidae,,,,Monatractides,,,,,,Other Non-Insect
Monodiamesa,FALSE,3,CG,multi,GENE,,FALSE,cool,,16.69533003,20.42,,,128440,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Prodiamesinae,,,Monodiamesa,,,,,,Chironomidae
Monopelopia,FALSE,NA,PR,multi,SPEC,TRUE,,,Less30,,,,,128199,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Monopelopia,,,,,,Chironomidae
Monophylax mono,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Chilostigmini,,Monophylax,,,,,Monophylax mono,Trichoptera
Moselia,FALSE,2,SH,uni,HEAD,TRUE,TRUE,cold,,14.60978719,19.005,cold,,102909,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,Leuctrinae,,,Moselia,,,,,,Plecoptera
Moselyana comosa,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,,,,Moselyana,,,,,comosa,Trichoptera
Muscidae,FALSE,4,PR,multi,GENE,,FALSE,eurythermal,,18.50760626,23.002,,,150025,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Muscidae,,,,,,,,,,Diptera
Musculium,FALSE,,,,,,,,Less30,,,,,81427,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Sphaeriidae,,,,Musculium,,,,,,Other Non-Insect
Mystacides,FALSE,4,OM,uni,GENE,,FALSE,warm,,21.08328213,24.7,,,116598,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Leptoceridae,Leptocerinae,Mystacidini,,Mystacides,,,,,,Trichoptera
Naididae,FALSE,,,,,,FALSE,cowa,,20.42798694,22.61,,yes,68854,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,,,,,,,,,,Oligochaeta
Naidinae,FALSE,,,,,,FALSE,warm,,20.97614457,23.512,,,974284,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,,,,,,,Oligochaeta
Nais,FALSE,,,,,,FALSE,cowa,,20.80907906,23.356,,,68946,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,,Oligochaeta
Najadicola,FALSE,,,,,,,,Less30,,,,,83101,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Pionidae,,,,Najadicola,,,,,,Other Non-Insect
Namamyia,FALSE,,,,,,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Odontoceridae,Odontocerinae,,,Namamyia,,,,,,Trichoptera
Nanocladius,FALSE,5,CG,multi,GENE,,FALSE,warm,,20.03507739,25.936,,,128844,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Nanocladius,,,,,,Chironomidae
Narpus,FALSE,4,CG,semi,RHEO,,TRUE,cool,,18.07526637,21.412,,,114142,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Narpus,,,,,,Coleoptera
Natarsia,FALSE,4,PR,multi,GENE,,FALSE,cool,,19.30540603,21.816,,,128070,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Natarsiini,,Natarsia,,,,,,Chironomidae
Nautarachna,FALSE,,,,,,,cool,,17.68310724,20.017,,,83326,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Nautarachnidae,,,,Nautarachna,,,,,,Other Non-Insect
Nautarachnidae,FALSE,,,,,,,cool,,17.64384151,19.96,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Nautarachnidae,,,,,,,,,,Other Non-Insect
Neaviperla/Suwallia,FALSE,3,,,,,FALSE,cool,,17.98480692,21.23,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,Chloroperlinae,Suwalliini,,,,,,,,Plecoptera
Nectoporus,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Nectoporus,,,,,,Coleoptera
Nectopsyche,FALSE,4,OM,uni,GENE,,FALSE,,Less30,,,,,116651,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Leptoceridae,Leptocerinae,Nectopsychini,,Nectopsyche,,,,,,Trichoptera
Nemata,FALSE,4,PA,uni,SPEC,,FALSE,eurythermal,,17.46102488,22.3,,,563956,Animalia,Nemata,,,,,,,,,,,,,,,,,Other Non-Insect
Nematocera,FALSE,,,,,,FALSE,eurythermal,,18.12199419,22.492,,,118832,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,,,,,,,,,,,Diptera
Nematomorpha,FALSE,NA,PA,semi,SPEC,,FALSE,,Less30,,,,,64183,Animalia,Nematomorpha,,,,,,,,,,,,,,,,,Other Non-Insect
Nemotelus,FALSE,NA,CG,UNKN,SPEC,,,,Less30,,,,,130694,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Nemotelinae,,,Nemotelus,,,,,,Diptera
Nemouridae,FALSE,4,SH,UNKN,RHEO,,FALSE,cool,,16.77021858,21.36,,yes,102517,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,,,,,,,,,,Plecoptera
Neoacarus,FALSE,,,,,,,,,,,,,82859,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Neoacaridae,,,,Neoacarus,,,,,,Other Non-Insect
Neochoroterpes,FALSE,,,,,,,,,,,,,568558,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Neochoroterpes,,,,,,Ephemeroptera
Neohermes,FALSE,,,,,,,,,,,,,115048,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,Chauliodinae,,,Neohermes,,,,,,Megaloptera
Neoleptophlebia/Paraleptophlebia,FALSE,3,CG,uni,DEPO,,FALSE,eurythermal,,17.61014583,22.096,eurythermal,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Neoleptophlebia/Paraleptophlebia,,,,,,Ephemeroptera
Neophylax,FALSE,3,SC,uni,RHEO,,FALSE,cool,,16.45616476,20.967,,yes,116046,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Thremmatidae,,,,Neophylax,,,,,,Trichoptera
Neophylax occidentis,FALSE,2,SC,uni,RHEO,,FALSE,,Less30,,,,,116065,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Thremmatidae,,,,Neophylax,,,,,occidentis,Trichoptera
Neophylax rickeri,FALSE,3,SC,uni,RHEO,,FALSE,cowa,,19.15799487,22.11,,,116054,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Thremmatidae,,,,Neophylax,,,,,rickeri,Trichoptera
Neophylax splendens,FALSE,3,SC,uni,RHEO,,FALSE,cool,,17.05364978,20.448,,,116063,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Thremmatidae,,,,Neophylax,,,,,splendens,Trichoptera
Neoplasta,FALSE,4,PR,uni,RHEO,,FALSE,cool,,17.84572491,21.388,,,136352,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Neoplasta,,,,,,Diptera
Neoporus,FALSE,NA,PR,uni,GENE,,,,Less30,,,,,728252,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Neoporus,,,,,,Coleoptera
