Taxon_Orig,Rank,Appendix E target,Modified,Rationale,OTU_BCG,OTU_IBI
Baetisca rubescens,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
Baetiscidae,Family,genus,no,,Baetiscidae,Baetiscidae
Baetodes,Genus,genus,no,,Baetodes,Baetodes
Banksiola,Genus,genus,no,,Banksiola,Banksiola
Barbaetis,Genus,genus,no,,Barbaetis,Barbaetis
Basiaeschna,Genus,genus,no,,Basiaeschna,Basiaeschna
Basiaeschna janata,Species,genus,yes,level of taxonomic resolution,Basiaeschna,Basiaeschna
Batracobdella,Genus,genus,no,,Batracobdella,Batracobdella
Beardius,Genus,genus,no,,Beardius,Beardius
Beloneuria,Genus,genus,no,,Beloneuria,Beloneuria
Belostoma,Genus,genus,no,,Belostoma,Belostoma
Belostoma flumineum,Species,genus,yes,level of taxonomic resolution,Belostoma,Belostoma
Belostoma lutarium,Species,genus,yes,level of taxonomic resolution,Belostoma,Belostoma
Belostomatidae,Family,genus,no,,Belostomatidae,Belostomatidae
Berosus,Genus,genus,no,,Berosus,Berosus
Berosus ordinatus,Species,genus,yes,level of taxonomic resolution,Berosus,Berosus
Bethbilbeckia,Genus,genus,no,,Bethbilbeckia,Bethbilbeckia
Bezzia,Genus,genus,no,,Bezzia,Bezzia
Bezzia/Palpomyia,Genus,genus,no,,Bezzia/Palpomyia,Bezzia/Palpomyia
Bidessonotus,Genus,genus,no,,Bidessonotus,Bidessonotus
Biomphalaria,Genus,genus,no,,Biomphalaria,Biomphalaria
Bithynia,Genus,genus,no,,Bithynia,Bithynia
Bithynia tentaculata,Species,genus,yes,level of taxonomic resolution,Bithynia,Bithynia
Bittacomorpha,Genus,genus,no,,Bittacomorpha,Bittacomorpha
Bivalvia,Class,genus,no,,Bivalvia,Bivalvia
Blepharicera,Genus,genus,no,,Blepharicera,Blepharicera
Blephariceridae,Family,genus,no,,Blephariceridae,Blephariceridae
Boreonectes,Genus,genus,no,,Boreonectes,Boreonectes
Boreonectes griseostriatus,Species,genus,yes,level of taxonomic resolution,Boreonectes,Boreonectes
Bothrioneurum,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Bothrioneurum vejdovskyanum,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Boyeria,Genus,genus,no,,Boyeria,Boyeria
Boyeria grafiana,Species,genus,yes,level of taxonomic resolution,Boyeria,Boyeria
Boyeria vinosa,Species,genus,yes,level of taxonomic resolution,Boyeria,Boyeria
Brachycentridae,Family,genus,no,,Brachycentridae,Brachycentridae
Brachycentrus,Genus,genus,no,,Brachycentrus,Brachycentrus
Brachycentrus americanus,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus appalachia,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus incanus,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus lateralis,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus nigrosoma,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus numerosus,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus occidentalis,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycentrus solomoni,Species,genus,yes,level of taxonomic resolution,Brachycentrus,Brachycentrus
Brachycera,SubOrder,genus,no,,Brachycera,Brachycera
Brachycercinae,Subfamily,genus,no,,Brachycercinae,Brachycercinae
Brachycercus,Genus,genus,no,,Brachycercus,Brachycercus
Brachydeutera,Genus,genus,no,,Brachydeutera,Brachydeutera
Branchiobdella,Genus,order,yes,level of taxonomic resolution,Branchiobdellida,Branchiobdellida
Branchiobdellida,Order,order,no,,Branchiobdellida,Branchiobdellida
Branchiobdellidae,Family,order,yes,level of taxonomic resolution,Branchiobdellida,Branchiobdellida
Branchiura,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Branchiura sowerbyi,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Brechmorhoga,Genus,genus,no,,Brechmorhoga,Brechmorhoga
Brillia,Genus,genus,no,,Brillia,Brillia
Brillia flavifrons,Species,genus,yes,level of taxonomic resolution,Brillia,Brillia
Brillia parva,Species,genus,yes,level of taxonomic resolution,Brillia,Brillia
Brundiniella,Genus,genus,no,,Brundiniella,Brundiniella
Bryophaenocladius,Genus,genus,no,,Bryophaenocladius,Bryophaenocladius
Bryophaenocladius/Gymnometriocnemus,Genus,genus,no,,Bryophaenocladius/Gymnometriocnemus,Bryophaenocladius/Gymnometriocnemus
Bryozoa,Phylum,,yes,non target,DNI,DNI
Buenoa,Genus,genus,no,,Buenoa,Buenoa
Bulimnaea,Genus,genus,no,,Bulimnaea,Bulimnaea
Bulimnaea megasoma,Species,genus,yes,level of taxonomic resolution,Bulimnaea,Bulimnaea
Caecidotea,Genus,genus,yes,level of taxonomic resolution,Djalmabatista,Djalmabatista
Caecidotea brevicauda,Species,genus,yes,level of taxonomic resolution,Caecidotea,Caecidotea
Caecidotea communis,Species,genus,yes,level of taxonomic resolution,Caecidotea,Caecidotea
Caecidotea intermedia,Species,genus,yes,level of taxonomic resolution,Caecidotea,Caecidotea
Caecidotea racovitzai,Species,genus,yes,level of taxonomic resolution,Caecidotea,Caecidotea
Caenidae,Family,genus,no,,Caenidae,Caenidae
Caenis,Genus,genus,no,,Caenis,Caenis
Caenis anceps,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis diminuta,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis hilaris,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis latipennis,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis macafferti,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis punctata,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis tardata,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Caenis youngi,Species,genus,yes,level of taxonomic resolution,Caenis,Caenis
Calamoceratidae,Family,genus,no,,Calamoceratidae,Calamoceratidae
Callibaetis,Genus,genus,no,,Callibaetis,Callibaetis
Callicorixa,Genus,genus,no,,Callicorixa,Callicorixa
Callicorixa audeni,Species,genus,yes,level of taxonomic resolution,Callicorixa,Callicorixa
Calonyx,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Caloparyphus,Genus,genus,no,,Caloparyphus,Caloparyphus
Calopterygidae,Family,genus,no,,Calopterygidae,Calopterygidae
Calopteryx,Genus,genus,no,,Calopteryx,Calopteryx
Calopteryx aequabilis,Species,genus,yes,level of taxonomic resolution,Calopteryx,Calopteryx
Calopteryx dimidiata,Species,genus,yes,level of taxonomic resolution,Calopteryx,Calopteryx
Calopteryx maculata,Species,genus,yes,level of taxonomic resolution,Calopteryx,Calopteryx
Cambaridae,Family,genus,no,,Cambaridae,Cambaridae
Cambarinae,Subfamily,genus,no,,Cambarinae,Cambarinae
Cambarincola,Genus,order,yes,level of taxonomic resolution,Branchiobdellida,Branchiobdellida
Cambarincolidae,Family,order,yes,level of taxonomic resolution,Branchiobdellida,Branchiobdellida
Cambarincolidae/Xironodrilidae,Family,order,yes,level of taxonomic resolution,Branchiobdellida,Branchiobdellida
Cambarus,Genus,genus,no,,Cambarus,Cambarus
Cambarus bartonii,Species,genus,yes,level of taxonomic resolution,Cambarus,Cambarus
Cambarus diogenes,Species,genus,yes,level of taxonomic resolution,Cambarus,Cambarus
Cambarus robustus,Species,genus,yes,level of taxonomic resolution,Cambarus,Cambarus
Camelobaetidius,Genus,genus,no,,Camelobaetidius,Camelobaetidius
Campeloma,Genus,genus,no,,Campeloma,Campeloma
Campeloma decisum,Species,genus,yes,level of taxonomic resolution,Campeloma,Campeloma
Cantopelopia,Genus,genus,no,,Cantopelopia,Cantopelopia
Capniidae,Family,genus,no,,Capniidae,Capniidae
Capniidae/Nemouridae,Family,genus,no,,Capniidae/Nemouridae,Capniidae/Nemouridae
Carabidae,Family,genus,no,,Carabidae,Carabidae
Cardiocladius,Genus,genus,no,,Cardiocladius,Cardiocladius
Cardiocladius albiplumus,Species,genus,yes,level of taxonomic resolution,Cardiocladius,Cardiocladius
Cardiocladius obscurus,Species,genus,yes,level of taxonomic resolution,Cardiocladius,Cardiocladius
Celina,Genus,genus,no,,Celina,Celina
Cenocorixa,Genus,genus,no,,Cenocorixa,Cenocorixa
Centroptilum,Genus,genus,no,,Centroptilum,Centroptilum
Centroptilum/Procloeon,Genus,genus,no,,Centroptilum/Procloeon,Centroptilum/Procloeon
Ceraclea,Genus,genus,no,,Ceraclea,Ceraclea
Ceraclea maculata,Species,genus,yes,level of taxonomic resolution,Ceraclea,Ceraclea
Ceraclea resurgens,Species,genus,yes,level of taxonomic resolution,Ceraclea,Ceraclea
Ceratopogon,Genus,genus,no,,Ceratopogon,Ceratopogon
Ceratopogonidae,Family,genus,no,,Ceratopogonidae,Ceratopogonidae
Ceratopogoninae,Subfamily,genus,no,,Ceratopogoninae,Ceratopogoninae
Ceratopsyche,Genus,genus,no,,Ceratopsyche,Ceratopsyche
Ceratopsyche aenigma,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche alhedra,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche alhedra/sparna,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche alternans,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche bifida,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche bronta,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche cheilonis,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche macleodi,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche morosa,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche morosa Gr.,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche piatrix,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche slossonae,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche sparna,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche ventura,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche vexa,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche walkeri,Species,genus,yes,level of taxonomic resolution,Ceratopsyche,Ceratopsyche
Ceratopsyche/Hydropsyche,Genus,genus,no,,Ceratopsyche/Hydropsyche,Ceratopsyche/Hydropsyche
Cercobrachys,Genus,genus,no,,Cercobrachys,Cercobrachys
Cercobrachys etowah,Species,genus,yes,level of taxonomic resolution,Cercobrachys,Cercobrachys
Cernotina,Genus,genus,no,,Cernotina,Cernotina
Chaetocladius,Genus,genus,no,,Chaetocladius,Chaetocladius
Chaetogaster,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Chaetogaster limnaei,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Chamaedrilus,Genus,genus,no,,Chamaedrilus,Chamaedrilus
Chaoboridae,Family,genus,no,,Chaoboridae,Chaoboridae
Chaoborus,Genus,genus,no,,Chaoborus,Chaoborus
Chauliodes,Genus,genus,no,,Chauliodes,Chauliodes
Chauliodes pectinicornis,Species,genus,yes,level of taxonomic resolution,Chauliodes,Chauliodes
Chauliodes rastricornis,Species,genus,yes,level of taxonomic resolution,Chauliodes,Chauliodes
Chelifera,Genus,genus,no,,Chelifera,Chelifera
Chelifera/Metachela,Genus,genus,no,,Chelifera/Metachela,Chelifera/Metachela
Chernovskiia,Genus,genus,no,,Chernovskiia,Chernovskiia
Cheumatopsyche,Genus,genus,no,,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche campyla,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche ela,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche etrona,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche geora,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche oxa,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche pasella,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche pettiti,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche wrighti,Species,genus,yes,level of taxonomic resolution,Cheumatopsyche,Cheumatopsyche
Chimarra,Genus,genus,no,,Chimarra,Chimarra
Chimarra aterrima,Species,genus,yes,level of taxonomic resolution,Chimarra,Chimarra
Chimarra atterrima,Species,genus,yes,level of taxonomic resolution,Chimarra,Chimarra
Chimarra obscura,Species,genus,yes,level of taxonomic resolution,Chimarra,Chimarra
Chimarra socia,Species,genus,yes,level of taxonomic resolution,Chimarra,Chimarra
Chioneinae,Subfamily,genus,no,,Chioneinae,Chioneinae
Chironomidae,Family,genus,no,,Chironomidae,Chironomidae
Chironominae,Subfamily,genus,no,,Chironominae,Chironominae
Chironomini,Tribe,genus,no,,Chironomini,Chironomini
Chironomus,Genus,genus,no,,Chironomus,Chironomus
Chloroperlidae,Family,genus,no,,Chloroperlidae,Chloroperlidae
Chloroperlidae/Perlodidae,Family,genus,no,,Chloroperlidae/Perlodidae,Chloroperlidae/Perlodidae
Chlorotabanus,Genus,genus,no,,Chlorotabanus,Chlorotabanus
Choroterpes,Genus,genus,no,,Choroterpes,Choroterpes
