TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
EPHEMERELLA,FALSE,3,,CG,CN,,,uni,FALSE,Ephemeroptera,101233,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,EPHEMERELLIDAE,,,,EPHEMERELLA,,,,,,"Walsh, 1862",ITIS,,1,Collector,Clinger,75
EPHEMERELLA EXCRUCIANS GROUP,FALSE,3,,CG,CN,,,uni,FALSE,Ephemeroptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,EPHEMERELLIDAE,,,,EPHEMERELLA,EPHEMERELLA,EXCRUCIANS GR.,,,,,,,4,Collector,Sprawler,16305
EPHEMEROPTERA,FALSE,,,CG,NA,,,,FALSE,Ephemeroptera,100502,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,,,,,,,,,,,,,"Hyatt and Arms, 1890",Other,,3,Collector,Clinger,76
EPHORON,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Ephemeroptera,101570,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,POLYMITARCYIDAE,,,,EPHORON,,,,,,"Williamson, 1802",ITIS,,2,Collector,Burrower,2016
EPHORON ALBUM,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Ephemeroptera,101571,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,POLYMITARCYIDAE,,,,EPHORON,,,,,ALBUM,"(Say, 1824)",ITIS,,2,Collector,Burrower,2014
EPHORON LEUKON,FALSE,4,4_middle,CG,BU,,,uni,FALSE,Ephemeroptera,101572,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,POLYMITARCYIDAE,,,,EPHORON,,,,,LEUKON,"Williamson, 1802",ITIS,,2,Collector,Burrower,2015
EPHYDRA,FALSE,5,,"CG,SH",BU,,,multi,FALSE,Diptera,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,EPHYDRIDAE,,,,EPHYDRA,,,,,,,,yes,8,Collector,Sprawler,1924
EPHYDRIDAE,FALSE,5,,CG,BU,,,,FALSE,Diptera,146893,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,EPHYDRIDAE,,,,,,,,,,"Osten Sacken, 1878",Other,,6,Collector,Sprawler,1928
EPITHECA,FALSE,4,4_middle,PR,CB,RM,root_mat,uni,FALSE,Odonata,102035,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,CORDULIIDAE,CORDULIINAE,,,EPITHECA,,,,,,"Burmeister, 1839",ITIS,,8,Predator,Sprawler,1691
EPITHECA PRINCEPS,FALSE,4,4_middle,PR,CB,RM,root_mat,uni,FALSE,Odonata,185985,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,CORDULIIDAE,CORDULIINAE,,,EPITHECA,EPICORDULIA,,,,PRINCEPS,"Hagen, 1861",ITIS,,8,Predator,Sprawler,1690
