TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
ICTALURUS FURCATUS,BLUE CATFISH,ICTALURIDAE,,ICTALURUS,3,III,3_WORSE,IIIb,3.5,NON_NATIVE,TC,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=740,warm,FALSE
ICTALURUS PUNCTATUS,CHANNEL CATFISH,ICTALURIDAE,,ICTALURUS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2341,warm,FALSE
ICTIOBUS,BUFFALO,CATOSTOMIDAE,,ICTIOBUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,,,FALSE,,,warm,FALSE
ICTIOBUS BUBALUS,SMALLMOUTH BUFFALO,CATOSTOMIDAE,,ICTIOBUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=361,warm,FALSE
LABIDESTHES SICCULUS,BROOK SILVERSIDE,ATHERINIDAE,,LABIDESTHES,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=318,warm,FALSE
LEPISOSTEIDAE,GAR,LEPISOSTEIDAE,,LEPISOSTEIDAE,4,IV,4_BETTER,IVa,4,NATIVE,TC,,,,FALSE,,,warm,FALSE
LEPISOSTEUS OCULATUS,SPOTTED GAR,LEPISOSTEIDAE,,LEPISOSTEUS,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=756,warm,FALSE
LEPISOSTEUS OSSEUS,LONGNOSE GAR,LEPISOSTEIDAE,,LEPISOSTEUS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,,warm,FALSE
LEPISOSTEUS PLATOSTOMUS,SHORTNOSE GAR,LEPISOSTEIDAE,,LEPISOSTEUS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=757,warm,FALSE
LEPOMIS GULOSUS,WARMOUTH,CENTRARCHIDAE,,LEPOMIS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=376,warm,FALSE
LEPOMIS HUMILIS,ORANGESPOTTED SUNFISH,CENTRARCHIDAE,,LEPOMIS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=383,warm,FALSE
LEPOMIS HYBRID,SUNFISH HYBRID,CENTRARCHIDAE,,LEPOMIS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,,,FALSE,,,warm,FALSE
