Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Hydroporini,HYDROPORINAE,yes,HYDROPORINAE
Hydroporus,HYDROPORUS,,HYDROPORUS
Hydropsyche,HYDROPSYCHE,,HYDROPSYCHE
HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,HYDROPSYCHE MOROSA GROUP
Hydropsychidae,HYDROPSYCHIDAE,,HYDROPSYCHIDAE
Hydroptila,HYDROPTILA,,HYDROPTILA
Hydroptilidae,HYDROPTILIDAE,,HYDROPTILIDAE
Hydrozetes,HYDROZETES,,HYDROZETES
Hydrozoa,HYDRA,yes,HYDRA
Hydryphantes,HYDRYPHANTES,,HYDRYPHANTES
Hydryphantidae,HYDRYPHANTIDAE,,HYDRYPHANTIDAE
Hygrobates,HYGROBATES,,HYGROBATES
Ilyodrilus,ILYODRILUS,,ILYODRILUS
Ironoquia,IRONOQUIA,,IRONOQUIA
Ischnura,ISCHNURA,,ISCHNURA
Isonychia,ISONYCHIA,,ISONYCHIA
Isoperla,ISOPERLA,,ISOPERLA
Isopoda,ISOPODA,,ISOPODA
Iswaeon,ISWAEON,,ISWAEON
Ithytrichia,ITHYTRICHIA,,ITHYTRICHIA
Kiefferulus,CHIRONOMINI,yes,KIEFFERULUS
Koenikea,KOENIKEA,,KOENIKEA
Krendowskia,KRENDOWSKIA,,KRENDOWSKIA
Kribiodorum perpulchrum,CHIRONOMINI,yes,KRIBIODORUM PERPULCHRUM
Labiobaetis,LABIOBAETIS,,LABIOBAETIS
Labrundinia,TANYPODINAE,yes,LABRUNDINIA
Laccobius,LACCOBIUS,,LACCOBIUS
Laccophilus,LACCOPHILUS,,LACCOPHILUS
Laevapex fuscus,LAEVAPEX FUSCUS,,LAEVAPEX FUSCUS
Lanthus,LANTHUS,,LANTHUS
Larsia,TANYPODINAE,yes,LARSIA
LAUTERBORNIELLA,CHIRONOMINI,yes,LAUTERBORNIELLA
Lauterborniella agrayloides,CHIRONOMINI,yes,LAUTERBORNIELLA
Laversia,LAVERSIA,,LAVERSIA
Lebertia,LEBERTIA,,LEBERTIA
Lepidoptera,LEPIDOPTERA,,LEPIDOPTERA
Lepidostoma,LEPIDOSTOMA,,LEPIDOSTOMA
Leptoceridae,LEPTOCERIDAE,,LEPTOCERIDAE
Leptoconops,LEPTOCONOPS,,LEPTOCONOPS
Leptophlebia,LEPTOPHLEBIA,,LEPTOPHLEBIA
Leptophlebiidae,LEPTOPHLEBIIDAE,,LEPTOPHLEBIIDAE
Leucrocuta,LEUCROCUTA,,LEUCROCUTA
Leuctra,LEUCTRA,,LEUCTRA
Leuctridae,LEUCTRIDAE,,LEUCTRIDAE
Libellula,LIBELLULA,,LIBELLULA
Libellulidae,LIBELLULIDAE,,LIBELLULIDAE
Limnephilidae,LIMNEPHILIDAE,,LIMNEPHILIDAE
Limnephilus,LIMNEPHILUS,,LIMNEPHILUS
Limnesia,LIMNESIA,,LIMNESIA
Limnochares,LIMNOCHARES,,LIMNOCHARES
LIMNOCORIS,LIMNOCORIS,,LIMNOCORIS
Limnodrilus,LIMNODRILUS,,LIMNODRILUS
Limnophila,LIMNOPHILA,,LIMNOPHILA
Limnophora,MUSCIDAE,yes,MUSCIDAE
Limnophyes,ORTHOCLADIINAE,yes,LIMNOPHYES
Limonia,LIMONIA,,LIMONIA
Limonia (Limoniini),LIMONIA,yes,LIMONIA
Limoniidae,LIMONIIDAE,,LIMONIIDAE
Limoniinae,LIMONIIDAE,yes,LIMONIIDAE
Liodessus,LIODESSUS,,LIODESSUS
Lipogomphus,LIPOGOMPHUS,,LIPOGOMPHUS
Lirceus,LIRCEUS,,LIRCEUS
Lopescladius,ORTHOCLADIINAE,yes,LOPESCLADIUS
Lumbricidae,LUMBRICIDAE,,LUMBRICIDAE
Lumbriculidae,LUMBRICULIDAE,,LUMBRICULIDAE
Lumbriculus,LUMBRICULUS,,LUMBRICULUS
Lutrochus,LUTROCHUS,,LUTROCHUS
Lymnaea,LYMNAEA,,LYMNAEA
Lymnaeidae,LYMNAEIDAE,,LYMNAEIDAE
Lype diversa,LYPE DIVERSA,,LYPE DIVERSA
Maccaffertium,MACCAFFERTIUM,,MACCAFFERTIUM
Macromia,MACROMIA,,MACROMIA
MACROMIIDAE,MACROMIIDAE,,MACROMIIDAE
Macromiinae,MACROMIIDAE,yes,MACROMIIDAE
Macronychus,MACRONYCHUS,,MACRONYCHUS
Macronychus glabratus,MACRONYCHUS GLABRATUS,,MACRONYCHUS GLABRATUS
Macrostemum,MACROSTEMUM,,MACROSTEMUM
Macrostemum zebratum,MACROSTEMUM,yes,MACROSTEMUM
Marilia,MARILIA,,MARILIA
Mayatrichia,MAYATRICHIA,,MAYATRICHIA
Meramecia,MERAMECIA,,MERAMECIA
Merragata,MERRAGATA,,MERRAGATA
Mesenchytraeus,ENCHYTRAEIDAE,yes,ENCHYTRAEIDAE
mesocricotopus,ORTHOCLADIINAE,yes,MESOCRICOTOPUS
Mesosmittia,ORTHOCLADIINAE,yes,MESOSMITTIA
Mesovelia,MESOVELIA,,MESOVELIA
Metrichia,METRICHIA,,METRICHIA
Metrobates,METROBATES,,METROBATES
Miathyria,MIATHYRIA,,MIATHYRIA
Micrasema,MICRASEMA,,MICRASEMA
Microcylloepus,MICROCYLLOEPUS,,MICROCYLLOEPUS
Micromenetus,MICROMENETUS,,MICROMENETUS
Micropsectra,TANYTARSINI,yes,MICROPSECTRA
Microtendipes,CHIRONOMINI,yes,MICROTENDIPES
Microvelia,MICROVELIA,,MICROVELIA
Mideopsis,MIDEOPSIS,,MIDEOPSIS
Mochlonyx,MOCHLONYX,,MOCHLONYX
Momonia,MOMONIA,,MOMONIA
Monatractides,MONATRACTIDES,,MONATRACTIDES
Monodiamesa,PRODIAMESINAE,yes,MONODIAMESA
Mooreobdella,ERPOBDELLA,yes,ERPOBDELLA
Muscidae,MUSCIDAE,,MUSCIDAE
Musculium,MUSCULIUM/SPHAERIUM,yes,MUSCULIUM/SPHAERIUM
MUSCULIUM/SPHAERIUM,MUSCULIUM/SPHAERIUM,,MUSCULIUM/SPHAERIUM
Mystacides,MYSTACIDES,,MYSTACIDES
Myxosargus,MYXOSARGUS,,MYXOSARGUS
Naididae,NAIDIDAE,,NAIDIDAE
Naidinae,NAIDINAE,,NAIDINAE
Nais,NAIS,,NAIS
Nais (Animalia),NAIS,yes,NAIS
Nanocladius,ORTHOCLADIINAE,yes,NANOCLADIUS
Nasiaeschna,NASIAESCHNA,,NASIAESCHNA
Nasiaeschna pentacantha,NASIAESCHNA PENTACANTHA,,NASIAESCHNA PENTACANTHA
Natarsia,TANYPODINAE,yes,NATARSIA
Naucoridae,NAUCORIDAE,,NAUCORIDAE
Nautarachna,NAUTARACHNA,,NAUTARACHNA
