Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Ochrotrichia,OCHROTRICHIA,,OCHROTRICHIA
Ochthebius,OCHTHEBIUS,,OCHTHEBIUS
Odontoceridae,ODONTOCERIDAE,,ODONTOCERIDAE
Odontomyia,ODONTOMYIA/HEDRIODISCUS,yes,ODONTOMYIA/HEDRIODISCUS
ODONTOMYIA/HEDRIODISCUS,ODONTOMYIA/HEDRIODISCUS,,ODONTOMYIA/HEDRIODISCUS
Oecetis,OECETIS,,OECETIS
Oligochaeta,OLIGOCHAETA,,OLIGOCHAETA
Ophidonais,OPHIDONAIS,,OPHIDONAIS
Ophidonais serpentina,OPHIDONAIS SERPENTINA,,OPHIDONAIS SERPENTINA
Ophiogomphus,OPHIOGOMPHUS,,OPHIOGOMPHUS
Optioservus,OPTIOSERVUS,,OPTIOSERVUS
Orconectes,FAXONIUS,yes,FAXONIUS
ORDOBREVIA,ORDOBREVIA,,ORDOBREVIA
Oribatida,ORIBATIDA,,ORIBATIDA
Ormosia,ORMOSIA,,ORMOSIA
Ormosia (Eriopterini),ORMOSIA,yes,ORMOSIA
Orthocladiinae,ORTHOCLADIINAE,,ORTHOCLADIINAE
Orthocladius,ORTHOCLADIINAE,yes,ORTHOCLADIUS
Orthocladius (Symposiocladius),ORTHOCLADIINAE,yes,ORTHOCLADIUS (SYMPOSIOCLADIUS)
Orthotrichia,ORTHOTRICHIA,,ORTHOTRICHIA
Ostracoda,OSTRACODA,,OSTRACODA
Ostrocerca,OSTROCERCA,,OSTROCERCA
Oxus,OXUS,,OXUS
Oxycera,OXYCERA,,OXYCERA
Oxyethira,OXYETHIRA,,OXYETHIRA
Pachydiplax longipennis,PACHYDIPLAX LONGIPENNIS,,PACHYDIPLAX LONGIPENNIS
Pagastiella,CHIRONOMINI,yes,PAGASTIELLA
Palaemon,PALAEMON,,PALAEMON
Palaemonetes,PALAEMON,yes,PALAEMON
Palaemonidae,PALAEMONIDAE,,PALAEMONIDAE
Palmacorixa,PALMACORIXA,,PALMACORIXA
Palpomyia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Parachaetocladius,ORTHOCLADIINAE,yes,PARACHAETOCLADIUS
Parachironomus,CHIRONOMINI,yes,PARACHIRONOMUS
Paracladopelma,CHIRONOMINI,yes,PARACLADOPELMA
Paracloeodes,PARACLOEODES,,PARACLOEODES
Paracloeodes minutus,PARACLOEODES,yes,PARACLOEODES
Paracricotopus,ORTHOCLADIINAE,yes,PARACRICOTOPUS
Paracymus,PARACYMUS,,PARACYMUS
Parakiefferiella,ORTHOCLADIINAE,yes,PARAKIEFFERIELLA
Paralauterborniella nigrohalterale,CHIRONOMINI,yes,PARALAUTERBORNIELLA NIGROHALTERALIS
Paralauterborniella nigrohalteralis,CHIRONOMINI,yes,PARALAUTERBORNIELLA NIGROHALTERALIS
Paraleptophlebia,PARALEPTOPHLEBIA,,PARALEPTOPHLEBIA
Paramerina,TANYPODINAE,yes,ZAVRELIMYIA
Parametriocnemus,ORTHOCLADIINAE,yes,PARAMETRIOCNEMUS
Paranais,PARANAIS,,PARANAIS
Paraphaenocladius,ORTHOCLADIINAE,yes,PARAPHAENOCLADIUS
Parapoynx,PARAPOYNX,,PARAPOYNX
Paratanytarsus,TANYTARSINI,yes,PARATANYTARSUS
Paratendipes,CHIRONOMINI,yes,PARATENDIPES
Peltodytes,PELTODYTES,,PELTODYTES
Pentaneura,TANYPODINAE,yes,PENTANEURA
Pericoma,PERICOMA,,PERICOMA
Pericomaini,PERICOMAINI,,PERICOMAINI
Perithemis,PERITHEMIS,,PERITHEMIS
Perlesta,PERLESTA,,PERLESTA
Perlidae,PERLIDAE,,PERLIDAE
Perlinella,PERLINELLA,,PERLINELLA
Perlodidae,PERLODIDAE,,PERLODIDAE
Petrophila,PETROPHILA,,PETROPHILA
Phaenopsectra,CHIRONOMINI,yes,PHAENOPSECTRA
Phanogomphus,PHANOGOMPHUS,,PHANOGOMPHUS
Philopotamidae,PHILOPOTAMIDAE,,PHILOPOTAMIDAE
Phoridae,PHORIDAE,,PHORIDAE
Phyllogomphoides,GOMPHIDAE,yes,GOMPHIDAE
Phylocentropus,PHYLOCENTROPUS,,PHYLOCENTROPUS
Physa,PHYSA/PHYSELLA,yes,PHYSA/PHYSELLA
PHYSA/PHYSELLA,PHYSA/PHYSELLA,,PHYSA/PHYSELLA
Physella,PHYSA/PHYSELLA,yes,PHYSA/PHYSELLA
Physidae,PHYSIDAE,,PHYSIDAE
Piguetiella,PIGUETIELLA,,PIGUETIELLA
Pilaria,PILARIA,,PILARIA
Piona,PIONA,,PIONA
Pionidae,PIONIDAE,,PIONIDAE
Piscicola,PISCICOLA,,PISCICOLA
Pisidium,PISIDIUM,,PISIDIUM
Placobdella,PLACOBDELLA,,PLACOBDELLA
Planariidae,PLANARIIDAE,,PLANARIIDAE
Planorbella,HELISOMA/PLANORBELLA,yes,HELISOMA/PLANORBELLA
Planorbidae,PLANORBIDAE,,PLANORBIDAE
Platambus,PLATAMBUS,,PLATAMBUS
Plathemis,PLATHEMIS,,PLATHEMIS
Plathemis lydia,PLATHEMIS LYDIA,,PLATHEMIS LYDIA
Platysmittia,ORTHOCLADIINAE,yes,PLATYSMITTIA
Platyvelia,PLATYVELIA,,PLATYVELIA
Plauditus,PLAUDITUS,,PLAUDITUS
Plecoptera,PLECOPTERA,,PLECOPTERA
Pleurocera,PLEUROCERA,,PLEUROCERA
Pleuroceridae,PLEUROCERIDAE,,PLEUROCERIDAE
Polycentropodidae,POLYCENTROPODIDAE,,POLYCENTROPODIDAE
Polycentropus,POLYCENTROPUS SL/CERNOTINA,yes,POLYCENTROPUS SL/CERNOTINA
POLYCENTROPUS SL/CERNOTINA,POLYCENTROPUS SL/CERNOTINA,,POLYCENTROPUS SL/CERNOTINA
Polypedilum,CHIRONOMINI,yes,POLYPEDILUM
Potamothrix,POTAMOTHRIX,,POTAMOTHRIX
Potamyia,POTAMYIA,,POTAMYIA
Potamyia flava,POTAMYIA FLAVA,,POTAMYIA FLAVA
Potthastia,DIAMESINAE,yes,POTTHASTIA
Pristina,PRISTINA,,PRISTINA
Probezzia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Procambarus,PROCAMBARUS,,PROCAMBARUS
Procladius,TANYPODINAE,yes,PROCLADIUS
Procloeon,PROCLOEON,,PROCLOEON
PRODIAMESINAE,PRODIAMESINAE,,PRODIAMESINAE
Progomphus,PROGOMPHUS,,PROGOMPHUS
Progomphus obscurus,PROGOMPHUS OBSCURUS,,PROGOMPHUS OBSCURUS
Prosimulium,PROSIMULIUM,,PROSIMULIUM
Prostoia,PROSTOIA,,PROSTOIA
Prostoma,PROSTOMA,,PROSTOMA
Protoptila,PROTOPTILA,,PROTOPTILA
Protzia,PROTZIA,,PROTZIA
Psectrocladius,ORTHOCLADIINAE,yes,PSECTROCLADIUS
Psephenidae,PSEPHENIDAE,,PSEPHENIDAE
Psephenus,PSEPHENUS,,PSEPHENUS
Pseudochironomini,PSEUDOCHIRONOMINI,,PSEUDOCHIRONOMINI
Pseudochironomus,PSEUDOCHIRONOMINI,yes,PSEUDOCHIRONOMUS
Pseudocloeon,LABIOBAETIS,yes,LABIOBAETIS
Pseudolimnophila,PSEUDOLIMNOPHILA,,PSEUDOLIMNOPHILA
Pseudosmittia,ORTHOCLADIINAE,yes,PSEUDOSMITTIA
Pseudosuccinea columella,PSEUDOSUCCINEA COLUMELLA,,PSEUDOSUCCINEA COLUMELLA
Psychoda,PSYCHODINI,yes,PSYCHODINI
Psychodidae,PSYCHODINI,yes,PSYCHODINI
PSYCHODINI,PSYCHODINI,,PSYCHODINI
Psychoglypha,PSYCHOGLYPHA,,PSYCHOGLYPHA
Psychomyia,PSYCHOMYIA,,PSYCHOMYIA
Psychomyiidae,PSYCHOMYIIDAE,,PSYCHOMYIIDAE
Ptilostomis,PTILOSTOMIS,,PTILOSTOMIS
Pycnopsyche,PYCNOPSYCHE,,PYCNOPSYCHE
Pyralidae,PYRALIDAE,,PYRALIDAE
Quistadrilus multisetosus,QUISTADRILUS MULTISETOSUS,,QUISTADRILUS MULTISETOSUS
Ranatra,RANATRA,,RANATRA
Rhagovelia,RHAGOVELIA,,RHAGOVELIA
Rhantus,RHANTUS,,RHANTUS
Rheocricotopus,ORTHOCLADIINAE,yes,RHEOCRICOTOPUS
Rheosmittia,ORTHOCLADIINAE,yes,RHEOSMITTIA
Rheotanytarsus,TANYTARSINI,yes,RHEOTANYTARSUS
Rheumatobates,RHEUMATOBATES,,RHEUMATOBATES
Rhithrogena,RHITHROGENA,,RHITHROGENA
Rhyacophila,RHYACOPHILA,,RHYACOPHILA
Rhyncholimnochares,RHYNCHOLIMNOCHARES,,RHYNCHOLIMNOCHARES
Rissooidea,TRUNCATELLOIDEA,yes,TRUNCATELLOIDEA
Robackia,CHIRONOMINI,yes,ROBACKIA
Saetheria,CHIRONOMINI,yes,SAETHERIA
Sciomyzidae,SCIOMYZIDAE,,SCIOMYZIDAE
Scirtes,SCIRTIDAE,yes,SCIRTIDAE
Scirtidae,SCIRTIDAE,,SCIRTIDAE
Serromyia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Sialis,SIALIS,,SIALIS
Sigara,SIGARA,,SIGARA
Silvius,TABANIDAE,yes,TABANIDAE
Simuliidae,SIMULIIDAE,,SIMULIIDAE
Simulium,SIMULIUM,,SIMULIUM
Siphlonurus,SIPHLONURUS,,SIPHLONURUS
Sisyridae,SISYRIDAE,,SISYRIDAE
Slavina,SLAVINA,,SLAVINA
Slavina appendiculata,SLAVINA APPENDICULATA,,SLAVINA APPENDICULATA
Smicridea,SMICRIDEA,,SMICRIDEA
Smittia,ORTHOCLADIINAE,yes,SMITTIA
Somatochlora,SOMATOCHLORA,,SOMATOCHLORA
Sparbarus,SPARBARUS,,SPARBARUS
Sparganophilus,SPARGANOPHILUS,,SPARGANOPHILUS
Sperchon,SPERCHON,,SPERCHON
Sperchonopsis,SPERCHONOPSIS,,SPERCHONOPSIS
Sphaeriidae,MUSCULIUM/SPHAERIUM,yes,MUSCULIUM/SPHAERIUM
Sphaerium,MUSCULIUM/SPHAERIUM,yes,MUSCULIUM/SPHAERIUM
Sphaeromias,CERATOPOGONINAE,yes,CERATOPOGONINAE
Stactobiella,STACTOBIELLA,,STACTOBIELLA
Stagnicola,STAGNICOLA,,STAGNICOLA
Staphylinidae,STAPHYLINIDAE,,STAPHYLINIDAE
Stegopterna,STEGOPTERNA,,STEGOPTERNA
Stempellina,TANYTARSINI,yes,STEMPELLINA
Stempellinella,TANYTARSINI,yes,STEMPELLINELLA
Stenacron,STENACRON,,STENACRON
Stenelmis,STENELMIS,,STENELMIS
Stenochironomus,CHIRONOMINI,yes,STENOCHIRONOMUS
Stenonema,STENONEMA/MACCAFFERTIUM,yes,STENONEMA/MACCAFFERTIUM
Stenonema femoratum,STENONEMA FEMORATUM,,STENONEMA FEMORATUM
Stenonema/Maccaffertium,STENONEMA/MACCAFFERTIUM,,STENONEMA/MACCAFFERTIUM
Stictochironomus,CHIRONOMINI,yes,STICTOCHIRONOMUS
Stilobezzia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Stilocladius,ORTHOCLADIINAE,yes,STILOCLADIUS
Stratiomyidae,STRATIOMYIDAE,,STRATIOMYIDAE
Stratiomys,STRATIOMYS,,STRATIOMYS
Strophopteryx,STROPHOPTERYX,,STROPHOPTERYX
Stygobromus,STYGOBROMUS,,STYGOBROMUS
stygothrombium,STYGOTHROMBIUM,,STYGOTHROMBIUM
STYLARIA,STYLARIA,,STYLARIA
Stylaria lacustris,STYLARIA,yes,STYLARIA
Stylogomphus,STYLOGOMPHUS,,STYLOGOMPHUS
Stylurus,STYLURUS,,STYLURUS
Succinea,SUCCINEA,,SUCCINEA
Sympetrum,SYMPETRUM,,SYMPETRUM
Sympotthastia,DIAMESINAE,yes,SYMPOTTHASTIA
Synorthocladius,ORTHOCLADIINAE,yes,SYNORTHOCLADIUS
SYRPHIDAE,SYRPHIDAE,,SYRPHIDAE
Tabanidae,TABANIDAE,,TABANIDAE
TABANINAE,TABANINAE,,TABANINAE
Tabanus,ATYLOTUS/TABANUS/WHITNEYOMYIA,yes,ATYLOTUS/TABANUS/WHITNEYOMYIA
Taenionema,TAENIONEMA,,TAENIONEMA
Taeniopterygidae,TAENIOPTERYGIDAE,,TAENIOPTERYGIDAE
Taeniopteryx,TAENIOPTERYX,,TAENIOPTERYX
Tanypodinae,TANYPODINAE,,TANYPODINAE
Tanypus,TANYPODINAE,yes,TANYPUS
Tanytarsini,TANYTARSINI,,TANYTARSINI
"Tanytarsini genus ""A""",TANYTARSINI,yes,TANYTARSINI GENUS A EKREM
TANYTARSINI GENUS A EKREM,TANYTARSINI,yes,TANYTARSINI GENUS A EKREM
Tanytarsus,TANYTARSINI,yes,TANYTARSUS
Telebasis,TELEBASIS,,TELEBASIS
Telopelopia okoboji,TANYPODINAE,yes,THIENEMANNIMYIA GROUP
Thermonectus,THERMONECTUS,,THERMONECTUS
Thienemanniella,ORTHOCLADIINAE,yes,THIENEMANNIELLA
Thienemannimyia,TANYPODINAE,yes,THIENEMANNIMYIA GROUP
Thienemannimyia Gr.,TANYPODINAE,yes,THIENEMANNIMYIA GROUP
THIENEMANNIMYIA GROUP,TANYPODINAE,yes,THIENEMANNIMYIA GROUP
Tipula,TIPULA,,TIPULA
Tipulidae,TIPULIDAE,,TIPULIDAE
Torrenticola,TORRENTICOLA,,TORRENTICOLA
Tortopsis,TORTOPSIS,,TORTOPSIS
Tortopus,TORTOPUS,,TORTOPUS
Tramea,TRAMEA,,TRAMEA
Trepaxonemata,TREPAXONEMATA,,TREPAXONEMATA
Trepobates,TREPOBATES,,TREPOBATES
Triaenodes,TRIAENODES,,TRIAENODES
Tribelos,CHIRONOMINI,yes,TRIBELOS
Trichoclinocera,TRICHOCLINOCERA,,TRICHOCLINOCERA
Trichocorixa,TRICHOCORIXA,,TRICHOCORIXA
Trichoptera,TRICHOPTERA,,TRICHOPTERA
Tricorythodes,TRICORYTHODES,,TRICORYTHODES
Tropisternus,TROPISTERNUS,,TROPISTERNUS
Truncatelloidea,TRUNCATELLOIDEA,,TRUNCATELLOIDEA
Tubificinae,NAIDIDAE,yes,NAIDIDAE
Tvetenia,ORTHOCLADIINAE,yes,TVETENIA
Tyrrellia,TYRRELLIA,,TYRRELLIA
Unionicola,UNIONICOLA,,UNIONICOLA
Unionidae,UNIONIDAE,,UNIONIDAE
Unniella multivirga,ORTHOCLADIINAE,yes,UNNIELLA MULTIVIRGA
Utterbackiana suborbiculata,UTTERBACKIANA SUBORBICULATA,,UTTERBACKIANA SUBORBICULATA
Uvarus,UVARUS,,UVARUS
Varichaetadrilus,VARICHAETADRILUS,,VARICHAETADRILUS
Veliidae,VELIIDAE,,VELIIDAE
Wormaldia,WORMALDIA,,WORMALDIA
Xenochironomus,CHIRONOMIDAE,yes,XENOCHIRONOMUS
Xenochironomus xenolabis,CHIRONOMINI,yes,XENOCHIRONOMUS XENOLABIS
Xestochironomus,CHIRONOMINI,yes,XESTOCHIRONOMUS
Xylotopus par,ORTHOCLADIINAE,yes,XYLOTOPUS PAR
Zavreliella,TANYTARSINI,yes,ZAVRELIELLA
Zavreliella marmorata,TANYTARSINI,yes,ZAVRELIELLA MARMORATA
Zavrelimyia,TANYPODINAE,yes,ZAVRELIMYIA
