TaxaID,NonTarget,BCG_Attr_roman,BCG_Attr,BCG_Attr2,FFG,Habit,HABSTRUCT,LIFE_CYCLE,AirBreather,LargeRiver,Rank,Taxon_Group,Ins,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,OCC_RefNum,OCC_NotUsedForEPT,OWRB_TOLVAL,OCC_HBI_score,OWRB_FFG,OCC_FFG,OWRB_Habit,OWRB_LIFE_CYCLE
STYGOBROMUS,FALSE,III,3,,CG,SP,,uni,0,FALSE,Genus,AMPHIPODA_ISOPODA,NonIns,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,GAMMARIDEA,,CRANGONYCTIDAE,,,STYGOBROMUS,,28.8,,8,2,CG,CG,UNKN,UNKN
STYGOTHROMBIUM,FALSE,,,,,,,,0,FALSE,Genus,TROMBIDIFORMES,NonIns,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,TROMBIDIFORMES,PROSTIGMATA,,STYGOTHROMBIIDAE,,,STYGOTHROMBIUM,,,,NA,,UN,,UN,UNKN
STYLARIA,FALSE,,,,,,,,0,FALSE,Genus,OLIGOCHAETA,NonIns,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,STYLARIA,,,,8,,CG,,UNKN,UNKN
STYLOGOMPHUS,FALSE,II,2,,PR,BU,,semi,0,FALSE,Genus,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,GOMPHIDAE,,,STYLOGOMPHUS,,191.3,,1,1,PR,,BU,UNKN
STYLURUS,FALSE,IV_middle,4,4_middle,"PR,CG","BU,SP",,semi,0,TRUE,Genus,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,GOMPHIDAE,,,STYLURUS,,,,NA,,PR,,BU,UNKN
SUCCINEA,TRUE,,,,SC,NA,,NA,0,,Genus,EXCLUDE-TERRESTRIAL,,ANIMALIA,MOLLUSCA,,GASTROPODA,,,,,,,,SUCCINEA,,272.2,,,7,,,,
SYMPETRUM,FALSE,IV_middle,4,4_middle,PR,SP,,uni,0,FALSE,Genus,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,LIBELLULIDAE/CORDULIIDAE,LIBELLULIDAE,,,SYMPETRUM,,,,9,,PR,,UNKN,SEMI
SYMPOTTHASTIA,FALSE,,,,"CG,SC",SP,CS,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,DIAMESINAE,DIAMESINI,SYMPOTTHASTIA,,,,2,,CG,,UNKN,UNKN
SYNORTHOCLADIUS,FALSE,,,,,,,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,SYNORTHOCLADIUS,,,,2,,CG,,UNKN,MULTI
SYRPHIDAE,FALSE,,,,CG,BU,,NA,-1,,Family,DIPTERA,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,SYRPHIDAE,,,,,,,,,,,,
