TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
GONOMYIA,FALSE,4,4_middle,CG,BU,uni,FALSE,,,5.5,KS,Ga,GA,,EPA,Bu,BU,,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,GONOMYIA
GORDIIDAE,FALSE,4,4_middle,PA,NA,NA,FALSE,,,5,KY,Pa,PA,,EPA,,,,,NEMATOMORPHA,,,GORDIOIDEA,GORDIIDAE,,,
GRAPHODERUS,FALSE,,,,,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,GRAPHODERUS
GRAPHODERUS LIBERUS,FALSE,,,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,GRAPHODERUS
GUTTIPELOPIA,FALSE,,,PR,,,FALSE,,,6.3,KY,Pr,PR,,MC,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,GUTTIPELOPIA
GYMNOCHTHEBIUS,FALSE,4,4_middle,,,,TRUE,,,,,,,,,"Cg,Cl",CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDRAENIDAE,,,GYMNOCHTHEBIUS
GYMNOMETRIOCNEMUS,FALSE,,,CG,SP,,FALSE,,,7,KS,Ga,GA,,EPA,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,GYMNOMETRIOCNEMUS
GYRAULUS,FALSE,4,4_worse,SC,CB,NA,FALSE,,,8,B,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,PLANORBIDAE,,,GYRAULUS
GYRETES,FALSE,4,4_middle,PR,SW,uni,TRUE,RM,root_mat,3.7,KS,Pr,PR,,KY,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,GYRETES
GYRINIDAE,FALSE,4,4_middle,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,
GYRINUS,FALSE,4,4_middle,PR,SW,uni,TRUE,RM,root_mat,6.3,L,Pr,PR,,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,GYRINUS
HABROPHLEBIODES,FALSE,,,CG,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,HABROPHLEBIODES
HAEMOPIS TERRESTRIS,FALSE,,,"PR,SH",SP,,FALSE,,,,,,,,,,,,,ANNELIDA,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,HAEMOPIDAE,,,HAEMOPIS
HAGENIUS,FALSE,3,,PR,SP,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,HAGENIUS
HAGENIUS BREVISTYLUS,FALSE,3,,PR,SP,semi,FALSE,,,4,L,Pr,PR,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,HAGENIUS
HALIPLIDAE,FALSE,4,4_worse,PH,CN,multi,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,,
HALIPLUS,FALSE,4,4_worse,"SH,PH",CB,multi,TRUE,,,5,B,"Pi,Sh",PI,SH,MC,"Sw,Cl",SW,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,,HALIPLUS
HAPLOPERLA,FALSE,,,PR,CN,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,CHLOROPERLIDAE,,,HAPLOPERLA
HAPLOTAXIDAE,FALSE,,,,,,FALSE,,,,,,,,,,,,,ANNELIDA,OLIGOCHAETA,,HAPLOTAXIDA,HAPLOTAXIDAE,,,
HAPLOTAXIS,FALSE,4,4_middle,CG,BU,NA,FALSE,,,9,KY,Ga,GA,,EPA,,,,,ANNELIDA,OLIGOCHAETA,,HAPLOTAXIDA,HAPLOTAXIDAE,,,HAPLOTAXIS
