Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Gerris buenoi,"NonTarget - Hemiptera, water column or surface dwellers",Gerris buenoi,Gerris buenoi,Gerris buenoi
Gerris incurvatus,"NonTarget - Hemiptera, water column or surface dwellers",Gerris incurvatus,Gerris incurvatus,Gerris incurvatus
Gerris remigis,"NonTarget - Hemiptera, water column or surface dwellers",Gerris remigis,Gerris remigis,Gerris remigis
Gillotia,,Gillotia,Gillotia,Gillotia
Glans,Marine,DNI,DNI,DNI
Gloma,Dubious ID?,DNI,DNI,DNI
Glossidae,Marine,DNI,DNI,DNI
Glossiphonia,,Glossiphonia,Glossiphonia,Glossiphonia
Glossiphonia complanata,,Glossiphonia,Glossiphonia,Glossiphonia
Glossiphonia elegans,,Glossiphonia,Glossiphonia,Glossiphonia
Glossiphoniidae,,Glossiphoniidae,Glossiphoniidae,Glossiphoniidae
Glossobius,marine,DNI,DNI,DNI
Glossosoma,,Glossosoma,Glossosoma,Glossosoma
Glossosoma (Anseriglossa),,Glossosoma,Glossosoma,Glossosoma
Glossosoma alascense,,Glossosoma,Glossosoma,Glossosoma
Glossosoma intermedium,,Glossosoma,Glossosoma,Glossosoma
Glossosoma oregonense,,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitum,,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitus,,Glossosoma,Glossosoma,Glossosoma
Glossosoma pyroxum,,Glossosoma,Glossosoma,Glossosoma
Glossosoma traviatum,,Glossosoma,Glossosoma,Glossosoma
Glossosoma velonum,,Glossosoma,Glossosoma,Glossosoma
Glossosoma wenatchee,,Glossosoma,Glossosoma,Glossosoma
Glossosomatidae,,Glossosomatidae,Glossosomatidae,Glossosomatidae
Glossosomatinae,,Glossosomatidae,Glossosomatidae,Glossosomatidae
Glossosomatini,,Glossosomatidae,Glossosomatidae,Glossosomatidae
Glossosomatoidea,TOO COARSE,Trichoptera,Trichoptera,Trichoptera
Glutops,,Glutops,Glutops,Glutops
Glutops bandus,,Glutops,Glutops,Glutops
Gluvia,Terrestrial,DNI,DNI,DNI
Glyphopsyche,"valid, rare- marshes and slow systems",Glyphopsyche,Glyphopsyche,Glyphopsyche
Glyphopsyche irrorata,"valid, rare- marshes and slow systems",Glyphopsyche,Glyphopsyche,Glyphopsyche
Glyptotendipes,,Glyptotendipes,Glyptotendipes,Glyptotendipes
Gnorimosphaeroma,,Gnorimosphaeroma,Gnorimosphaeroma,Gnorimosphaeroma
Gnorimosphaeroma oregonensis,,Gnorimosphaeroma,Gnorimosphaeroma,Gnorimosphaeroma
Goera,"not all larvae of North American species have been described, genus level",Goera,Goera,Goera
Goera archaon,"not all larvae of North American species have been described, genus level",Goera,Goera,Goera
Goeracea,,Goeracea,Goeracea,Goeracea
Goeracea genota,,Goeracea,Goeracea,Goeracea
Goeracea oregona,,Goeracea,Goeracea,Goeracea
Goereilla baumanni,"rare taxon, Currently known from WA,MT, ID",Goereilla baumanni,Goereilla baumanni,Goereilla baumanni
Goeridae,,Goeridae,Goeridae,Goeridae
Goerinae,,Goeridae,Goeridae,Goeridae
Gomphidae,,Gomphidae,Gomphidae,Gomphidae
Gomphurus,,Gomphidae,Gomphidae,Gomphidae
Gomphurus/Phanogomphus,,Gomphidae,Gomphidae,Gomphidae
Gomphus,changed to family currently no Gomphus in NA,Gomphidae,Gomphidae,Gomphidae
Gonempeda,"not a new Limoniid, but rarely Idd backing off to family",Limoniidae,Limoniidae,Limoniidae
Gonidea,was an Anodonta brackish or tidally influenced freshwater,DNI,DNI,DNI
Gonidea angulata,was an Anodonta brackish or tidally influenced freshwater,DNI,DNI,DNI
Gonomyia,,Gonomyia,Gonomyia,Gonomyia
Gonomyia/Ellipteriodes/Idiocera,,Limoniidae,Limoniidae,Limoniidae
Gonomyodes,,Gonomyodes,Gonomyodes,Gonomyodes
Grammotaulius,,Grammotaulius,Grammotaulius,Grammotaulius
Graphoderus,,Dytiscidae,Dytiscidae,Dytiscidae
Graphoderus liberus,,Dytiscidae,Dytiscidae,Dytiscidae
Graphoderus perplexus,,Dytiscidae,Dytiscidae,Dytiscidae
Graptocorixa,"NonTarget - Hemiptera, water column or surface dwellers",Graptocorixa,Graptocorixa,Graptocorixa
Grensia praeterita,,Limnephilidae,Limnephilidae,Limnephilidae
Guestphalinus,,Guestphalinus,Oligochaeta,Lumbriculidae
Gumaga,,Gumaga,Gumaga,Gumaga
Guttipelopia,,Guttipelopia,Guttipelopia,Guttipelopia
Gymnochthebius,,Gymnochthebius,Gymnochthebius,Gymnochthebius
Gymnometriocnemus,,Gymnometriocnemus,Gymnometriocnemus,Gymnometriocnemus
Gymnopais/Twinnia,,Simuliidae,Simuliidae,Simuliidae
Gyraulus,,Gyraulus,Gyraulus,Gyraulus
Gyraulus deflectus,,Gyraulus,Gyraulus,Gyraulus
Gyraulus parvus,,Gyraulus,Gyraulus,Gyraulus
