Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Limnesia,,Limnesia,Limnesia,Limnesia
Limnesiidae,,Limnesiidae,Limnesiidae,Limnesiidae
Limnichidae,Terrestrial,DNI,DNI,DNI
Limnochares,,Limnochares,Limnochares,Limnochares
Limnodrilus,,Limnodrilus,Oligochaeta,Tubificinae
Limnodrilus hoffmeisteri,,Limnodrilus,Oligochaeta,Tubificinae
Limnophila,,Eloeophila,Eloeophila,Eloeophila
Limnophila/Dicranophragma/Eloeophila/Euphylidorea/Idioptera,,Limoniidae,Limoniidae,Limoniidae
Limnophilinae,best to leave at family,Limoniidae,Limoniidae,Limoniidae
Limnophora,,Muscidae,Muscidae,Muscidae
Limnophyes,,Limnophyes,Limnophyes,Limnophyes
Limnoporus,"NonTarget - Hemiptera, water column or surface dwellers",Limnoporus,Limnoporus,Limnoporus
Limonia,,Dicranomyia,Dicranomyia,Dicranomyia
Limonia/Dicranomyia/Geranomyia,,Limoniidae,Limoniidae,Limoniidae
Limoniidae,,Limoniidae,Limoniidae,Limoniidae
Limoniinae,,Limoniidae,Limoniidae,Limoniidae
Limoniinae sp. AJF#01,,Limoniidae,Limoniidae,Limoniidae
Limoniinae sp. AJF#02,,Limoniidae,Limoniidae,Limoniidae
Limoniinae sp. AJF#03,,Limoniidae,Limoniidae,Limoniidae
Liodessus,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Liodessus obscurellus,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Lipiniella,,Lipiniella,Lipiniella,Lipiniella
Lipsothrix,,Lipsothrix,Lipsothrix,Lipsothrix
Lirceus,,Lirceus,Lirceus,Lirceus
Lithoglyphidae,,Truncatelloidea,Truncatelloidea,Truncatelloidea
Ljania,,Ljania,Ljania,Ljania
Lopescladius,,Lopescladius,Lopescladius,Lopescladius
Lumbricidae,Mostly Terrestrial,DNI,DNI,DNI
Lumbricina,Mostly Terrestrial,DNI,DNI,DNI
Lumbriculida,Mostly Terrestrial,DNI,DNI,DNI
Lumbriculidae,,Lumbriculidae,Oligochaeta,Lumbriculidae
Lumbriculus,,Lumbriculidae,Oligochaeta,Lumbriculidae
Lutrochus,,Lutrochus,Lutrochus,Lutrochus
Lymnaea,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Lymnaea auricularia,This is actually Radix  an invaisive,Lymnaeidae,Lymnaeidae,Lymnaeidae
Lymnaeidae,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Maccaffertium,,Maccaffertium,Maccaffertium,Maccaffertium
Maccaffertium terminatum,,Maccaffertium,Maccaffertium,Maccaffertium
Maccaffertium vicarium,,Maccaffertium,Maccaffertium,Maccaffertium
Maccaffertium/Stenonema,,Maccaffertium,Maccaffertium,Maccaffertium
Macdunnoa,,Macdunnoa,Macdunnoa,Macdunnoa
Macoma,,Macoma,Macoma,Macoma
Macromia,,Macromia,Macromia,Macromia
Macromiidae,only genus known from the PNW,Macromia,Macromia,Macromia
Macropelopia,,Macropelopia,Macropelopia,Macropelopia
Macropelopia decedens,,Macropelopia,Macropelopia,Macropelopia
Macropelopiini,,Macropelopiini,Macropelopiini,Macropelopiini
Macrostemum,,Macrostemum,Macrostemum,Macrostemum
Macrovelia,"NonTarget - Hemiptera, water column or surface dwellers",Macrovelia,Macrovelia,Macrovelia
Macrovelia hornii,"NonTarget - Hemiptera, water column or surface dwellers",Macrovelia hornii,Macrovelia hornii,Macrovelia hornii
Macroveliidae,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Macroveliidae,Macroveliidae,Macroveliidae
Malenka,,Malenka,Malenka,Malenka
Malenka depressa,,Malenka,Malenka,Malenka
Mallochohelea,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Manayunkia,,Manayunkia,Manayunkia,Manayunkia
Manayunkia speciosa,Polychaeta excluded,Manayunkia,Manayunkia,Manayunkia
Manophylax,,Manophylax,Manophylax,Manophylax
Margaritifera,,Margaritifera falcata,Margaritifera falcata,Margaritifera falcata
Margaritifera falcata,,Margaritifera falcata,Margaritifera falcata,Margaritifera falcata
Margaritiferidae,,Margaritifera falcata,Margaritifera falcata,Margaritifera falcata
Marilia,,Marilia,Marilia,Marilia
Marionina,Dubious ID ( known from MN and WI),DNI,DNI,DNI
Marisa cornuarietis,,Marisa cornuarietis,Marisa cornuarietis,Marisa cornuarietis
Maruina,,Maruina,Maruina,Maruina
Maruina lanceolata,,Maruina,Maruina,Maruina
Matriella,Single species in Genus,Matriella teresa,Matriella teresa,Matriella teresa
Matriella teresa,Single species in Genus,Matriella teresa,Matriella teresa,Matriella teresa
Mayatrichia,"Mayatrichia ayama may not be the only species found in the PNW, as several other species are currently known to occur as far north as NV/UT/WY.",Mayatrichia,Mayatrichia,Mayatrichia
Megadrile,Terrestrial,DNI,DNI,DNI
Megaleuctra,,Megaleuctra,Megaleuctra,Megaleuctra
Megaloptera,,Megaloptera,Megaloptera,Megaloptera
Megarcys,,Megarcys,Megarcys,Megarcys
Megarcys subtruncata,,Megarcys,Megarcys,Megarcys
Melanoides,"Not Native, more SW ( known from Harney Co. Oregon)",DNI,DNI,DNI
Melanoides tuberculatus,,Melanoides tuberculatus,Melanoides tuberculatus,Melanoides tuberculatus
Mena,,Hydra,Hydra,Hydra
Menetus,,Menetus,Menetus,Menetus
Menetus (Micromenetus),,Menetus,Menetus,Menetus
Menetus opercularis,,Menetus,Menetus,Menetus
Meramecia,,Meramecia,Meramecia,Meramecia
Meringodixa,,Meringodixa,Meringodixa,Meringodixa
Meringodixa chalonensis,,Meringodixa,Meringodixa,Meringodixa
Meropelopia,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Merragata,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Merragata,Merragata,Merragata
Merycomyia,,Tabanidae,Tabanidae,Tabanidae
Mesenchytraeus,,Mesenchytraeus,Oligochaeta,Enchytraeidae
Mesenchytraeus ,Trailing space after genus Name,Mesenchytraeus,Oligochaeta,Enchytraeidae
Mesobates,,Mesobates,Mesobates,Mesobates
Mesocapnia,,Capniidae,Capniidae,Capniidae
Mesocricotopus,,Mesocricotopus,Mesocricotopus,Mesocricotopus
Mesosmittia,,Mesosmittia,Mesosmittia,Mesosmittia
Mesovelia,"NonTarget - Hemiptera, water column or surface dwellers",Mesovelia,Mesovelia,Mesovelia
Metachela,,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Metacnephia,,Metacnephia,Metacnephia,Metacnephia
Metapelopia,"Laurindo da Silva et al., 2014 described; not in Andersen et al 2013 or Merritt et al. 2019",Metapelopia,Metapelopia,Metapelopia
Metrichia,,Hydroptilidae,Hydroptilidae,Hydroptilidae
Metriocnemus,,Metriocnemus,Metriocnemus,Metriocnemus
Metrobates,"NonTarget - Hemiptera, water column or surface dwellers",Metrobates,Metrobates,Metrobates
Metrobates trux,"NonTarget - Hemiptera, water column or surface dwellers",Metrobates trux,Metrobates trux,Metrobates trux
Mica,marine,DNI,DNI,DNI
Micracanthia,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Micracanthia,Micracanthia,Micracanthia
Micrasema,,Micrasema,Micrasema,Micrasema
Micrasema Bactro Group,"Micrasema alexanderi Denning, 1948; Micrasema arizonica Ling, 1938; Micraseam bactro Ross, 1938; Micraseam diteris Ross, 1947; Micrasema onisca Ross, 1947 are current valid species in this group.",Micrasema Bactro Group,Micrasema Bactro Group,Micrasema Bactro Group
Micrasema dimicki,,Micrasema,Micrasema,Micrasema
Micrasema gelidum,"Micrasema kluane Ross & Morse, 1973 and Micrasema scissum McLachlan, 1884 are synonyms.",Micrasema gelidum,Micrasema gelidum,Micrasema gelidum
Microchironomus,,Microchironomus,Microchironomus,Microchironomus
Microcylloepus,,Microcylloepus,Microcylloepus,Microcylloepus
Microcylloepus pusillus,,Microcylloepus,Microcylloepus,Microcylloepus
Microcylloepus similis,,Microcylloepus,Microcylloepus,Microcylloepus
Micromenetus,,Menetus,Menetus,Menetus
Micromenetus dilatatus,,Menetus,Menetus,Menetus
Micropsectra,,Micropsectra,Micropsectra,Micropsectra
Micropsectra/Tanytarsus,,Tanytarsini,Tanytarsini,Tanytarsini
Microsporidae,Terrestrial,DNI,DNI,DNI
Microtendipes,,Microtendipes,Microtendipes,Microtendipes
Microtendipes pedellus aberrans,sub species,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes Pedellus Group
Microtendipes Pedellus gr.,FORMATTING,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes Pedellus Group
Microtendipes pedellus group,FORMATTING,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes Pedellus Group
Microtendipes Pedellus Group,FORMATTING,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes Pedellus Group
Microtendipes pedellus Group,FORMATTING,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes Pedellus Group
Microtendipes rydalensis,FORMATTING,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group
Microtendipes Rydalensis Gr.,FORMATTING,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group
Microtendipes rydalensis group,FORMATTING,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group
Microtendipes Rydalensis Group,FORMATTING,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group
Microtendipes rydalensis Group,FORMATTING,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group
Microvelia,"NonTarget - Hemiptera, water column or surface dwellers",Microvelia,Microvelia,Microvelia
Midea,,Midea,Midea,Midea
Mideopsidae,,Mideopsidae,Mideopsidae,Mideopsidae
Mideopsis,,Mideopsis,Mideopsis,Mideopsis
Mochlonyx,,Mochlonyx,Mochlonyx,Mochlonyx
Molanna,,Molanna,Molanna,Molanna
Molannidae,,Molannidae,Molannidae,Molannidae
Molannodes tinctus,,Molannodes tinctus,Molannodes tinctus,Molannodes tinctus
Mollusca,Too Coarse,Mollusca,Mollusca,Mollusca
Molophilus,,Molophilus,Molophilus,Molophilus
Momonia,,Momonia,Momonia,Momonia
Momoniidae,,Momoniidae,Momoniidae,Momoniidae
Monatractides,,Monatractides,Monatractides,Monatractides
Monocorophium,,Monocorophium,Monocorophium,Monocorophium
Monodiamesa,,Monodiamesa,Monodiamesa,Monodiamesa
Monohelea,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Monopelopia,,Monopelopia,Monopelopia,Monopelopia
Monophylax,Single species,Monophylax mono,Monophylax mono,Monophylax mono
Monophylax mono,Single species,Monophylax mono,Monophylax mono,Monophylax mono
Montiphylax,"Philocasca antennata, Philocasca thor and Philocasca alba were transferred to the new genus Montiphylax by Ruiter & Mutch (2019)",Montiphylax,Montiphylax,Montiphylax
Mooreobdella,,Erpobdella,Erpobdella,Erpobdella
Moselia,,Moselia,Moselia,Moselia
Moselia infuscata,Now two species in NW,Moselia,Moselia,Moselia
Moselyana,Single Species in Genus,Moselyana comosa,Moselyana comosa,Moselyana comosa
Moselyana comosa,Single Species in Genus,Moselyana comosa,Moselyana comosa,Moselyana comosa
Munroessa/Synclita,Lot of these are terrestrial,DNI,DNI,DNI
Muscidae,,Muscidae,Muscidae,Muscidae
Muscomorpha,Terrestrial,DNI,DNI,DNI
Musculium,nomenclature,Musculium/Sphaerium,Musculium/Sphaerium,Musculium/Sphaerium
Musculium/Sphaerium,,Musculium/Sphaerium,Musculium/Sphaerium,Musculium/Sphaerium
Mycetophilidae,Terrestrial,DNI,DNI,DNI
Mystacides,,Mystacides,Mystacides,Mystacides
Mystacides alafimbriata,spelling mistake,Mystacides,Mystacides,Mystacides
Mystacides alafimbriatus,,Mystacides,Mystacides,Mystacides
Myxosargus,,Myxosargus,Myxosargus,Myxosargus
Myzobdella,,Erpobdella,Erpobdella,Erpobdella
Naididae,,Naididae,Oligochaeta,Naididae
Naidinae,,Naidinae,Oligochaeta,Naidinae
Nais,,Nais,Oligochaeta,Naidinae
Nais behningi,,Nais,Oligochaeta,Naidinae
Nais communis,,Nais,Oligochaeta,Naidinae
Nais variabilis,,Nais,Oligochaeta,Naidinae
Najadicola,,Najadicola,Najadicola,Najadicola
Namamyia,monotypic,Namamyia plutonis,Namamyia plutonis,Namamyia plutonis
Namamyia plutonis,,Namamyia plutonis,Namamyia plutonis,Namamyia plutonis
Nanocladius,,Nanocladius,Nanocladius,Nanocladius
Nanonemoura wahkeena,endmic to Co. River Gorge,Nanonemoura wahkeena,Nanonemoura wahkeena,Nanonemoura wahkeena
Narpus,,Narpus,Narpus,Narpus
Narpus angustus,,Narpus,Narpus,Narpus
Narpus concolor,,Narpus,Narpus,Narpus
Natarsia,,Natarsia,Natarsia,Natarsia
Naucoridae,"NonTarget - Hemiptera, water column or surface dwellers",Naucoridae,Naucoridae,Naucoridae
Nautarachna,,Nautarachna,Nautarachna,Nautarachna
Nautarachnidae,nomenclature,Pionidae,Pionidae,Pionidae
Neanthes,Polychaeta excluded,DNI,DNI,DNI
Neanthes limnicola,Polychaeta excluded,DNI,DNI,DNI
Neaviperla forcipata,,Neaviperla/Suwallia,Neaviperla/Suwallia,Neaviperla/Suwallia
Neaviperla/Suwallia,Slashed taxon,Neaviperla/Suwallia,Neaviperla/Suwallia,Neaviperla/Suwallia
Nebrioporus,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Nebrioporus/Stictotarsus,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Nectoboreus,Present in CA and the SW and may eventually be found in the PNW. Keys to Stictotarsus/Boreonectes in Merritt et al. 2019. Use Fery and Ribera 2018 for generic placement.,Nectoboreus,Nectoboreus,Nectoboreus
Nectoporus,"Genera within Hydroporinae in flux; for MTTI, best to leave at subfamily",Nectoporus,Nectoporus,Nectoporus
Nectoprus,misspelled,Nectoporus,Nectoporus,Nectoporus
Nectopsyche,,Nectopsyche,Nectopsyche,Nectopsyche
Nectopsyche gracilis,,Nectopsyche,Nectopsyche,Nectopsyche
Nehallenia,,Nehallenia,Nehallenia,Nehallenia
Nemata,,Nemata,Nemata,Nemata
Nematocera,,Nematocera,Nematocera,Nematocera
Nematoda,,Nemata,Nemata,Nemata
Nematomorpha,,Nematomorpha,Nematomorpha,Nematomorpha
Nemertea,,Prostoma,Prostoma,Prostoma
Nemotaulius hostilis,,Nemotaulius hostilis,Nemotaulius hostilis,Nemotaulius hostilis
Nemotelus,,Nemotelus,Nemotelus,Nemotelus
Nemoura,,Nemouridae,Nemouridae,Nemouridae
Nemouridae,,Nemouridae,Nemouridae,Nemouridae
Neoacarus,,Neoacarus,Neoacarus,Neoacarus
Neobrachypoda,,Neobrachypoda,Neobrachypoda,Neobrachypoda
Neochoroterpes,,Neochoroterpes,Neochoroterpes,Neochoroterpes
Neoclypeodytes,Regionally present??? Mostly SW MesoAmerica,Hydroporinae,Hydroporinae,Hydroporinae
Neoclypeodytes ornatellus,Regionally present??? Mostly SW MesoAmerica,Hydroporinae,Hydroporinae,Hydroporinae
Neocorixa,"NonTarget - Hemiptera, water column or surface dwellers",Neocorixa,Neocorixa,Neocorixa
Neohermes,,Neohermes,Neohermes,Neohermes
Neoleptophlebia,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia
Neoleptophlebia bicornuta group,,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group
Neoleptophlebia/Paraleptophlebia,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia
Neomamersa,,Neomamersa,Neomamersa,Neomamersa
Neomideopsis,,Neomideopsis,Neomideopsis,Neomideopsis
Neomysis,Generally excluded in lotic benthic samples,DNI,DNI,DNI
Neophylax,,Neophylax,Neophylax,Neophylax
Neophylax occidentis,,Neophylax occidentis,Neophylax occidentis,Neophylax occidentis
Neophylax rickeri,,Neophylax rickeri,Neophylax rickeri,Neophylax rickeri
Neophylax smithi,,Neophylax smithi,Neophylax smithi,Neophylax smithi
Neophylax splendens,,Neophylax splendens,Neophylax splendens,Neophylax splendens
Neoplanorbis,,Planorbidae,Planorbidae,Planorbidae
Neoplasta,,Neoplasta,Neoplasta,Neoplasta
Neoplea,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Neoplea,Neoplea,Neoplea
Neoplea striola,"NonTarget - Hemiptera, water column or surface dwellers",Neoplea striola,Neoplea striola,Neoplea striola
Neoporus,Genera within Hydroporinae in flux best to leave at subfamily,Neoporus,Neoporus,Neoporus
Neoporus undulatus,Genera within Hydroporinae in flux best to leave at subfamily,Neoporus,Neoporus,Neoporus
Neothremma,,Neothremma,Neothremma,Neothremma
Neothremma alicia,,Neothremma,Neothremma,Neothremma
Neotrichia,,Neotrichia,Neotrichia,Neotrichia
Nereididae,Polychaeta excluded,DNI,DNI,DNI
Nerophilus,monotypic,Nerophilus californicus,Nerophilus californicus,Nerophilus californicus
Nerophilus californicus,,Nerophilus californicus,Nerophilus californicus,Nerophilus californicus
Neumania,,Neumania,Neumania,Neumania
Neureclipsis,,Neureclipsis,Neureclipsis,Neureclipsis
Neuroptera,I tend to exclude these,Neuroptera,Neuroptera,Neuroptera
Nilotanypus,,Nilotanypus,Nilotanypus,Nilotanypus
Nilotanypus fimbriatus,,Nilotanypus,Nilotanypus,Nilotanypus
Nilothauma,,Nilothauma,Nilothauma,Nilothauma
Nimbocera,Jr. Syn. of Tanytarsus,Tanytarsus,Tanytarsus,Tanytarsus
Ninelia,"Orthocladiinae species B pupa in Saether 1982; Orthocladiinae Genus 9 pupa in Merritt et al. 2019 (couplet 116 of Orthocladiinae, Diamesinae, and Prodiamesinae key.",Ninelia,Ninelia,Ninelia
Nippotipula,,Tipula,Tipula,Tipula
Nixe,most PNW Nixe are Afghanurus,Ecdyonurus,Ecdyonurus,Ecdyonurus
Nixe/Leucocruta,,Heptageniidae,Heptageniidae,Heptageniidae
Noctuidae,Lot of these are terrestrial,DNI,DNI,DNI
Nootkadrilus,,Nootkadrilus,Oligochaeta,Oligochaeta
Nootkadrilus longisetosus,,Nootkadrilus,Oligochaeta,Oligochaeta
Noteridae,mostly eastern and neotropical ( no known records from OR and WA)dubious ID (Nilsson 2011),Noteridae,Noteridae,Noteridae
Nothotrichia shasta,,Nothotrichia shasta,Nothotrichia shasta,Nothotrichia shasta
Notonecta,"NonTarget - Hemiptera, water column or surface dwellers",Notonecta,Notonecta,Notonecta
Notonecta kirbyi,"NonTarget - Hemiptera, water column or surface dwellers",Notonecta kirbyi,Notonecta kirbyi,Notonecta kirbyi
Notonecta undulata,"NonTarget - Hemiptera, water column or surface dwellers",Notonecta undulata,Notonecta undulata,Notonecta undulata
Notonectidae,"NonTarget - Hemiptera, water column or surface dwellers",Notonectidae,Notonectidae,Notonectidae
Notopanisus,,Notopanisus,Notopanisus,Notopanisus
Notostraca,tadpole shrimp temporary habitats not lotic stream samples,DNI,DNI,DNI
Nudomideopsidae,,Nudomideopsidae,Nudomideopsidae,Nudomideopsidae
Nyctiophylax,,Nyctiophylax,Nyctiophylax,Nyctiophylax
Ochrotrichia,,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochrotrichia alsea,,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochrotrichia stylata,,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochthebius,,Hydraenidae,Hydraenidae,Hydraenidae
Octogomphus,monotypic,Octogomphus specularis,Octogomphus specularis,Octogomphus specularis
Octogomphus specularis,,Octogomphus specularis,Octogomphus specularis,Octogomphus specularis
Ocybrachypoda,,Ocybrachypoda,Ocybrachypoda,Ocybrachypoda
Odonata,,Odonata,Odonata,Odonata
Odontoceridae,,Odontoceridae,Odontoceridae,Odontoceridae
Odontomesa,,Odontomesa,Odontomesa,Odontomesa
Odontomesa fulva,,Odontomesa,Odontomesa,Odontomesa
Odontomyia,,Odontomyia,Odontomyia,Odontomyia
Odontomyia (Catatasina),,Odontomyia (Catatasina),Odontomyia (Catatasina),Odontomyia (Catatasina)
Odontomyia (Odontomyia)/Hedriodiscus,,Odontomyia (Odontomyia)/Hedriodiscus,Odontomyia (Odontomyia)/Hedriodiscus,Odontomyia (Odontomyia)/Hedriodiscus
Odontomyia (Odontomyiina),,Odontomyia (Odontomyiina),Odontomyia (Odontomyiina),Odontomyia (Odontomyiina)
Oecetis,,Oecetis,Oecetis,Oecetis
Oecetis avara,,Oecetis,Oecetis,Oecetis
Oecetis avara group,,Oecetis,Oecetis,Oecetis
Oecetis Avara Group,,Oecetis,Oecetis,Oecetis
Oecetis disjuncta,,Oecetis,Oecetis,Oecetis
Oemopteryx,,Oemopteryx,Oemopteryx,Oemopteryx
Olea,Marine,DNI,DNI,DNI
Oligia,Lot of these are terrestrial,DNI,DNI,DNI
Oligoceras,Sponges excluded,DNI,DNI,DNI
Oligochaeta,,Oligochaeta,Oligochaeta,Oligochaeta
oligochaetous Clitellata,,Oligochaeta,Oligochaeta,Oligochaeta
Oligoneuriidae,,Oligoneuriidae,Oligoneuriidae,Oligoneuriidae
Oligophlebodes,,Oligophlebodes,Oligophlebodes,Oligophlebodes
Oligota,Terrestrial,DNI,DNI,DNI
Oliveridia,disjunct dist. Good ID backing off to family,Orthocladiinae,Orthocladiinae,Orthocladiinae
Omisus,,Omisus,Omisus,Omisus
Onocosmoecus,two species in region,Onocosmoecus,Onocosmoecus,Onocosmoecus
Onocosmoecus unicolor,two species in region,Onocosmoecus,Onocosmoecus,Onocosmoecus
Opeas,Marine,DNI,DNI,DNI
Ophidonais,monotypic,Ophidonais serpentina,Oligochaeta,Naidinae
Ophidonais serpentina,,Ophidonais serpentina,Oligochaeta,Naidinae
Ophiogomphus,,Ophiogomphus,Ophiogomphus,Ophiogomphus
Ophiogomphus occidentis,,Ophiogomphus,Ophiogomphus,Ophiogomphus
Ophiogomphus severus,,Ophiogomphus,Ophiogomphus,Ophiogomphus
Oplonaeschna armata,,Oplonaeschna armata,Oplonaeschna armata,Oplonaeschna armata
Optioservus,,Optioservus,Optioservus,Optioservus
Optioservus castanipennis,,Optioservus,Optioservus,Optioservus
Optioservus divergens,,Optioservus,Optioservus,Optioservus
Optioservus divergens/pecosensis,,Optioservus,Optioservus,Optioservus
Optioservus pecosensis,,Optioservus,Optioservus,Optioservus
Optioservus quadrimaculatus,,Optioservus,Optioservus,Optioservus
Optioservus Quadrimaculatus Gr.,,Optioservus,Optioservus,Optioservus
Optioservus quadrimaculatus group,,Optioservus,Optioservus,Optioservus
Optioservus seriatus,,Optioservus,Optioservus,Optioservus
Oravelia,Shore bugs,DNI,DNI,DNI
Oravelia pege,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Oravelia pege,Oravelia pege,Oravelia pege
Orconectes,nomenclature,Faxonius,Faxonius,Faxonius
Orconectes ,"nomenclature, trailing space",Faxonius,Faxonius,Faxonius
Orconectes (Faxonius),"Faxonius all Orconectes are cave dwelling, but we started this long before that change occurred",Faxonius,Faxonius,Faxonius
Ordobrevia,only one species in Genus,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera
Ordobrevia nubifera,only one species in Genus,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera
Oregonacarus,,Oregonacarus,Oregonacarus,Oregonacarus
Oregonia,marine,DNI,DNI,DNI
Oreodytes,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreodytes abbreviatus,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreodytes congruus,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreodytes obesus,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreodytes quadrimaculatus,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreodytes sanmarkii,Genera within Hydroporinae in flux best to leave at subfamily,Oreodytes,Oreodytes,Oreodytes
Oreogeton,,Oreogeton,Oreogeton,Oreogeton
Oreoleptis torrenticola,,Oreoleptis torrenticola,Oreoleptis torrenticola,Oreoleptis torrenticola
Oribatei,,Oribatida,Oribatida,Oribatida
Oribatida,,Oribatida,Oribatida,Oribatida
Orimarga,,Limoniidae,Limoniidae,Limoniidae
Ormosia,,Ormosia,Ormosia,Ormosia
Ormosia (Ormosia),may be mostly semi-aquatic,Ormosia (Ormosia),Ormosia (Ormosia),Ormosia (Ormosia)
Ormosia (Parormosia),may be mostly semi-aquatic,Ormosia (Parormosia),Ormosia (Parormosia),Ormosia (Parormosia)
Orohermes,monotypic,Orohermes crepusculus,Orohermes crepusculus,Orohermes crepusculus
Orohermes crepusculus,,Orohermes crepusculus,Orohermes crepusculus,Orohermes crepusculus
Oroperla,"single species, mostly California",Oroperla barbara,Oroperla barbara,Oroperla barbara
Oroperla barbara,"single species, mostly California",Oroperla barbara,Oroperla barbara,Oroperla barbara
Oropuella,,Oropuella,Oropuella,Oropuella
Orthocladiinae,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiinae Genus 5,,Orthocladiinae Genus 5,Orthocladiinae Genus 5,Orthocladiinae Genus 5
Orthocladiinae Genus 5 (Coffman and Ferrington),,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiinae sp. (RAI Taxon # 0001),,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. (RAI Taxon # 0004),,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiinae sp. (RAI Taxon # 0013),,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiinae sp. (RAI Taxon #0001),,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. RAI # 0001,,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. RAI # 0004,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiinae sp. RAI # 0011,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladiini/Metriocnemini,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Orthocladius,,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Euorthocladius),,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Euorthocladius) rivicola group,,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Euorthocladius) rivulorum,,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Mesorthocladius),,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Orthocladius),,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Symposiocladius),,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Symposiocladius) annectens,current STE,Orthocladius (Symposiocladius) annectens,Orthocladius (Symposiocladius) annectens,Orthocladius (Symposiocladius) annectens
Orthocladius (Symposiocladius) lignicola,,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Symposiocladius) sp. 2,,Orthocladius,Orthocladius,Orthocladius
Orthocladius annectens,,Orthocladius,Orthocladius,Orthocladius
