,Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_attr2,BCG_PredContScore,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MTTI_WA.optima,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,BSTI_WA.optima,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
205,Ephemeroptera,Caudatella heterocaudata complex,FALSE,2,,1.99166441,"CG,SC",CN,uni,LOTI,FALSE,FALSE,cold,Cold,,17,16.87597272,19.565,,,NA,NA,,NA,5.6,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,heterocaudata complex,
206,Ephemeroptera,Caudatella hystrix,FALSE,2,,1.981104136,"CG,SC",CN,uni,LOTI,FALSE,FALSE,stenoc,Cold Stenotherm,,12.5,12.54918976,17.64,,,0,0,F,15,5.6,,101348,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,hystrix
207,Ephemeroptera,Caudatella jacobi,FALSE,1i,,NA,"CG,SC",CN,uni,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,5.6,,568632,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,jacobi
208,Coleoptera,Celina,FALSE,NA,,NA,PR,SW,uni,LENT,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Methlini,,Celina,,,,,
209,Hemiptera,Cenocorixa,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Cenocorixa,,,,,
210,Acari,Centrolimnesia,FALSE,2,,NA,"PR,PA",UN,uni,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Limnesiidae,,,,Centrolimnesia,,,,,
211,Trichoptera,Ceraclea,FALSE,3,,NA,"CG,MH,PR","CB,SP,BU",uni,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,1,3,F,NA,NA,,116684,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceroidea,Leptoceridae,Leptocerinae,Athripsodini,,Ceraclea,,,,,
212,Diptera,Ceratopogonidae,FALSE,NA,,3.758066893,"PR,CG,SC","SP,BU",multi,GENE,FALSE,FALSE,,Cool,,NA,18.1465275,21.88,,yes,5,6,F,NA,NA,F,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,,,,,,,,,
213,Diptera,Ceratopogoninae,FALSE,4,4_middle,3.788895845,PR,BU,multi,GENE,FALSE,FALSE,cool,Cool,,18.3,18.26890559,21.91,,,4,6,F,NA,25,U,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
214,Ephemeroptera,Cercobrachys,FALSE,NA,,NA,CG,SP,multi,LOTI,FALSE,FALSE,,,,NA,NA,NA,,,11,7,F,NA,NA,,568556,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Caenidae,Brachycercinae,Cercobrachini,,Cercobrachys,,,,,
215,Oligochaeta,Cernosvitoviella,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,NA,,68534,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,
216,Chironomidae,Chaetocladius,FALSE,3,,3.284235239,CG,SP,multi,GENE,FALSE,FALSE,cool,Cool,,15.4,15.40707098,20.22014344,,,11,6,F,NA,23.5,,128520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Chaetocladius,,,,,
217,Oligochaeta,Chaetogaster,FALSE,NA,,NA,CG,"BU,SP",uni,GENE,FALSE,FALSE,,,Less30,21.2,NA,NA,,,11,8,F,NA,33.2,,68934,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,
218,Oligochaeta,Chamaedrilus,FALSE,4,4_middle,3.70600605,CG,"BU,SP",uni,GENE,FALSE,FALSE,cold,Cold,,16.6,16.57103594,19.618,,,11,NA,F,NA,NA,U,NA,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,
219,Diptera,Chaoboridae,FALSE,NA,,NA,PR,"SW,SP",multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,7,F,NA,NA,,125886,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,,,,,,,,,
220,Diptera,Chaoborus,FALSE,NA,,NA,PR,"SW,SP",multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,7,F,NA,NA,,125904,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,Chaoborinae,,,Chaoborus,,,,,
221,Megaloptera,Chauliodinae,FALSE,NA,,NA,PR,"CN,CB",semi,LOTI,TRUE,TRUE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,Chauliodinae,,,,,,,,
222,Diptera,Cheilotrichia,FALSE,NA,,NA,CG,BU,uni,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,NA,,120420,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Cheilotrichia,,,,,
223,Diptera,Chelifera/Metachela,FALSE,4,4_middle,3.828526258,PR,CN,uni,GENE,FALSE,FALSE,cool,Cool,,17.7,17.61649706,21.723,,,NA,NA,,NA,14.7,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
224,Acari,Chelomideopsis,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,15.8,NA,NA,,,NA,NA,,NA,NA,,83517,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Chelomideopsis,,,,,
225,Plecoptera,Chernokrilus misnomus,FALSE,NA,,NA,PR,"SP,CN",uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Perlodini,,Chernokrilus,,,,,misnomus
226,Trichoptera,Cheumatopsyche,FALSE,5,,4.633003712,CF,CN,multi,LOTI,FALSE,FALSE,stenow,Warm Stenotherm,,24,24.45488954,27.14,Warm Stenotherm,,5,5,F,NA,29,,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychoidea,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,
227,Trichoptera,Chimarra,FALSE,4,4_middle,3.957122803,CF,CN,uni,LOTI,TRUE,FALSE,stenow,Warm Stenotherm,,27.5,27.29328656,28.96,,,11,3.5,F,NA,NA,,115273,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Philopotamoidea,Philopotamidae,Chimarrinae,,,Chimarra,,,,,
228,Chironomidae,Chironomidae,FALSE,NA,,3.967679262,NA,NA,multi,NA,FALSE,FALSE,,Eurythermal,,NA,18.09121405,22.47,,yes,11,6,F,NA,NA,,127917,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,
229,Chironomidae,Chironominae,FALSE,NA,,3.920648098,NA,NA,multi,NA,FALSE,FALSE,,Eurythermal,,NA,18.67763835,22.614,,yes,11,8,F,NA,NA,U,129228,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,,,,,,,,
230,Chironomidae,Chironomini,FALSE,NA,,3.806429148,NA,NA,multi,NA,FALSE,FALSE,,Warm,,NA,20.33479956,23.54,,yes,11,6,F,NA,NA,,129229,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,,,,,,
231,Chironomidae,Chironomus,FALSE,5,,4.696938515,"CG,MH",BU,multi,GENE,FALSE,FALSE,warm,Warm,,20.4,20.40450929,24.23,,,4,10,F,NA,55.3,T,129254,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chironomus,,,,,
232,Plecoptera,Chloroperlidae,FALSE,NA,,3.825063467,"PR,SC,CG","CN,BU",uni,LOTI,FALSE,FALSE,,Cool,,NA,16.78017691,21.223,,yes,11,1,F,NA,NA,U,103202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,,,,,,,,,
233,Ephemeroptera,Choroterpes,FALSE,NA,,NA,"CG,SC","CN,SP,SW",uni,GENE,TRUE,FALSE,,,Less30,NA,NA,NA,,,1,2,F,NA,NA,,101108,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Choroterpes,,,,,
234,Trichoptera,Chyrandra,FALSE,NA,,NA,,UN,,,FALSE,FALSE,,,Less30,NA,NA,NA,,,2,2,F,NA,NA,,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
235,Ephemeroptera,Cinygma,FALSE,4,4_middle,3.601241589,"SC,CG",CN,uni,LOTI,FALSE,FALSE,cold,Cold,,16,16.11326335,19.88,,,11,0,F,NA,15.6,,100598,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygma,,,,,
236,Ephemeroptera,Cinygmula,FALSE,3,,3.112143517,"SC,CG",CN,uni,LOTI,FALSE,FALSE,cool,Cool,,15.9,15.85949506,20.088,Cool,,0,0,F,5,9.6,U,100557,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygmula,,,,,
237,Mollusca,Cipangopaludina,FALSE,6t,,NA,CG,SP,semi,GENE,FALSE,TRUE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,70328,Animalia,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,,Viviparidae,,,,Cipangopaludina,,,,,
238,Plecoptera,Claassenia sabulosa,FALSE,3,,3.207949877,PR,"SP,CN",semi,LOTI,TRUE,TRUE,warm,Warm,,20.6,20.46583165,25.9,,,3,3,F,20,NA,,102930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Perlinae,Perlini,,Claassenia,,,,,sabulosa
239,Chironomidae,Cladopelma,FALSE,4,4_middle,NA,CG,BU,multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,9,F,NA,NA,T,129350,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cladopelma,,,,,
240,Chironomidae,Cladotanytarsus,FALSE,4,4_better,3.023963213,"CG,CF","BU,CN",multi,GENE,FALSE,FALSE,warm,Warm,,19.5,19.5830692,23.85,,,3,7,F,NA,11.8,,129873,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Cladotanytarsus,,,,,
241,Coleoptera,Clarkhydrus,FALSE,NA,,NA,PR,SW,uni,UN,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,Deronectina,Clarkhydrus,,,,,
242,Coleoptera,Clemnius,FALSE,NA,,NA,PR,SW,uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hygrotini,,Clemnius,,,,,
243,Coleoptera,Cleptelmis addenda,FALSE,4,4_middle,3.813334227,"CG,SC","CN,CB",semi,LOTI,FALSE,TRUE,cowa,Cool-Warm,,19.9,19.82578079,23,,,11,4,F,NA,22.4,U,114164,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Cleptelmis,,,,,addenda
244,Neuroptera,Climacia,FALSE,3,,NA,PR,"BU,CB",uni,RIVE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neuroptera,Hemerobiiformia,,Sisyridae,,,,Climacia,,,,,
245,Diptera,Clinocera/Trichoclinocera,FALSE,3,,NA,PR,CN,uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,Clinocera/Trichoclinocera,,,,,,
246,Diptera,Clinocerinae,FALSE,NA,,2.831661224,PR,CN,uni,GENE,FALSE,FALSE,,Cool,,NA,15.9403812,20.61,,yes,NA,6,,NA,NA,,135844,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,,,,,,,
247,Chironomidae,Clinotanypus,FALSE,4,4_middle,NA,PR,BU,multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,7,F,NA,NA,T,127996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Clinotanypus,,,,,
248,Trichoptera,Clistoronia,FALSE,NA,,NA,"SH,CG",SP,uni,LENT,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Limnephilinae,,,,,,,,
249,Ephemeroptera,Cloeodes,FALSE,NA,,NA,CG,"SW,CN",multi,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Cloeodes,,,,,
250,Ephemeroptera,Cloeon dipterum,FALSE,NA,,NA,CG,"SW,CN",multi,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Cloeon,,,,,dipterum
251,Trichoptera,Clostoeca disjuncta,FALSE,NA,,NA,SH,"CB,SP",uni,GENE,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Limnephilinae,Stenophylacini,,Clostoeca,,,,,disjuncta
252,Chironomidae,Coelotanypodini,FALSE,5,,4.81114912,PR,BU,multi,GENE,FALSE,FALSE,warm,Warm,,NA,20.84573203,24.186,,,NA,NA,,NA,NA,,127995,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,,,,,,
253,Chironomidae,Coelotanypus,FALSE,4,4_middle,NA,PR,BU,multi,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Coelotanypus,,,,,
254,Odonata,Coenagrionidae,FALSE,5,,4.218771458,PR,CB,uni,GENE,FALSE,FALSE,stenow,Warm Stenotherm,,23.8,23.74752232,27.45,,,3,7,F,NA,NA,,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,
255,Coleoptera,Coleoptera,FALSE,NA,,3.943797827,UN,UN,UN,UN,FALSE,FALSE,,Eurythermal,,NA,19.58254875,22.772,,yes,11,NA,F,NA,NA,,109216,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,,,,,,,,,,,,
256,Acari,Columbiathyas,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Columbiathyas,,,,,
257,Coleoptera,Colymbetinae,FALSE,NA,,NA,PR,"SW,CB",uni,UN,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,678403,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Colymbetinae,,,,,,,,
258,Chironomidae,Compterosmittia,FALSE,NA,,NA,UN,UN,multi,UN,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,NA,,NA,NA,,128559,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Compterosmittia,,,,,
259,Chironomidae,Constempellina,FALSE,4,4_middle,3.923262835,"CG,CF",SP,multi,GENE,FALSE,FALSE,cool,Cool,,17.6,17.55615421,20.399,,,11,6,F,NA,31.5,,129884,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Constempellina,,,,,
260,Acari,Cookacarus,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Cookacarus,,,,,
261,Coleoptera,Copelatinae,FALSE,NA,,NA,PR,"SW,CB",uni,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,678400,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Copelatinae,,,,,,,,
262,Other Non-Insect,Copepoda,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,,,,,,,,,,,,,
263,Coleoptera,Coptotomus,FALSE,NA,,NA,PR,SW,uni,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,5,T,NA,NA,,112371,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Coptotominae,Coptotomini,,Coptotomus,,,,,
264,Mollusca,Corbicula,FALSE,6t,,NA,CF,"BU,SP",semi,GENE,FALSE,TRUE,,,Less30,25.9,NA,NA,,,11,NA,F,NA,NA,,81385,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Corbiculidae,,,,Corbicula,,,,,
265,Mollusca,Corbiculoidea,FALSE,4,4_middle,3.881461143,CF,"BU,SP",semi,GENE,FALSE,FALSE,warm,Warm,,NA,19.79652208,23.592,,,NA,NA,,NA,NA,,566875,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Corbiculoidea,,,,,,,,,,
266,Odonata,Cordulegaster,FALSE,2,,2.441869259,PR,BU,semi,LOTI,TRUE,TRUE,cowa,Cool-Warm,,19.7,19.6654073,22.54,,,11,3,F,NA,NA,,102027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Cordulegastridae,,,,Cordulegaster,,,,,
267,Odonata,Cordulia shurtleffii,FALSE,NA,,NA,PR,SP,semi,LENT,FALSE,TRUE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Corduliidae,Corduliinae,,,Cordulia,,,,,shurtleffii
268,Odonata,Corduliidae,FALSE,NA,,NA,PR,"SP,CB",semi,GENE,FALSE,TRUE,,,Less30,NA,NA,NA,,,11,2,F,NA,NA,,102020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Corduliidae,,,,,,,,,
269,Misc. Phyla,Cordylophora caspia,FALSE,6t,,NA,PR,CN,multi,GENE,FALSE,FALSE,,Cool-Warm,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Cnidaria,,Hydrozoa,Hydroidolina,Anthoathecatae,Filifera,,Oceanidae,,,,Cordylophora,,,,,caspia
270,Diptera,Corethrella,FALSE,NA,,NA,PR,SP,multi,GENE,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Corethrellidae,,,,Corethrella,,,,,
271,Hemiptera,Corisella,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Corisella,,,,,
272,Hemiptera,Corisella decolor,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Corisella,,,,,decolor
273,Hemiptera,Corixidae,TRUE,NA,,NA,,,,,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,,,,,,,,,
274,Acari,Corticacarus,FALSE,2,,NA,"PR,PA",UN,uni,LOTI,TRUE,FALSE,,,Less30,NA,NA,NA,,,NA,8,,NA,NA,,NA,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Coticacarus,,,,,
275,Megaloptera,Corydalidae,FALSE,NA,,1.953721642,PR,"CN,CB",semi,GENE,TRUE,TRUE,cool,Cool,,16.7,16.67650127,19.258,,,11,0,F,NA,2,,115023,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Megaloptera,,,Corydalidae,,,,,,,,,
276,Chironomidae,Corynoneura,FALSE,4,4_middle,3.935890675,CG,SP,multi,GENE,FALSE,FALSE,eurythermal,Eurythermal,,18.5,18.38191137,22.897,,,4,7,F,NA,24.6,,128563,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Corynoneura,,,,,
277,Crustacea,Crangonyctidae,FALSE,NA,,4.812998295,CG,UN,multi,GENE,FALSE,FALSE,cowa,Cool-Warm,,NA,19.94643719,23.112,,,NA,NA,,NA,NA,,95080,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,,,,,,
278,Crustacea,Crangonyx,FALSE,5,,4.812998295,CG,SW,multi,NA,FALSE,FALSE,cowa,Cool-Warm,,20.3,19.95292243,23.132,,,11,6,F,NA,NA,,95081,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,Crangonyx,,,,,
279,Coleoptera,Crenitis,FALSE,NA,,NA,"PR,CG",BU,semi,GENE,TRUE,TRUE,,,Less30,18.7,NA,NA,,,11,5,T,NA,32.1,,113220,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Crenitis,,,,,
280,Chironomidae,Cricotopus,FALSE,4,4_worse,3.936050415,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,,Warm,,NA,20.28846399,25.06,,yes,9,7,F,NA,NA,,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,
281,Chironomidae,Cricotopus (Isocladius),FALSE,4,4_worse,4.044679165,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,warm,Warm,,20.7,21.18771911,27.04,,,11,7,F,NA,NA,,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,
282,Chironomidae,Cricotopus (Nostococladius),FALSE,2,,1.981878042,MH,BU,multi,LOTI,FALSE,FALSE,eurythermal,Eurythermal,,19.2,19.31915743,23.43,,,5,6,F,NA,10.5,,568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,
283,Chironomidae,Cricotopus Bicinctus Group,FALSE,5,,4.671721935,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,warm,Warm,,23.4,21.61907409,25.86,,,11,7,F,NA,44.4,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,
284,Chironomidae,Cricotopus Tremulus Group,FALSE,NA,,NA,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,,,Less30,NA,NA,NA,,,11,7,F,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,
285,Chironomidae,Cricotopus Trifascia Group,FALSE,4,4_worse,4.141120911,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,warm,Warm,,23.4,23.43238533,26.484,,,11,7,F,NA,NA,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
286,Chironomidae,Cricotopus/Orthocladius,FALSE,4,4_middle,NA,"CG,MH","CN,BU",multi,GENE,FALSE,FALSE,,,,21,NA,NA,,,NA,NA,,NA,13.5,,NA,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Cricotopus/Orthocladius,,,,,,
287,Crustacea,Crustacea,FALSE,NA,,NA,NA,NA,UN,NA,FALSE,FALSE,,,,NA,NA,NA,,,NA,NA,,NA,NA,,NA,Animalia,Arthropoda,Crustacea,,,,,,,,,,,,,,,
