FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,BenTaxaID,TSN,ParTSN
Camelobaetidius,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Camelobaetidius,,,765,568548,100755
Campeloma,FALSE,Genus,SC,sc,,CB,clim,,18.48624013,FALSE,4,4,4,4,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,Viviparidae,,,Campeloma,,,1382,70311,70304
Cantopelopia,FALSE,Genus,PR,pr,PredE,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Cantopelopia,,,563,128126,128078
Capniidae,FALSE,Family,SH,sh,,SP,spra,0.151014096,16.30239177,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae,,,,,,974,102643,102468
Capniidae/Nemouridae,FALSE,Family,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Capniidae/Nemouridae,,,,,,979,,
Carabidae,FALSE,Family,PR,pr,PredE,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Carabidae,,,,,,176,109234,109226
Cardiocladius,FALSE,Genus,PR,pr,,BU,burr,,22.12111894,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Cardiocladius,,,479,128511,128457
Celina,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Methlini,Celina,,,133,112136,111963
Cenocorixa,FALSE,Genus,PR,pr,Herb,SW,swim,,,FALSE,5,5,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Corixidae,Corixinae,,Cenocorixa,,,1671,103501,717520
Centroptilum,FALSE,Genus,CG,cg,,SW,swim,,20.63602345,FALSE,3,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Centroptilum,,,766,100873,100755
Centroptilum/Procloeon,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Procloeon/Centroptilum,,,779,,
Ceraclea,FALSE,Genus,CG,cg,,CN,clng,2.448028032,20.29562721,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Athripsodini,Ceraclea,,,1167,116684,116547
Ceratopogon,FALSE,Genus,PR,pr,PredE,BU,burr,,18.35426876,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Ceratopogonini,Ceratopogon,,,324,127564,127526
Ceratopogonidae,FALSE,Family,PR,pr,PredE,SP,spra,5.683252947,20.32937331,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,,,,,,321,127076,125808
Ceratopogoninae,FALSE,Subfamily,PR,pr,PredE,BU,burr,6,20,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,,,,,322,127338,127076
Ceratopsyche,FALSE,Genus,CF,cf,,CN,clng,6.608303254,19.31688119,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Hydropsychinae,,Ceratopsyche,,,1063,115570,115398
Ceratopsyche/Hydropsyche,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Hydropsychinae,,Ceratopsyche/Hydropsyche,,,1078,,
Cercobrachys,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Cercobrachys,,,679,568556,101467
Cernotina,FALSE,Genus,PR,pr,PredE,CN,clng,,17.9813898,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Cernotina,,,1124,115373,115334
Chaetocladius,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Chaetocladius,,,481,128520,128457
Chamaedrilus,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,,,,,,Chamaedrilus,,,,,
