FinalID,NonTarget,Rank,FFG,FFGSource,Habit,HabitSource,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,TolVal_RBP,TolValSource,BenTaxaID,TSN,ParTSN
Lumbriculidae,FALSE,Family,CG,WSA,BU,WSA,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae,,,,,,8,WSA,69,68440,68439
Lumbriculidae/Lumbricidae,FALSE,Family,,WSA,,WSA,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae/Lumbricidae,,,,,,,WSA,70,,
Lutrochidae,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Lutrochidae,,,,,,,,1820,678328,113996
Lutrochus,FALSE,Genus,SC,USEPA 1990 Draft,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Lutrochidae,,,Lutrochus,,,4,WSA,255,114037,114030
Lutrochus laticeps,FALSE,Species,,WSA,"CN,SP","RBP2 1999, Tt add in",,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Lutrochidae,,,Lutrochus,,Lutrochus laticeps,,RBP2 1999 (OH),256,114038,114037
Lymnaea,FALSE,Genus,SC,WSA,CB,WSA,7.157550386,,FALSE,4,4,4,4,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Lymnaea,,,3,WSA,1344,76484,76483
Lymnaea stagnalis,FALSE,Species,SC,Tt add in,CB,Tt add in,7.157550386,,TRUE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Lymnaea,,stagnalis,,,1722,76487,76484
Lymnaeidae,FALSE,Family,SC,WSA,CB,WSA,9.586510171,20.14366172,FALSE,4,4,4,4,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,,,,6,WSA,1341,76483,76437
Lymnaeinae,FALSE,Subfamily,,WSA,,WSA,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,Lymnaeinae,,,,,,WSA,1347,,
Lype,FALSE,Genus,SC,WSA,BU,WSA,,18.50853386,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Psychomyiidae,Psychomyiinae,,Lype,,,2,WSA,1132,115391,115334
Lype diversa,FALSE,Species,SC,WSA,"SP,BU","WSA, Tt add in",3.101800941,,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Psychomyiidae,Psychomyiinae,,Lype,,Lype diversa,3,WSA,1133,115392,115391
Maccaffertium,FALSE,SubGenus,,WSA,CN,Tt add in,6.774317057,21.47586466,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Stenonema,,,,WSA,825,697957,100504
Maccaffertium exiguum,FALSE,Species,,,CN,Tt add in,6.774317057,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,exiguum,,,,,
Maccaffertium ithaca,FALSE,Species,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,ithaca,,,1427,698218,697957
Maccaffertium luteum/vicarium,FALSE,Species,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,luteum/vicarium,,,1635,,
Maccaffertium mediopunctatum,FALSE,Species,,,CN,Tt add in,6.774317057,,FALSE,,,4,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,mediopunctatum,,,1429,698469,697957
Maccaffertium meririvulanum,FALSE,Species,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,meririvulanum,,,1430,698228,697957
Maccaffertium mexicanum,FALSE,Species,,,CN,Tt add in,6.774317057,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,mexicanum,,,,,
Maccaffertium modestum,FALSE,Species,,,CN,Tt add in,,,FALSE,,,2,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,modestum,,,1431,698232,697957
Maccaffertium modestum/smithae,FALSE,Species,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,modestum/smithae,,,1452,,697957
Maccaffertium smithae,FALSE,Species,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,smithae,,,1432,698247,697957
Maccaffertium terminatum,FALSE,Species,,,CN,Tt add in,6.774317057,,FALSE,,,4,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,terminatum,,,1433,698471,697957
Maccaffertium vicarium,FALSE,Species,,,CN,Tt add in,6.774317057,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,vicarium,,,,,
Maccaffertium/Stenonema,FALSE,Genus,,,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium/Stenonema,,,,,1450,,100504
Macdunnoa,FALSE,Genus,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Macdunnoa,,,,,1723,100744,100504
Macromia,FALSE,Genus,PR,WSA,SP,WSA,0.81921809,19.60042947,TRUE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Macromiinae,,Macromia,,,4,WSA,922,101918,101797
Macromia illinoiensis,FALSE,Species,PR,WSA,SP,WSA,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Macromiinae,,Macromia,,Macromia illinoiensis,2,USEPA 1990 Draft,923,101921,101918
Macromia taeniolata,FALSE,Species,PR,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Macromiinae,,Macromia,,Macromia taeniolata,5,WSA,924,101922,101918
Macromiidae,FALSE,Family,,,,,,19.58728669,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,,Macromiidae,,,,,,,,1724,102019,101796
Macromiinae,FALSE,Subfamily,PR,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Macromiinae,,,,,5,WSA,919,591727,102020
Macronema,FALSE,Genus,CF,USEPA 1990 Draft,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Macronematinae,Macronematini,Macronema,,,,WSA,1054,115605,555648
Macronychus,FALSE,Genus,"CG,SC",WSA,CN,WSA,7.213968845,20.80170712,TRUE,4,3,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Macronychus,,,4,WSA,209,114212,114093
Macronychus glabratus,FALSE,Species,CG,WSA,CN,WSA,7.213968845,,TRUE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Macronychus,,Macronychus glabratus,5,WSA,210,114213,114212
Macropelopia,FALSE,Genus,PR,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Macropelopia,,,7,WSA,559,128034,128020
Macropelopia decedens,FALSE,Species,PR,Tt add in,SP,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Macropelopia,,decedens,,,1589,128037,128034
Macropelopiini,FALSE,Tribe,PR,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,,,,6,WSA,554,128020,127994
Macrostemum,FALSE,Genus,"CF,PR",WSA,CN,WSA,,23.16503092,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Macronematinae,Macronematini,Macrostemum,,,3,WSA,1112,115603,555648
Macrostemum carolina,FALSE,Species,CF,RBP2 1999,CN,RBP2 1999,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Macronematinae,Macronematini,Macrostemum,,Macrostemum carolina,,WSA,1113,115608,115603
Macrostemum zebratum,FALSE,Species,CF,USEPA 1990 Draft,CN,Tt add in,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Macronematinae,Macronematini,Macrostemum,,Macrostemum zebratum,3,USEPA 1990 Draft,1114,115606,115603
Macrothemis,FALSE,Genus,PR,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Libellulidae,,,Macrothemis,,,,WSA,951,101928,101797
Macroveliidae,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Macroveliidae,,,,,,,,1841,103990,
Malenka,FALSE,Genus,SH,WSA,SP,WSA,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Nemouridae,Amphinemurinae,,Malenka,,,,RBP2 1999 (ID),984,102567,102517
Malirekus,FALSE,Genus,PR,Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlodidae,Perlodinae,Perlodini,Malirekus,,,,,1784,103174,609867
Malirekus hastatus,FALSE,Species,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlodidae,Perlodinae,Perlodini,Malirekus,,Malirekus hastatus,2,WSA,1044,103175,103174
Mallochohelea,FALSE,Genus,PR,WSA,BU,WSA,6.61586262,21.94117628,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Sphaeromiini,Mallochohelea,,,,WSA,333,127702,127683
Mallochohelea/Probezzia,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Sphaeromiini,Mallochohelea/Probezzia,,,,WSA,334,,
Manayunkia,FALSE,Genus,,,,,,,FALSE,,,,,Annelida,,Polychaeta,Polychaeta,Canalipalpata,Sabellida,Sabellidae,,,Manayunkia,,,,,1785,68169,68076
Manayunkia speciosa,FALSE,Species,,,,,,,FALSE,,,,,Annelida,,Polychaeta,Polychaeta,Canalipalpata,,Sabellidae,,,Manayunkia,,speciosa,,,1434,68172,68169
Marilia,FALSE,Genus,SH,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Odontoceridae,Odontocerinae,,Marilia,,,,WSA,1210,116514,116496
Marilia flexuosa,FALSE,Species,SH,Tt add in,"SP,CN","WSA, Tt add in",,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Odontoceridae,Odontocerinae,,Marilia,,Marilia flexuosa,,WSA,1211,116515,116514
Maruina,FALSE,Genus,PR,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Psychodidae,Psychodinae,,Maruina,,,10,WSA,609,125392,125391
Marvinmeyeria,FALSE,Genus,,,,,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Marvinmeyeria,,,,,1786,69382,568848
Marvinmeyeria lucida,FALSE,Species,,,,,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Marvinmeyeria,,lucida,,,1483,69383,69382
Matrioptila,FALSE,Genus,SC,Tt add in,CN,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Protoptilinae,,Matrioptila,,,,,1787,115246,598220
Matrioptila jeanae,FALSE,Species,SC,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Protoptilinae,,Matrioptila,,Matrioptila jeanae,1,WSA,1240,115247,115246
Mayatrichia,FALSE,Genus,PR,WSA,CN,WSA,,22.88542577,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Neotrichiini,Mayatrichia,,,2,WSA,1265,115811,115629
Mayatrichia ayama,FALSE,Species,"SC,PR","WSA, Tt add in",CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Neotrichiini,Mayatrichia,,Mayatrichia ayama,6,WSA,1266,115812,115811
Megadrile,FALSE,SubClass,,WSA,,WSA,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,,Lumbricina,,,,,,,,WSA,71,,
Megadrili,FALSE,Order,,,,,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,Megadrili,,,,,,,,,,1636,,
Megaloptera,FALSE,Order,PR,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Megaloptera,,,,,,,,5,WSA,880,115000,563890
Megascolecidae,FALSE,Family,,WSA,,WSA,,,FALSE,,,,,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Megascolecidae,,,,,,,WSA,31,69166,69069
Megistocera,FALSE,Genus,,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,,Megistocera,,,3,WSA,636,118905,118841
Menetus,FALSE,Genus,SC,WSA,CB,WSA,,,FALSE,4,4,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Menetus,,,7,WSA,1362,650776,76591
Menetus dilatatus,FALSE,Species,SC,WSA,CB,WSA,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Menetus,,Menetus dilatatus,,RBP2 1999 (NC),1363,205210,573260
Meropelopia,FALSE,Genus,,NEIWPCC,,NEIWPCC,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Meropelopia,,,7,RBP2 1999 (OH),1484,128132,
Meropelopia/Thienemannimyia,FALSE,Genus,,,,,,21.26122837,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Meropelopia/Thienemannimyia,,,,,1637,,
Merragata,FALSE,Genus,PR,WSA,SK,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Hebridae,Hebrinae,,Merragata,,,,WSA,853,103983,103964
Mesogastropoda,FALSE,Order,,WSA,,WSA,,,FALSE,,,,,Mollusca,,Gastropoda,Prosobranchia,Mesogastropoda,,,,,,,,,WSA,1378,70298,78780
Mesosmittia,FALSE,Genus,,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Mesosmittia,,,4,WSA,509,128818,128457
Mesovelia,FALSE,Genus,PR,RBP2 1999,"CB,SK",Tt add in,,20.8254582,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Mesoveliidae,Mesoveliinae,,Mesovelia,,,,,1457,103954,103953
Mesovelia mulsanti,FALSE,Species,PR,WSA,"CN,CB,SK","WSA, Tt add in",,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Mesoveliidae,Mesoveliinae,,Mesovelia,,Mesovelia mulsanti,,WSA,855,103956,103954
Mesoveliidae,FALSE,Family,,,,,,20.8254582,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Mesoveliidae,,,,,,,,1821,103953,103358
Metretopodidae,FALSE,Family,,,,,,19.79535275,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Metretopodidae,,,,,,,,1822,101078,609500
Metrichia,FALSE,Genus,,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Ochrotrichiini,Metrichia,,,,WSA,1247,598644,598247
Metriocnemus,FALSE,Genus,"OM,CG","RBP2 1999, Tt add in",SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Metriocnemus,,,,WSA,510,128821,128457
Metriocnemus eurynotus,FALSE,Species,CG,Tt add in,SP,Tt add in,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Metriocnemus,,eurynotus,,,1638,,
Metrobates,FALSE,Genus,PR,WSA,SK,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Trepobatinae,,Metrobates,,,6,WSA,849,103857,103801
Metrobates hesperius,FALSE,Species,PR,WSA,SK,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Trepobatinae,,Metrobates,,Metrobates hesperius,,WSA,850,103859,103857
Micrasema,FALSE,Genus,SH,WSA,CN,WSA,0.672257101,18.82550283,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,,1,WSA,1148,116958,116905
Micrasema burksi,FALSE,Species,SH,Tt add in,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,Micrasema burksi,,RBP2 1999 (NC),1149,116966,116958
Micrasema gelidum,FALSE,Species,SH,Tt add in,CN,Tt add in,,,FALSE,,,3,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,gelidum,,,1590,116969,116958
Micrasema rusticum,FALSE,Species,"CG,SH","WSA, Tt add in",CN,WSA,0.672257101,,FALSE,,,3,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,Micrasema rusticum,0,WSA,1150,116961,116958
Micrasema sprulesi,FALSE,Species,SH,Tt add in,CN,Tt add in,0.672257101,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,sprulesi,,,,,
Micrasema wataga,FALSE,Species,"CG,SH","WSA, Tt add in",CN,WSA,,,FALSE,,,3,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Brachycentridae,,,Micrasema,,Micrasema wataga,2,WSA,1151,116960,116958
Microchironomus,FALSE,Genus,CG,WSA,BU,WSA,,,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microchironomus,,,8,USEPA 1990 Draft,372,129532,129229
Microcylloepus,FALSE,Genus,CG,WSA,CN,WSA,,,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Microcylloepus,,,3,WSA,211,114146,114093
Microcylloepus pusillus,FALSE,Species,CG,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Elmidae,,,Microcylloepus,,Microcylloepus pusillus,3,WSA,212,114147,114146
Micromenetus,FALSE,Species,SC,RBP2 1999,,,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Menetus,,Micromenetus,,,1435,76643,76591
Micromenetus dilatatus,FALSE,Species,SC,RBP2 1999,,NEIWPCC,,,FALSE,,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Menetus,Menetus (Micromenetus),dilatatus,,NEIWPCC,1485,76648,76643
Micropsectra,FALSE,Genus,CG,WSA,"CB,CN,SP",WSA,7.754017641,17.99272486,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,,,6,WSA,542,129890,129872
Micropsectra/Tanytarsus,FALSE,Genus,,WSA,"CB,CN,SP",WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Tanytarsini,Micropsectra/Tanytarsus,,,,WSA,543,,
Microtendipes,FALSE,Genus,CF,WSA,CN,WSA,4.699161311,19.70677013,FALSE,4,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microtendipes,,,6,WSA,373,129535,129229
Microtendipes pedellus,FALSE,Species,CF,WSA,CN,WSA,,,FALSE,,,3,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microtendipes,,Microtendipes pedellus,6,USEPA 1990 Draft,374,129541,129535
Microtendipes pedellus Gr.,FALSE,Genus,CF,Tt add in,CN,Tt add in,,,FALSE,,,3,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microtendipes,,,,,1519,,
Microtendipes rydalensis,FALSE,Species,CF,WSA,CN,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microtendipes,,Microtendipes rydalensis,6,USEPA 1990 Draft,375,129547,129535
Microtendipes rydalensis Gr.,FALSE,Genus,CF,Tt add in,CN,Tt add in,,,FALSE,,,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Microtendipes,,,,,1520,,
Microvelia,FALSE,Genus,PR,WSA,SK,WSA,,20.3117293,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Veliidae,Microveliinae,,Microvelia,,,6,WSA,863,103900,103885
Microvelia americana,FALSE,Species,PR,Tt add in,SK,Tt add in,,,FALSE,,,4,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Veliidae,Microveliinae,,Microvelia,Microvelia (Kirkaldya),Microvelia americana,,WSA,864,103902,103900
Mideopsidae,FALSE,Family,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Mideopsidae,,,,,,,WSA,110,83476,82770
Mideopsis,FALSE,Genus,PR,RBP2 1999,,WSA,,,FALSE,,,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Mideopsidae,,,Mideopsis,,,,WSA,111,83479,83476
Mochlonyx,FALSE,Genus,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chaoboridae,Chaoborinae,,Mochlonyx,,,,WSA,344,125893,125892
Molanna,FALSE,Genus,SC,WSA,SP,WSA,2.395110019,20.17871065,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Molannidae,,,Molanna,,,5,WSA,1207,116474,116473
Molanna tryphena,FALSE,Species,"CG,SC","WSA, Tt add in",SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Molannidae,,,Molanna,Molanna (Molanna),Molanna tryphena,3,WSA,1208,116479,116474
Molannidae,FALSE,Family,,,,,,20.04484955,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Molannidae,,,,,,,,1725,116473,598160
Mollusca,FALSE,Phylum,,WSA,,WSA,,,FALSE,,,,,Mollusca,,,,,,,,,,,,,WSA,1310,69458,202423
Molophilus,FALSE,Genus,SH,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Tipulinae,Eriopterini,Molophilus,,,3,WSA,657,120758,120397
Momoniidae,FALSE,Family,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Momoniidae,,,,,,,WSA,112,83470,82770
Monodiamesa,FALSE,Genus,CG,WSA,BU,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Prodiamesinae,,Monodiamesa,,,2,WSA,545,128440,128437
Monohelea,FALSE,Genus,,WSA,,WSA,,,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Ceratopogonini,Monohelea,,,6,USEPA 1990 Draft,325,127575,127526
Monopelopia,FALSE,Genus,PR,WSA,SP,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Monopelopia,,,7,WSA,579,128199,128078
Mooreobdella,FALSE,Genus,PR,WSA,SP,WSA,,,FALSE,5,5,,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,,8,WSA,7,69449,568847
Mooreobdella fervida,FALSE,Species,PR,Tt add in,SP,Tt add in,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,fervida,,,1726,69451,69449
Mooreobdella melanostoma,FALSE,Species,PR,Tt add in,SP,Tt add in,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,melanostoma,,,1727,69453,69449
Mooreobdella microstoma,FALSE,Species,PR,Tt add in,SP,Tt add in,,,FALSE,,,5,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,microstoma,,,1728,69450,69449
Munroessa,FALSE,Genus,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Pyralidae,Nymphulinae,Nymphulini,Munroessa,,,,,1729,117672,694284
Muscidae,FALSE,Family,PR,WSA,SP,WSA,7.720564086,22.13489943,FALSE,5,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Muscidae,,,,,,6,WSA,296,150025,131750
Muscomorpha,FALSE,SubOrder,,WSA,,WSA,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,,,,,,,,WSA,270,131750,130052
Musculium,FALSE,Genus,CF,WSA,,WSA,,,FALSE,,,,,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,Musculium,,,5,RBP2 1999 (MACS),1321,81427,81388
Mysidae,FALSE,Family,,,,,,,FALSE,,,,,Arthropoda,Crustacea,Malacostraca,,Mysida,,Mysidae,,,,,,,,1823,89856,89855
Mystacides,FALSE,Genus,CG,WSA,SP,WSA,3.079057194,20.97450493,FALSE,3,3,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Mystacidini,Mystacides,,,3,WSA,1170,116598,116547
