Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Brachysira gravida,Brachysira gravida,no,,,
Brachysira hannae,Brachysira hannae,no,,,
Brachysira intermedia,Brachysira intermedia,no,,,
Brachysira microcephala morphotype 2,Brachysira microcephala,yes,,,
Brachysira microcephala morphotype 1,Brachysira microcephala,yes,,,
Brachysira microcephala (Kützing) Compère,Brachysira microcephala,yes,,,
Brachysira microcephala,Brachysira microcephala,no,,,
Brachysira neoacuta,Brachysira neoacuta,no,,,
Brachysira ocalanensis Shayler et Siver,Brachysira ocalanensis,yes,,,
Brachysira ocalanensis,Brachysira ocalanensis,no,,,
Brachysira procera,Brachysira procera,no,,,
Brachysira serians,Brachysira serians,no,,,
Anomoeoneis serians,Brachysira serians,yes,,,
Brachysira sp. 1 NE Lakes,Brachysira sp. 1 NE Lakes,no,,,
Brachysira sp. 2 NE Lakes,Brachysira sp. 2 NE Lakes,no,,,
Brachysira sp. 3 NE Lakes,Brachysira sp. 3 NE Lakes,no,,,
Brachysira sp. 4 NE Lakes,Brachysira sp. 4 NE Lakes,no,,,
Brachysira sp. 5 NE Lakes,Brachysira sp. 5 NE Lakes,no,,,
Brachysira sp. 501 NE Lakes,Brachysira sp. 501 NE Lakes,no,,,
Brachysira sp. 6 NE Lakes,Brachysira sp. 6 NE Lakes,no,,,
Brachysira styriaca,Brachysira styriaca,no,,,
Anomoeoneis styriaca,Brachysira styriaca,yes,,,
Brachysira vitrea,Brachysira vitrea,no,,,
Anomoeoneis vitrea,Brachysira vitrea,yes,,,
Brachysira wygaschii,Brachysira wygaschii,no,,,
Brachysira zellensis,Brachysira zellensis,no,,,
Anomoeoneis zellensis,Brachysira zellensis,yes,,,
Melosira arentii,Brevisira arentii,yes,,,
Cyclotella arentii,Brevisira arentii,yes,,,
Brevisira arentii,Brevisira arentii,no,,,
Caloneis spp.,Caloneis,yes,,,
Caloneis sp. 2?,Caloneis,yes,,,
Caloneis sp. 2 ?,Caloneis,yes,,,
Caloneis sp. 1?,Caloneis,yes,,,
Caloneis sp. 1 VTEC Lakes,Caloneis,yes,,,
Caloneis sp. 1 PIRLA,Caloneis,yes,,,
Caloneis sp. 1 ?,Caloneis,yes,,,
Caloneis,Caloneis,no,,,
Caloneis amphisbaena,Caloneis amphisbaena,no,,,
Caloneis bacillum,Caloneis bacillum,no,,,
