Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Mayamaea agrestis,Mayamaea agrestis,no,,,
Mayamaea atomus,Mayamaea atomus,no,,,
Mayamaea atomus var. alcimonica,Mayamaea atomus var. alcimonica,no,,,
Mayamaea fossaloides,Mayamaea fossaloides,no,,,
Mayamaea ingenua,Mayamaea ingenua,no,,,
Mayamaea muraliformis,Mayamaea muraliformis,no,,,
Mayamaea permitis,Mayamaea permitis,no,,,
Mayamaea atomus var. permitis,Mayamaea permitis,yes,,,
Melosira spp.,Melosira,yes,,,
Melosira sp. 4 ?,Melosira,yes,,,
Melosira sp. 3 ?,Melosira,yes,,,
Melosira sp. 2 JFord-ConeP,Melosira,yes,,,
Melosira sp. 2 ?,Melosira,yes,,,
Melosira sp. 1 ?,Melosira,yes,,,
Melosira italica subsp. subarctica fo. tenuissima,Melosira,yes,,,
Melosira islandica subsp. helvetica,Melosira,yes,,,
Melosira,Melosira,no,,,
Melosira cf. goetzeana,Melosira cf. goetzeana,no,,,
Melosira distans var. 1 PIRLA,Melosira distans var. 1 PIRLA,no,,,
Melosira distans var. 2 PIRLA,Melosira distans var. 2 PIRLA,no,,,
Melosira distans var. 3 PIRLA,Melosira distans var. 3 PIRLA,no,,,
Melosira distans var. 4 PIRLA,Melosira distans var. 4 PIRLA,no,,,
Melosira distans var. africana (small) SER ADIR,Melosira distans var. africana,yes,,,
Melosira distans var. africana (large) SER ADIR,Melosira distans var. africana,yes,,,
Melosira distans var. lirata fo. seriata,Melosira distans var. lirata fo. seriata,no,,,
Melosira italica var. tenuissima,Melosira italica var. tenuissima,no,,,
Melosira italica var. valida,Melosira italica var. valida,no,,,
Melosira lirata var. 1 PIRLA,Melosira lirata var. 1 PIRLA,no,,,
Melosira normannii,Melosira normannii,no,,,
Melosira nummuloides,Melosira nummuloides,no,,,
Melosira sp. 1 PIRLA,Melosira sp. 1 PIRLA,no,,yes,Melosira or Aulacoseira?
Melosira sp. 12 PIRLA,Melosira sp. 12 PIRLA,no,,,
Melosira sp. 13 PIRLA,Melosira sp. 13 PIRLA,no,,,
Melosira sp. 5 PIRLA,Melosira sp. 5 PIRLA,no,,,
Melosira sp. 9 PIRLA,Melosira sp. 9 PIRLA,no,,,
Melosira varians Agardh,Melosira varians,yes,,,
Melosira varians,Melosira varians,no,,,
Meridion,Meridion,no,,,
Meridion alansmithii,Meridion alansmithii,no,,,
Meridion anceps,Meridion anceps,no,,,
Diatoma anceps,Meridion anceps,yes,,,
Meridion circulare (Greville) Agardh,Meridion circulare,yes,,,
Meridion circulare,Meridion circulare,no,,,
Meridion circulare var. constrictum (Ralfs) Van Heurck,Meridion circulare var. constrictum,yes,,,
Meridion circulare var. constrictum,Meridion circulare var. constrictum,no,,,
Microcostatus krasskei,Microcostatus krasskei,no,,,
Navicula kuelbsii,Microcostatus kuelbsii,yes,,,
Microcostatus kuelbsii,Microcostatus kuelbsii,no,,,
Microcostatus maceria,Microcostatus maceria,no,,,
Microcostatus naumannii,Microcostatus naumanii,yes,,,
Microcostatus naumanii,Microcostatus naumanii,no,,,
Navicula spp.,Navicula,yes,,,
Navicula sp. 9 ?,Navicula,yes,,,
Navicula sp. 8 ?,Navicula,yes,,,
Navicula sp. 7 ?,Navicula,yes,,,
Navicula sp. 6 ?,Navicula,yes,,,
Navicula sp. 5 ?,Navicula,yes,,,
Navicula sp. 4 ?,Navicula,yes,,,
Navicula sp. 3 ?,Navicula,yes,,,
Navicula sp. 2?,Navicula,yes,,,
Navicula sp. 10 ?,Navicula,yes,,,
Navicula sp. 1?,Navicula,yes,,,
Navicula sp. 1 ?,Navicula,yes,,,
Navicula sp.,Navicula,yes,,,
Navicula,Navicula,no,,,
Navicula aff. effrenata NAWQA EAM,Navicula aff. effrenata NAWQA EAM,no,,,
Navicula aikenensis,Navicula aikenensis,no,,,
Navicula amphiceropsis Lange-Bertalot et Rumrich,Navicula amphiceropsis,yes,,,
Navicula amphiceropsis,Navicula amphiceropsis,no,,,
Navicula angusta,Navicula angusta,no,,,
Navicula antonii Lange-Bertalot,Navicula antonii,yes,,,
Navicula antonii,Navicula antonii,no,,,
Navicula arctotenelloides,Navicula arctotenelloides,no,,,
Navicula arenaria,Navicula arenaria,no,,,
Navicula aurora,Navicula aurora,no,,,
Navicula bicephala,Navicula bicephala,no,,,
Navicula biconica,Navicula biconica,no,,,
Navicula brasiliana,Navicula brasiliana,no,,,
Navicula brevissima,Navicula brevissima,no,,,
Navicula canalis,Navicula canalis,no,,,
Navicula capitatoradiata Germain,Navicula capitatoradiata,yes,,,
Navicula capitatoradiata,Navicula capitatoradiata,no,,,
Navicula graciloides,Navicula cari,yes,,,
Navicula cari,Navicula cari,no,,,
Navicula caterva Hohn et Hellerman,Navicula caterva,yes,,,
Navicula caterva,Navicula caterva,no,,,
Navicula cf. heimansii,Navicula cf. heimansii,no,,,
Navicula cf. perparva,Navicula cf. perparva,no,,,
Navicula cf. subtilissima var. 1 PIRLA,Navicula cf. subtilissima var. 1 PIRLA,no,,,
Navicula cf. subtilissima var. 2 PIRLA,Navicula cf. subtilissima var. 2 PIRLA,no,,,
Navicula cf. subtilissima var. 3 PIRLA,Navicula cf. subtilissima var. 3 PIRLA,no,,,
Navicula cf. subtilissima var. 4 PIRLA,Navicula cf. subtilissima var. 4 PIRLA,no,,,
Navicula cincta,Navicula cincta,no,,,
Navicula clamans,Navicula clamans,no,,,
Navicula cocconeiformis var. capitata,Navicula cocconeiformis var. capitata,no,,,
Navicula concentrica,Navicula concentrica,no,,,
Navicula constans,Navicula constans,no,,,
Navicula cf. constans,Navicula constans,yes,,,
Navicula contenta var. biceps,Navicula contenta var. biceps,no,,,
Navicula convergens,Navicula convergens,no,,,
Navicula cryptocephala Kützing,Navicula cryptocephala,yes,,,
Navicula cryptocephala,Navicula cryptocephala,no,,,
Navicula cryptofallax,Navicula cryptofallax,no,,,
Navicula radiosa var. tenella,Navicula cryptotenella,yes,,,
Navicula cryptotenella Lange-Bertalot,Navicula cryptotenella,yes,,,
Navicula cryptotenella,Navicula cryptotenella,no,,,
Navicula cryptotenelloides,Navicula cryptotenelloides,no,,,
Navicula debilissima,Navicula debilissima,no,,,
Navicula densilineolata,Navicula densilineolata,no,,,
Navicula didyma,Navicula didyma,no,,,
Navicula diploneoides,Navicula diploneoides,no,,,
Navicula dispensata,Navicula dispensata,no,,,
Navicula eidrigiana,Navicula eidrigiana,no,,,
Navicula elginensis var. rostrata,Navicula elginensis var. rostrata,no,,,
Navicula erifuga Lange-Bertalot,Navicula erifuga,yes,,,
Navicula erifuga,Navicula erifuga,no,,,
Navicula escambia,Navicula escambia,no,,,
Navicula exigua,Navicula exigua,no,,,
Navicula exilis,Navicula exilis,no,,,
Navicula cryptocephala var. exilis,Navicula exilis,yes,,,
Navicula expecta,Navicula expecta,no,,,
Navicula facilis,Navicula facilis,no,,,
Navicula festiva,Navicula festiva,no,,,
Navicula freesei,Navicula freesei,no,,,
Navicula genovefae Fusey,Navicula genovefae,yes,,,
Navicula genovefae,Navicula genovefae,no,,,
Navicula germainii Wallace,Navicula germainii,yes,,,
Navicula germainii,Navicula germainii,no,,,
Navicula globosa,Navicula globosa,no,,,
Navicula globulifera,Navicula globulifera,no,,,
Navicula glomus,Navicula glomus,no,,,
Navicula goersii,Navicula goersii,no,,,
Navicula gottlandica,Navicula gottlandica,no,,,
Navicula gregaria Donkin,Navicula gregaria,yes,,,
Navicula gregaria,Navicula gregaria,no,,,
Navicula gysingensis,Navicula gysingensis,no,,,
Navicula hanseatica,Navicula hanseatica,no,,,
Navicula heimansioides,Navicula heimansioides,no,,,
Navicula cf. heimansioides UMICH,Navicula heimansioides,yes,,,
Navicula hungarica var. lueneburgensis,Navicula hungarica var. lueneburgensis,no,,,
Navicula ilopangoensis,Navicula ilopangoensis,no,,,
Navicula impexa,Navicula impexa,no,,,
Navicula indifferens,Navicula indifferens,no,,,
Navicula ingrata,Navicula ingrata,no,,,
Navicula jaernefeltii,Navicula jaernefeltii,no,,,
Navicula kotschyi Grunow,Navicula kotschyi,yes,,,
Navicula kotschyi,Navicula kotschyi,no,,,
Navicula krasskei,Navicula krasskei,no,,,
Navicula lanceolata (Agardh) Kützing,Navicula lanceolata,yes,,,
Navicula lanceolata,Navicula lanceolata,no,,,
Navicula laterostrata,Navicula laterostrata,no,,,
Navicula leptostriata,Navicula leptostriata,no,,,
Navicula cf. leptostriata,Navicula leptostriata,yes,,,
Navicula libonensis,Navicula libonensis,no,,,
Navicula lobeliae,Navicula lobeliae,no,,,
Navicula longicephala,Navicula longicephala,no,,,
Navicula ludloviana,Navicula ludloviana,no,,,
Navicula lundii,Navicula lundii,no,,,
Navicula lyra,Navicula lyra,no,,,
Navicula menisculus,Navicula menisculus,no,,,
Navicula meniscus,Navicula meniscus,no,,,
Navicula reichardtiana,Navicula metareichardtiana,yes,,,
Navicula metareichardtiana,Navicula metareichardtiana,no,,,
Navicula minuscula,Navicula minuscula,no,,,
Navicula minusculoides,Navicula minusculoides,no,,,
Navicula modica,Navicula modica,no,,,
Navicula cf. modica,Navicula modica,yes,,,
Navicula monmouthiana-stodderi,Navicula monmouthiana-stodderi,no,,,
Navicula monoculata var. omissa,Navicula monoculata var. omissa,no,,,
Navicula moskalii,Navicula moskalii,no,,,
Navicula mutata,Navicula mutata,no,,,
Navicula naumanni,Navicula naumanni,no,,,
Navicula notha Wallace,Navicula notha,yes,,,
Navicula notha,Navicula notha,no,,,
Navicula nugalis,Navicula nugalis,no,,,
Navicula oblonga,Navicula oblonga,no,,,
Navicula obsidialis,Navicula obsidialis,no,,,
Navicula oligotraphenta,Navicula oligotraphenta,no,,,
Navicula ordinaria,Navicula ordinaria,no,,,
Navicula paucivisitata,Navicula paucivisitata,no,,,
Navicula peregrina,Navicula peregrina,no,,,
Navicula peregrinopsis Lange-Bertalot et Witkowski,Navicula peregrinopsis,yes,,,
Navicula peregrinopsis,Navicula peregrinopsis,no,,,
Navicula perminuta,Navicula perminuta,no,,,
Navicula cf. perminuta,Navicula perminuta,yes,,,
Navicula praeterita,Navicula praeterita,no,,,
Navicula pseudoarvensis,Navicula pseudoarvensis,no,,,
Navicula pseudobryophila,Navicula pseudobryophila,no,,,
Navicula pseudolanceolata,Navicula pseudolanceolata,no,,,
Navicula pseudomuralis,Navicula pseudomuralis,no,,,
Navicula radiosa vars.,Navicula radiosa,yes,,,
Navicula radiosa Kützing,Navicula radiosa,yes,,,
Navicula radiosa,Navicula radiosa,no,,,
Navicula radiosa var. 1 MAINE,Navicula radiosa var. 1 MAINE,no,,,
Navicula radiosafallax,Navicula radiosafallax,no,,,
Navicula radiosa var. parva,Navicula radiosafallax,yes,,,
Navicula radiosiola,Navicula radiosiola,no,,,
Navicula recens,Navicula recens,no,,,
Navicula regularis,Navicula regularis,no,,,
Navicula reinhardtii,Navicula reinhardtii,no,,,
Navicula rynchocephala,Navicula rhynchocephala,yes,,,
Navicula rhynchocephala Kützing,Navicula rhynchocephala,yes,,,
Navicula rhynchocephala,Navicula rhynchocephala,no,,,
Navicula rhynchocephala var. amphiceros,Navicula rhynchocephala var. amphiceros,no,,,
Navicula rostellata,Navicula rostellata,no,,,
Navicula salinarum,Navicula salinarum,no,,,
Navicula salinicola,Navicula salinicola,no,,,
Navicula scabellum,Navicula scabellum,no,,,
Navicula schroeteri,Navicula schroeteri,no,,,
Navicula scutiformis,Navicula scutiformis,no,,,
Navicula secreta var. apiculata,Navicula secreta var. apiculata,no,,,
Navicula secura,Navicula secura,no,,,
Navicula seminulum var. intermedia,Navicula seminulum var. intermedia,no,,,
Navicula slesvicensis,Navicula slesvicensis,no,,,
Navicula sovereignii,Navicula sovereignii,no,,,
Navicula sovereignae,Navicula sovereignii,yes,,,
Navicula sp. 1 MUR DME,Navicula sp. 1 MUR DME,no,,,
Navicula sp. 1 NE Lakes,Navicula sp. 1 NE Lakes,no,,,
Navicula sp. 1 PIRLA,Navicula sp. 1 PIRLA,no,,,
Navicula sp. 10 NE Lakes,Navicula sp. 10 NE Lakes,no,,,
Navicula sp. 10 VTEC Lakes,Navicula sp. 10 VTEC Lakes,no,,,
Navicula sp. 13 PIRLA,Navicula sp. 13 PIRLA,no,,,
Navicula sp. 14 PIRLA,Navicula sp. 14 PIRLA,no,,,
Navicula sp. 15 PIRLA,Navicula sp. 15 PIRLA,no,,yes,Navicula or Navicula sp. # NE Lakes?
Navicula sp. 2 NE Lakes,Navicula sp. 2 NE Lakes,no,,,
Navicula sp. 2 PIRLA,Navicula sp. 2 PIRLA,no,,yes,Navicula or Navicula sp. # NE Lakes?
Navicula sp. 2 Vermont PJG,Navicula sp. 2 Vermont PJG,no,,,
Navicula sp. 21 PIRLA,Navicula sp. 21 PIRLA,no,,,
Navicula sp. 23 PIRLA,Navicula sp. 23 PIRLA,no,,,
Navicula sp. 24 PIRLA,Navicula sp. 24 PIRLA,no,,,
Navicula sp. 25 PIRLA,Navicula sp. 25 PIRLA,no,,yes,Navicula or Navicula sp. # NE Lakes?
Navicula sp. 26 PIRLA,Navicula sp. 26 PIRLA,no,,,
Navicula sp. 28 PIRLA,Navicula sp. 28 PIRLA,no,,,
Navicula sp. 29 NAWQA EAM,Navicula sp. 29 NAWQA EAM,no,,,
Navicula sp. 3 NAWQA MP,Navicula sp. 3 NAWQA MP,no,,yes,looks similar to Sellaphora sp. 12 NE Lakes on the NE Lakes Voucher
Navicula sp. 3 NE Lakes,Navicula sp. 3 NE Lakes,no,,,
Navicula sp. 3 PIRLA,Navicula sp. 3 PIRLA,no,,,
Navicula sp. 3 Vermont PJG,Navicula sp. 3 Vermont PJG,no,,,
Navicula sp. 3 VTEC Lakes,Navicula sp. 3 VTEC Lakes,no,,,
Navicula sp. 31 PIRLA,Navicula sp. 31 PIRLA,no,,,
Navicula sp. 33 PIRLA,Navicula sp. 33 PIRLA,no,,,
Navicula sp. 4 NE Lakes,Navicula sp. 4 NE Lakes,no,,,
Navicula sp. 4 VTEC Lakes,Navicula sp. 4 VTEC Lakes,no,,,
Navicula sp. 5 ANS NEW JERSEY KCP,Navicula sp. 5 ANS NEW JERSEY KCP,no,,,
Navicula sp. 5 PIRLA,Navicula sp. 5 PIRLA,no,,,
Navicula sp. 5 SCTX MP,Navicula sp. 5 SCTX MP,no,,,
Navicula sp. 502 NE Lakes,Navicula sp. 502 NE Lakes,no,,,
Navicula sp. 508 NE Lakes,Navicula sp. 508 NE Lakes,no,,,
Navicula sp. 6 NE Lakes,Navicula sp. 6 NE Lakes,no,,,
Navicula sp. 6 PIRLA,Navicula sp. 6 PIRLA,no,,,
Navicula sp. 601 NE Lakes_RAI_NAV601,Navicula sp. 601 NE Lakes,yes,,,
Navicula sp. 601 NE Lakes RAI NAV601,Navicula sp. 601 NE Lakes,yes,,,
Navicula sp. 7 NE Lakes,Navicula sp. 7 NE Lakes,no,,,
Navicula sp. 8 NE Lakes,Navicula sp. 8 NE Lakes,no,,,
Navicula sp. 9 NE Lakes,Navicula sp. 9 NE Lakes,no,,,
Navicula sp. 9 PIRLA,Navicula sp. 9 PIRLA,no,,,
Navicula sp. 9 VTEC Lakes,Navicula sp. 9 VTEC Lakes,no,,,
Navicula streckerae,Navicula streckerae,no,,,
Navicula strenzkei,Navicula strenzkei,no,,,
Navicula subfasciata,Navicula subfasciata,no,,,
Navicula subhamulata,Navicula subhamulata,no,,,
Sellaphora submuralis,Sellaphora submuralis,no,,,
Navicula subrostellata,Navicula subrostellata,no,,,
Navicula symmetrica,Navicula symmetrica,no,,,
Navicula tenelloides Hustedt,Navicula tenelloides,yes,,,
Navicula tenelloides,Navicula tenelloides,no,,,
Navicula tripunctata (Müller) Bory,Navicula tripunctata,yes,,,
Navicula tripunctata,Navicula tripunctata,no,,,
Navicula trivialis Lange-Bertalot,Navicula trivialis,yes,,,
Navicula trivialis,Navicula trivialis,no,,,
Navicula tugelae,Navicula tugelae,no,,,
Navicula upsaliensis,Navicula upsaliensis,no,,,
Navicula vanheurckii,Navicula vanheurckii,no,,,
Navicula vaucheriae,Navicula vaucheriae,no,,,
Navicula vekhovii,Navicula vekhovii,no,,,
Navicula venerablis,Navicula venerablis,no,,,
Navicula veneta,Navicula veneta,no,,,
Navicula ventosa,Navicula ventosa,no,,,
Navicula vilaplanii,Navicula vilaplanii,no,,,
Navicula viridula,Navicula viridula,no,,,
Navicula viridula var. avenacea,Navicula viridula var. avenacea,no,,,
Navicula viridula var. linearis,Navicula viridula var. linearis,no,,,
Navicula viridulacalcis,Navicula viridulacalcis,no,,,
Navicula viridulacalcis subsp. neomundana,Navicula viridulacalcis subsp. neomundana,no,,,
Navicula vulpina,Navicula vulpina,no,,,
Navicula wildii,Navicula wildii,no,,,
Navicula witkowskii,Navicula witkowskii,no,,,
Naviculadicta geisslerae (Jahn) Jahn in Lange-Bertalot & Moser,Naviculadicta geisslerae,yes,,,
Naviculadicta geisslerae,Naviculadicta geisslerae,no,,,
Navicymbula pusilla,Navicymbula pusilla,no,,,
Neidiomorpha binodis,Neidiomorpha binodis,no,,,
Neidiopsis levanderi,Neidiopsis levanderi,no,,,
Neidiopsis sp. 1 NE Lakes,Neidiopsis sp. 1 NE Lakes,no,,,
Neidium spp.,Neidium,yes,,,
Neidium sp. 5 ?,Neidium,yes,,,
Neidium sp. 4 ?,Neidium,yes,,,
Neidium sp. 3 ?,Neidium,yes,,,
Neidium sp. 2 ?,Neidium,yes,,,
Neidium sp. 1 ?,Neidium,yes,,,
Neidium sp.,Neidium,yes,,,
Neidium,Neidium,no,,,
Neidium affine (Ehrenberg) Pfitzer,Neidium affine,yes,,,
Neidium affine,Neidium affine,no,,,
Neidium affine var. amphirhynchus,Neidium affine var. amphirhynchus,no,,,
Neidium affine var. capitatum,Neidium affine var. capitatum,no,,,
Neidium affine var. ceylonicum,Neidium affine var. ceylonicum,no,,,
Neidium affine var. dippelli,Neidium affine var. dippelli,no,,,
Neidium affine var. humerus,Neidium affine var. humerus,no,,,
Neidium affine var. longiceps,Neidium affine var. longiceps,no,,,
Neidium affine var. undulatum,Neidium affine var. undulatum,no,,,
Neidium alpinum,Neidium alpinum,no,,,
Neidium alpinum var. quadripunctatum (Hustedt) Hamilton,Neidium alpinum var. quadripunctatum,yes,,,
Neidium alpinum var. quadripunctatum,Neidium alpinum var. quadripunctatum,no,,,
Neidium iridis var. amphigomphus,Neidium amphigomphus,yes,,,
Neidium amphigomphus (Ehrenberg) Pfitzer,Neidium amphigomphus,yes,,,
Neidium amphigomphus,Neidium amphigomphus,no,,,
Neidium iridis var. ampliatum,Neidium ampliatum,yes,,,
Neidium ampliatum,Neidium ampliatum,no,,,
Neidium apiculatum,Neidium apiculatum,no,,,
Neidium bisulcatum,Neidium bisulcatum,no,,,
Neidium bisulcatum var. baicalense,Neidium bisulcatum var. baicalense,no,,,
Neidium boyeri,Neidium boyeri,no,,,
Neidium ladogense var. densestriatum,Neidium densestriatum,yes,,,
Neidium densestriatum,Neidium densestriatum,no,,,
Neidium dilatatum,Neidium dilatatum,no,,,
Neidium dubium,Neidium dubium,no,,,
Neidium fossum,Neidium fossum,no,,,
Neidium gracile fo. aequalis,Neidium gracile fo. aequalis,no,,,
Neidium hercynicum,Neidium hercynicum,no,,,
Neidium hercynicum/Neidium sp. 4 NE Lakes,Neidium hercynicum/N. sp. 4 NE Lakes,yes,yes,,
Neidium hercynicum/N. sp. 4 NE Lakes,Neidium hercynicum/N. sp. 4 NE Lakes,no,yes,,
Neidium herrmannii,Neidium herrmannii,no,,,
Neidium hitchcockii,Neidium hitchcockii,no,,,
Neidium iridis,Neidium iridis,no,,,
Neidium cf. iridis CALACAD,Neidium iridis,yes,,,
Neidium ladogense,Neidium ladogense,no,,,
Neidium longiceps,Neidium longiceps,no,,,
Neidium maximum,Neidium maximum,no,,,
Neidium productum var. minor,Neidium productum,yes,,,
Neidium productum,Neidium productum,no,,,
Neidium sacoense,Neidium sacoense,no,,,
Neidium septentrionale,Neidium septentrionale,no,,,
Neidium sp. 1 NE Lakes,Neidium sp. 1 NE Lakes,no,,,
Neidium sp. 1 PIRLA,Neidium sp. 1 PIRLA,no,,,
Neidium sp. 1 VT,Neidium sp. 1 VT,no,,,
Neidium sp. 10 NE Lakes,Neidium sp. 10 NE Lakes,no,,,
Neidium sp. 12 NE Lakes,Neidium sp. 12 NE Lakes,no,,,
Neidium sp. 13 NE Lakes,Neidium sp. 13 NE Lakes,no,,,
Neidium sp. 14 NE Lakes,Neidium sp. 14 NE Lakes,no,,,
Neidium sp. 2 NE Lakes,Neidium sp. 2 NE Lakes,no,,,
Neidium sp. 2 PIRLA,Neidium sp. 2 PIRLA,no,,,
Neidium sp. 2 VT,Neidium sp. 2 VT,no,,,
Neidium sp. 2 VTEC Lakes,Neidium sp. 2 VTEC Lakes,no,,,
Neidium sp. 3 PIRLA,Neidium sp. 3 PIRLA,no,,,
Neidium sp. 3 VTEC Lakes,Neidium sp. 3 VTEC Lakes,no,,,
Neidium sp. 4 NE Lakes,Neidium sp. 4 NE Lakes,no,,,
Neidium sp. 4 PIRLA,Neidium sp. 4 PIRLA,no,,,
Neidium sp. 4 VTEC Lakes,Neidium sp. 4 VTEC Lakes,no,,,
Neidium sp. 5 NE Lakes,Neidium sp. 5 NE Lakes,no,,,
Neidium sp. 5 PIRLA,Neidium sp. 5 PIRLA,no,,,
Neidium sp. 502 NE Lakes,Neidium sp. 502 NE Lakes,no,,,
Neidium sp. 6 NE Lakes,Neidium sp. 6 NE Lakes,no,,,
Neidium sp. 7 NE Lakes,Neidium sp. 7 NE Lakes,no,,,
Neidium sp. 8 NE Lakes,Neidium sp. 8 NE Lakes,no,,,
Neidium sp. 8 PIRLA,Neidium sp. 8 PIRLA,no,,,
Neidium temperei,Neidium temperei,no,,,
Neidium tumescens,Neidium tumescens,no,,,
Nitzschia spp.,Nitzschia,yes,,,
Nitzschia sp. Hustedt,Nitzschia,yes,,,
Nitzschia sp. 8 ?,Nitzschia,yes,,,
Nitzschia sp. 7 ?,Nitzschia,yes,,,
Nitzschia sp. 6 ?,Nitzschia,yes,,,
Nitzschia sp. 5 ?,Nitzschia,yes,,,
Nitzschia sp. 4 ?,Nitzschia,yes,,,
Nitzschia sp. 3 ?,Nitzschia,yes,,,
Nitzschia sp. 2 ?,Nitzschia,yes,,,
Nitzschia sp. 1?,Nitzschia,yes,,,
Nitzschia sp. 1 ?,Nitzschia,yes,,,
Nitzschia sp.,Nitzschia,yes,,,
Nitzschia,Nitzschia,no,,,
Nitzschia acicularioides,Nitzschia acicularioides,no,,,
Nitzschia acicularis (Kützing) Smith,Nitzschia acicularis,yes,,,
Nitzschia acicularis,Nitzschia acicularis,no,,,
Nitzschia acidoclinata var. hcldoclinata,Nitzschia acidoclinata,yes,,,
Nitzschia acidoclinata Lange-Bertalot,Nitzschia acidoclinata,yes,,,
Nitzschia acidoclinata,Nitzschia acidoclinata,no,,,
Nitzschia acuta,Nitzschia acula,yes,,,
Nitzschia acula,Nitzschia acula,no,,,
Nitzschia aequorea,Nitzschia aequorea,no,,,
Nitzschia agnita Hustedt,Nitzschia agnita,yes,,,
Nitzschia agnita,Nitzschia agnita,no,,,
Nitzschia alpina Hustedt,Nitzschia alpina,yes,,,
Nitzschia alpina,Nitzschia alpina,no,,,
Nitzschia amphibia Grunow,Nitzschia amphibia,yes,,,
Nitzschia amphibia,Nitzschia amphibia,no,,,
Nitzschia amphibioides,Nitzschia amphibioides,no,,,
Nitzschia angustata,Nitzschia angustata,no,,,
Nitzschia angustata var. acuta,Nitzschia angustata var. acuta,no,,,
Nitzschia angustatula,Nitzschia angustatula,no,,,
Nitzschia archibaldii,Nitzschia archibaldii,no,,,
Nitzschia bacillum Hustedt,Nitzschia bacillum,yes,,,
Nitzschia bacillum,Nitzschia bacillum,no,,,
Nitzschia balcanica,Nitzschia balcanica,no,,,
Nitzschia bavarica,Nitzschia bavarica,no,,,
Nitzschia bita,Nitzschia bita,no,,,
Nitzschia bremensis,Nitzschia bremensis,no,,,
Nitzschia brevissima,Nitzschia brevissima,no,,,
Nitzschia capitellata Hustedt,Nitzschia capitellata,yes,,,
Nitzschia capitellata,Nitzschia capitellata,no,,,
Nitzschia clausii,Nitzschia clausii,no,,,
Nitzschia communis,Nitzschia communis,no,,,
Nitzschia commutata,Nitzschia commutata,no,,,
Nitzschia compressa var. vexans,Nitzschia compressa var. vexans,no,,,
Nitzschia desertorum,Nitzschia desertorum,no,,,
Nitzschia dissipata (Kützing) Grunow,Nitzschia dissipata,yes,,,
Nitzschia dissipata,Nitzschia dissipata,no,,,
Nitzschia dissipata var. media,Nitzschia dissipata var. media,no,,,
Nitzschia draveillensis,Nitzschia draveillensis,no,,,
Nitzschia dubia,Nitzschia dubia,no,,,
Nitzschia elegans,Nitzschia elegans,no,,,
Nitzschia exilis,Nitzschia exilis,no,,,
Nitzschia fasciculata,Nitzschia fasciculata,no,,,
Nitzschia filiformis (Smith) Van Heurck,Nitzschia filiformis,yes,,,
Nitzschia filiformis,Nitzschia filiformis,no,,,
Nitzschia flexa,Nitzschia flexa,no,,,
Nitzschia flexoides,Nitzschia flexoides,no,,,
Nitzschia fonticola (Grunow) Grunow,Nitzschia fonticola,yes,,,
Nitzschia fonticola,Nitzschia fonticola,no,,,
Nitzschia cf. fonticola,Nitzschia fonticola,yes,,,
Nitzschia fonticola var. pelagica,Nitzschia fonticola var. pelagica,no,,,
Nitzschia frustulum,Nitzschia frustulum,no,,,
Nitzschia frustulum var. perminuta,Nitzschia frustulum var. perminuta,no,,,
Nitzschia fruticosa,Nitzschia fruticosa,no,,,
Nitzschia gessneri,Nitzschia gessneri,no,,,
Nitzschia graciliformis,Nitzschia graciliformis,no,,,
Nitzschia gracilis Hantzsch,Nitzschia gracilis,yes,,,
Nitzschia gracilis,Nitzschia gracilis,no,,,
Nitzschia gracillima,Nitzschia gracillima,no,,,
Nitzschia graciloides,Nitzschia graciloides,no,,,
Nitzschia hantzschiana,Nitzschia hantzschiana,no,,,
Nitzschia heufleriana Grunow,Nitzschia heufleriana,yes,,,
Nitzschia heufleriana,Nitzschia heufleriana,no,,,
Nitzschia homburgiensis,Nitzschia homburgiensis,no,,,
Nitzschia hybrida,Nitzschia hybrida,no,,,
Nitzschia ignorata,Nitzschia ignorata,no,,,
Nitzschia incognita,Nitzschia incognita,no,,,
Nitzschia inconspicua,Nitzschia inconspicua,no,,,
Nitzschia cf. inconspicua UMICH,Nitzschia inconspicua,yes,,,
Nitzschia innominata,Nitzschia innominata,no,,,
Nitzschia intermedia,Nitzschia intermedia,no,,,
Nitzschia kuetzingiana,Nitzschia kuetzingiana,no,,,
Nitzschia lacuum,Nitzschia lacuum,no,,,
Nitzschia laevis,Nitzschia laevis,no,,,
Nitzschia lanceolata,Nitzschia lanceolata,no,,,
Nitzschia liebethruthii,Nitzschia liebethruthii,no,,,
Nitzschia linearis (Agardh) Smith,Nitzschia linearis,yes,,,
Nitzschia linearis,Nitzschia linearis,no,,,
Nitzschia microcephala,Nitzschia microcephala,no,,,
Nitzschia minuta,Nitzschia minuta,no,,,
Nitzschia montanestris Camburn,Nitzschia montanestris,yes,,,
Nitzschia montanestris,Nitzschia montanestris,no,,,
Nitzschia nana,Nitzschia nana,no,,,
Nitzschia obtusa,Nitzschia obtusa,no,,,
Nitzschia palea (Kützing) Smith,Nitzschia palea,yes,,,
Nitzschia palea,Nitzschia palea,no,,,
Nitzschia palea var. debilis (Kützing) Grunow,Nitzschia palea var. debilis,yes,,,
Nitzschia palea var. debilis,Nitzschia palea var. debilis,no,,,
Nitzschia palea var. tenuirostris Grunow,Nitzschia palea var. tenuirostris,yes,,,
Nitzschia palea var. tenuirostris,Nitzschia palea var. tenuirostris,no,,,
