Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Drunella Coloradensis Group,Drunella Coloradensis Group,no,,Drunella Coloradensis Group,Ephemeroptera
Drunella coloradensis/flavilinea,Drunella Coloradensis Group,yes,Formatting and consistency,Drunella Coloradensis Group,Ephemeroptera
Drunella doddsi,Drunella doddsii,yes,spelling,Drunella doddsii,Ephemeroptera
Drunella doddsii,Drunella doddsii,no,note some older data may have 'doddsi',Drunella doddsii,Ephemeroptera
Drunella grandis,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Drunella Grandis Group,Drunella Grandis Group,no,,Drunella Grandis Group,Ephemeroptera
Drunella grandis/spinifera,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Drunella sp.,Drunella,yes,sp.,Drunella,Ephemeroptera
Drunella spinifera,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Dubiraphia,Dubiraphia,no,,Dubiraphia,Coleoptera
Dubiraphia sp.,Dubiraphia,yes,sp.,Dubiraphia,Coleoptera
Dytiscidae,Dytiscidae,no,,Dytiscidae,Coleoptera
Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,no,monotypic,Ecclisocosmoecus scylla,Trichoptera
Ecclisomyia,Ecclisomyia,no,,Ecclisomyia,Trichoptera
Ecclisomyia sp.,Ecclisomyia,yes,sp.,Ecclisomyia,Trichoptera
Ecdynonurus criddlei (Heptagenia/Nixe sp.),Ecdyonurus criddlei,yes,spelling,Ecdyonurus criddlei,Ephemeroptera
Ecdyonurus,Ecdyonurus,no,,Ecdyonurus,Ephemeroptera
Ecdyonurus criddlei,Ecdyonurus criddlei,no,,Ecdyonurus criddlei,Ephemeroptera
Ecdyonurus sp.,Ecdyonurus,yes,sp.,Ecdyonurus,Ephemeroptera
Eclipidrilus,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Elmidae,Elmidae,no,,Elmidae,Coleoptera
Eloeophila,Eloeophila,no,,Eloeophila,Diptera
Empididae,Empididae,no,,Empididae,Diptera
Enchytraeidae,Oligochaeta,yes,worms to Oligochaeta,Enchytraeidae,Oligochaeta
Endochironomus,Endochironomus,no,,Endochironomus,Chironomidae
Endochironomus sp.,Endochironomus,yes,sp.,Endochironomus,Chironomidae
Enochrus,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Eocosmoecus,Eocosmoecus,no,,Eocosmoecus,Trichoptera
Epeorus,Epeorus,no,,Epeorus,Ephemeroptera
Epeorus albertae,Epeorus Albertae Group,yes,Formatting,Epeorus Albertae Group,Ephemeroptera
Epeorus Albertae Group,Epeorus Albertae Group,no,,Epeorus Albertae Group,Ephemeroptera
Epeorus deceptivus,Epeorus deceptivus,no,,Epeorus deceptivus,Ephemeroptera
Epeorus deceptivus/hesperus,Epeorus,yes,backed off to genus,Epeorus,Ephemeroptera
Epeorus grandis,Epeorus Grandis Group,yes,Formatting,Epeorus Grandis Group,Ephemeroptera
Epeorus Grandis Group,Epeorus Grandis Group,no,,Epeorus Grandis Group,Ephemeroptera
Epeorus grandis/permagnus,Epeorus Grandis Group,yes,Formatting,Epeorus Grandis Group,Ephemeroptera
Epeorus longimanus,Epeorus longimanus,no,,Epeorus longimanus,Ephemeroptera
Epeorus sp.,Epeorus,yes,sp.,Epeorus,Ephemeroptera
Ephemera,Ephemera,no,,Ephemera,Ephemeroptera
Ephemera simulans,Ephemera,yes,backed off to genus,Ephemera,Ephemeroptera
Ephemera sp.,Ephemera,yes,sp.,Ephemera,Ephemeroptera
Ephemerella,Ephemerella,no,,Ephemerella,Ephemeroptera
Ephemerella aurivillii,Ephemerella aurivillii,no,,Ephemerella aurivillii,Ephemeroptera
Ephemerella dorothea/excrucians,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Ephemerella excrucians group,Ephemerella Excrucians Group,yes,CAPs,Ephemerella Excrucians Group,Ephemeroptera
Ephemerella inermis,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Ephemerella inermis/infrequens,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Ephemerella sp.,Ephemerella,yes,sp.,Ephemerella,Ephemeroptera
