Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Pedicia,Pedicia,no,,Pedicia,Diptera
Pedicia sp.,Pedicia,yes,sp.,Pedicia,Diptera
Pedomoecus,Pedomoecus sierra,yes,monotypic,Pedomoecus sierra,Trichoptera
Pedomoecus sierra,Pedomoecus sierra,no,monotypic,Pedomoecus sierra,Trichoptera
Peltodytes,Peltodytes,no,,Peltodytes,Coleoptera
Peltoperlidae,Peltoperlidae,no,,Peltoperlidae,Plecoptera
Pentaneura,Pentaneura,no,,Pentaneura,Chironomidae
Pentaneura sp.,Pentaneura,yes,sp.,Pentaneura,Chironomidae
Pentaneurini,Pentaneurini,no,,Pentaneurini,Chironomidae
Pericoma/Telmatoscopus,Pericomaini,yes,backed off to tribe,Pericomaini,Diptera
Pericoma/Telmatoscopus sp.,Pericomaini,yes,backed off to tribe,Pericomaini,Diptera
Pericomaini,Pericomaini,no,,Pericomaini,Diptera
Perlidae,Perlidae,no,,Perlidae,Plecoptera
Perlinodes,Perlinodes aureus,yes,monotypic; often misspelled,Perlinodes aureus,Plecoptera
Perlinodes aurea,Perlinodes aureus,yes,monotypic; often misspelled,Perlinodes aureus,Plecoptera
Perlinodes aureus,Perlinodes aureus,no,,Perlinodes aureus,Plecoptera
Perlodidae,Perlodidae,no,,Perlodidae,Plecoptera
Perlomyia,Perlomyia,no,,Perlomyia,Plecoptera
Perlomyia sp.,Perlomyia,yes,sp.,Perlomyia,Plecoptera
Petrophila,Petrophila,no,,Petrophila,Lepidoptera
Petrophila (aquatic caterpillars),Petrophila,yes,naming scheme,Petrophila,Lepidoptera
Petrophila sp.,Petrophila,yes,sp.,Petrophila,Lepidoptera
Phaenopsectra,Phaenopsectra,no,,Phaenopsectra,Chironomidae
Phaenopsectra obediens group,Phaenopsectra Obediens Group,yes,CAPs,Phaenopsectra Obediens Group,Chironomidae
Phaenopsectra Punctipes Group,Phaenopsectra,yes,backed off to genus,Phaenopsectra,Chironomidae
Phaenopsectra sp.,Phaenopsectra,yes,sp.,Phaenopsectra,Chironomidae
Philocasca,Philocasca,no,,Philocasca,Trichoptera
Philocasca sp.,Philocasca,yes,sp.,Philocasca,Trichoptera
Philopotamidae,Philopotamidae,no,,Philopotamidae,Trichoptera
Philorus sp.,Blephariceridae,yes,sp.,Blephariceridae,Diptera
Phoridae,DNI,yes,Terrestrial,DNI,
Physa,Physa/Physella,yes,slashed taxon,Physa/Physella,Mollusca
Physa (Physella) sp.,Physa/Physella,yes,slashed taxon,Physa/Physella,Mollusca
Physa sp.,Physa/Physella,yes,slashed taxon,Physa/Physella,Mollusca
Physa/Physella,Physa/Physella,no,,Physa/Physella,Mollusca
Physella,Physa/Physella,yes,slashed taxon,Physa/Physella,Mollusca
Physidae,Physa/Physella,yes,slashed taxon,Physa/Physella,Mollusca
Pictetiella expansa,Perlidae,yes,"backed off toe family; not known from OR, WA, known from ID, MT",Perlidae,Plecoptera
Pilaria,Pilaria,no,,Pilaria,Diptera
Pilaria sp.,Pilaria,yes,sp.,Pilaria,Diptera
Pinnixa,DNI,yes,marine crab,DNI,
Piona,Acari,yes,mites collapsed to Acari,Piona,Acari
Piona sp.,Acari,yes,mites collapsed to Acari,Piona,Acari
Pionidae,Acari,yes,mites collapsed to Acari,Pionidae,Acari
Piscicola,Piscicolidae,yes,backed off to family,Piscicolidae,Leeches
Piscicola salmositica,Cystobranchus,yes,nomenclature,Cystobranchus,Leeches
Piscicola sp.,Piscicolidae,yes,backed off to family,Piscicolidae,Leeches
Piscicolidae,Piscicolidae,no,,Piscicolidae,Leeches
Pisidiidae,Sphaeriidae,yes,nomenclature,Sphaeriidae,Mollusca
Pisidium,Pisidium,no,,Pisidium,Mollusca
Pisidium sp.,Pisidium,yes,sp.,Pisidium,Mollusca
Placobdella sp.,Glossiphoniidae,yes,nomenclature,Glossiphoniidae,Leeches
Planorbella,Planorbella,no,,Planorbella,Mollusca
Planorbella sp.,Planorbella,yes,sp.,Planorbella,Mollusca
Planorbella subcrenata,Planorbella,yes,backed off to genus,Planorbella,Mollusca
Planorbidae,Planorbidae,no,,Planorbidae,Mollusca
Platyhelminthes,Platyhelminthes,no,,Platyhelminthes,Misc. Phyla
Platysmittia,Platysmittia,no,,Platysmittia,Chironomidae
Platysmittia bilyji,Platysmittia,yes,backed off to genus,Platysmittia,Chironomidae
Platysmittia fimbriata,Platysmittia,yes,backed off to genus,Platysmittia,Chironomidae
Plauditus,Plauditus,no,,Plauditus,Ephemeroptera
Plauditus (Plauditus punctventris),Iswaeon,yes,nomenclature,Iswaeon,Ephemeroptera
Plauditus cestus,Plauditus,yes,backed off to genus,Plauditus,Ephemeroptera
Plauditus sp.,Plauditus,yes,sp.,Plauditus,Ephemeroptera
Plecoptera,Plecoptera,no,,Plecoptera,Plecoptera
Podmosta,Podmosta,no,,Podmosta,Plecoptera
Podmosta sp.,Podmosta,yes,sp.,Podmosta,Plecoptera
Podonominae,Podonominae,no,,Podonominae,Chironomidae
Polycelis,Polycelis,no,,Polycelis,Misc. Phyla
Polycelis sp.,Polycelis,yes,sp.,Polycelis,Misc. Phyla
Polycentropodidae,Polycentropodidae,no,,Polycentropodidae,Trichoptera
Polycentropus,Polycentropus sensu lato,yes,nomenclature,Polycentropus sensu lato,Trichoptera
Polycentropus sensu lato,Polycentropus sensu lato,no,,Polycentropus sensu lato,Trichoptera
Polycentropus sp.,Polycentropus sensu lato,yes,nomenclature,Polycentropus sensu lato,Trichoptera
Polypedilum,Polypedilum,no,,Polypedilum,Chironomidae
Polypedilum sp.,Polypedilum,yes,sp.,Polypedilum,Chironomidae
Porifera (sponges),DNI,yes,Sponges excluded in OR/WA,DNI,
Potamopyrgus antipodarum,Potamopyrgus antipodarum,no,monotypic,Potamopyrgus antipodarum,Mollusca
Potamothrix bavaricus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Potthastia,Potthastia,no,,Potthastia,Chironomidae
Potthastia Gaedii Gr.,Potthastia Gaedii Group,yes,formatting,Potthastia Gaedii Group,Chironomidae
Potthastia gaedii group,Potthastia Gaedii Group,yes,CAPs,Potthastia Gaedii Group,Chironomidae
Potthastia longimana gr.,Potthastia Longimanus Group,yes,formatting,Potthastia Longimanus Group,Chironomidae
Potthastia Longimana Group,Potthastia Longimanus Group,yes,spelling and formatting,Potthastia Longimanus Group,Chironomidae
Potthastia Longimanus Group,Potthastia Longimanus Group,no,,Potthastia Longimanus Group,Chironomidae
Prionoxystus,DNI,yes,a terrestrial moth,DNI,
Pristina,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina aequiseta,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina jenkinae,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina leidyi,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina osborni,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina sima,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristinicola hemphilli,Pristinicola hemphilli,no,monotypic,Pristinicola hemphilli,Mollusca
Probezzia,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Probezzia sp.,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Procladius,Procladius,no,,Procladius,Chironomidae
Procladius sp.,Procladius,yes,sp.,Procladius,Chironomidae
Procloeon,Anafroptilum/Procloeon,yes,Slashed taxon,Anafroptilum/Procloeon,Ephemeroptera
Procloeon sp.,Anafroptilum/Procloeon,yes,Slashed taxon,Anafroptilum/Procloeon,Ephemeroptera
Prodiamesa,Prodiamesa,no,,Prodiamesa,Chironomidae
Prodiamesa sp.,Prodiamesa,yes,sp.,Prodiamesa,Chironomidae
Promenetus,Planorbidae,yes,backed off to family,Planorbidae,Mollusca
Promenetus umbilicatellus,Planorbidae,yes,backed off to family,Planorbidae,Mollusca
Prosimulium,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Prosimulium sp.,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Prostoma,Prostoma,no,,Prostoma,Misc. Phyla
Prostoma sp.,Prostoma,yes,sp.,Prostoma,Misc. Phyla
Protanyderus sp.,Tanyderidae,yes,backed off to family,Tanyderidae,Diptera
Protoptila,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Protoptila sp.,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Protzia,Acari,yes,mites collapsed to Acari,Protzia,Acari
Protzia sp.,Acari,yes,mites collapsed to Acari,Protzia,Acari
Protziidae,Acari,yes,mites collapsed to Acari,Hydryphantidae,Acari
Psectrocladius,Psectrocladius,no,,Psectrocladius,Chironomidae
Psectrocladius sp.,Psectrocladius,yes,sp.,Psectrocladius,Chironomidae
Psectrotanypus,Psectrotanypus,no,,Psectrotanypus,Chironomidae
Psectrotanypus sp.,Psectrotanypus,yes,sp.,Psectrotanypus,Chironomidae
Psephenus,Psephenus,no,,Psephenus,Coleoptera
Psephenus sp.,Psephenus,yes,sp.,Psephenus,Coleoptera
Pseudochironomus,Pseudochironomus,no,,Pseudochironomus,Chironomidae
Pseudochironomus sp.,Pseudochironomus,yes,sp.,Pseudochironomus,Chironomidae
Pseudocloeon,Labiobaetis,yes,nomenclature,Labiobaetis,Ephemeroptera
Pseudocloeon sp.,Labiobaetis,yes,nomenclature,Labiobaetis,Ephemeroptera
Pseudodiamesa,Pseudodiamesa,no,,Pseudodiamesa,Chironomidae
Pseudodiamesa sp.,Pseudodiamesa,yes,sp.,Pseudodiamesa,Chironomidae
Pseudorthocladius,Pseudorthocladius,no,,Pseudorthocladius,Chironomidae
Pseudorthocladius sp.,Pseudorthocladius,yes,sp.,Pseudorthocladius,Chironomidae
Pseudosmittia,Pseudosmittia,no,,Pseudosmittia,Chironomidae
Pseudosmittia sp.,Pseudosmittia,yes,sp.,Pseudosmittia,Chironomidae
Pseudosuccinea,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Psilometriocnemus,Psilometriocnemus,no,,Psilometriocnemus,Chironomidae
Psilometriocnemus sp.,Psilometriocnemus,yes,sp.,Psilometriocnemus,Chironomidae
Psychoda,Psychodini,yes,backed off to tribe,Psychodini,Diptera
Psychoda sp.,Psychodini,yes,backed off to tribe,Psychodini,Diptera
Psychodidae,Psychodidae,no,,Psychodidae,Diptera
Psychodini,Psychodini,no,,Psychodini,Diptera
Psychoglypha,Psychoglypha,no,,Psychoglypha,Trichoptera
Psychoglypha bella,Psychoglypha,yes,"backed off to genus; Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.",Psychoglypha,Trichoptera
Psychoglypha sp.,Psychoglypha,yes,sp.,Psychoglypha,Trichoptera
Psychoglypha subborealis,Psychoglypha,yes,"backed off to genus; Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.",Psychoglypha,Trichoptera
Psychomyia,Psychomyia,no,,Psychomyia,Trichoptera
Psychomyia sp.,Psychomyia,yes,sp.,Psychomyia,Trichoptera
Psychomyiidae,Psychomyiidae,no,,Psychomyiidae,Trichoptera
Pteronarcella,Pteronarcella,no,,Pteronarcella,Plecoptera
Pteronarcella ( dwarf salmonfly),Pteronarcella,yes,naming scheme,Pteronarcella,Plecoptera
Pteronarcella sp.,Pteronarcella,yes,sp.,Pteronarcella,Plecoptera
Pteronarcyidae,Pteronarcyidae,no,,Pteronarcyidae,Plecoptera
Pteronarcys,Pteronarcys,no,,Pteronarcys,Plecoptera
Pteronarcys californica,Pteronarcys californica,no,,Pteronarcys californica,Plecoptera
Pteronarcys princeps,Pteronarcys princeps,no,,Pteronarcys princeps,Plecoptera
Pteronarcys sp.,Pteronarcys,yes,sp.,Pteronarcys,Plecoptera
Ptychoptera,Ptychoptera,no,,Ptychoptera,Diptera
Ptychoptera sp.,Ptychoptera,yes,sp.,Ptychoptera,Diptera
Ptychopteridae,Ptychopteridae,no,,Ptychopteridae,Diptera
Pycnopsyche,Limnephilidae,yes,backed off to family,Limnephilidae,Trichoptera
Pyrgulopsis,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Pyrgulopsis bruneauensis,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Quistradrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Quistradrilus multisetosus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Radix auricularia,Radix auricularia,no,,Radix auricularia,Mollusca
Radotanypus,Radotanypus,no,,Radotanypus,Chironomidae
Radotanypus sp.,Radotanypus,yes,sp.,Radotanypus,Chironomidae
Reomyia,Zavrelimyia,yes,nomenclature,Zavrelimyia,Chironomidae
Reomyia sp.,Zavrelimyia,yes,nomenclature,Zavrelimyia,Chironomidae
Rhabdomastix,Rhabdomastix,no,,Rhabdomastix,Diptera
Rhabdomastix fascigera gr.,Rhabdomastix,yes,backed off to genus,Rhabdomastix,Diptera
Rhabdomastix setigera gr.,Rhabdomastix,yes,backed off to genus,Rhabdomastix,Diptera
Rhabdomastix sp.,Rhabdomastix,yes,sp.,Rhabdomastix,Diptera
Rheocricotopus,Rheocricotopus,no,,Rheocricotopus,Chironomidae
Rheocricotopus sp.,Rheocricotopus,yes,sp.,Rheocricotopus,Chironomidae
Rheosmittia,Rheosmittia,no,,Rheosmittia,Chironomidae
Rheosmittia sp.,Rheosmittia,yes,sp.,Rheosmittia,Chironomidae
Rheotanytarsus,Rheotanytarsus,no,,Rheotanytarsus,Chironomidae
Rheotanytarsus sp.,Rheotanytarsus,yes,sp.,Rheotanytarsus,Chironomidae
Rhithrogena,Rhithrogena,no,,Rhithrogena,Ephemeroptera
Rhithrogena sp.,Rhithrogena,yes,sp.,Rhithrogena,Ephemeroptera
Rhyacodrilus,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus coccineus,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus falciformis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus sodalis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacophila,Rhyacophila,no,,Rhyacophila,Trichoptera
Rhyacophila Alberta Gr.,Rhyacophila Alberta Group,yes,formatting,Rhyacophila Alberta Group,Trichoptera
Rhyacophila Alberta Group,Rhyacophila Alberta Group,no,,Rhyacophila Alberta Group,Trichoptera
Rhyacophila angelita,Rhyacophila Angelita Group,yes,formatting,Rhyacophila Angelita Group,Trichoptera
Rhyacophila Angelita Gr.,Rhyacophila Angelita Group,yes,formatting,Rhyacophila Angelita Group,Trichoptera
Rhyacophila angelita group,Rhyacophila Angelita Group,yes,CAPs,Rhyacophila Angelita Group,Trichoptera
Rhyacophila arnaudi,Rhyacophila arnaudi,no,,Rhyacophila arnaudi,Trichoptera
Rhyacophila atrata complex,Rhyacophila atrata complex,no,,Rhyacophila atrata complex,Trichoptera
Rhyacophila Betteni Gr.,Rhyacophila Betteni Group,yes,formatting,Rhyacophila Betteni Group,Trichoptera
Rhyacophila Betteni Group,Rhyacophila Betteni Group,no,,Rhyacophila Betteni Group,Trichoptera
Rhyacophila brunnea gr.,Rhyacophila Brunnea/Vemna Groups,yes,nomenclature,Rhyacophila Brunnea/Vemna Groups,Trichoptera
Rhyacophila brunnea group,Rhyacophila Brunnea/Vemna Groups,yes,nomenclature,Rhyacophila Brunnea/Vemna Groups,Trichoptera
Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,no,,Rhyacophila Brunnea/Vemna Groups,Trichoptera
Rhyacophila Coloradensis Gr.,Rhyacophila Coloradensis Group,yes,formatting,Rhyacophila Coloradensis Group,Trichoptera
Rhyacophila coloradensis group,Rhyacophila Coloradensis Group,yes,CAPs,Rhyacophila Coloradensis Group,Trichoptera
Rhyacophila Hyalinata Gr.,Rhyacophila Hyalinata Group,yes,formatting,Rhyacophila Hyalinata Group,Trichoptera
Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,no,,Rhyacophila Hyalinata Group,Trichoptera
Rhyacophila narvae,Rhyacophila narvae,no,,Rhyacophila narvae,Trichoptera
Rhyacophila oreia,Rhyacophila Visor Group,yes,nomenclature,Rhyacophila Visor Group,Trichoptera
Rhyacophila pellisa/valuma,Rhyacophila atrata complex,yes,nomenclature,Rhyacophila atrata complex,Trichoptera
Rhyacophila Rotunda Gr.,Rhyacophila Rotunda Group,yes,formatting,Rhyacophila Rotunda Group,Trichoptera
Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,no,,Rhyacophila Rotunda Group,Trichoptera
Rhyacophila Sibirica Gr.,Rhyacophila Sibirica Group,yes,formatting,Rhyacophila Sibirica Group,Trichoptera
Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,no,,Rhyacophila Sibirica Group,Trichoptera
Rhyacophila sp.,Rhyacophila,yes,sp.,Rhyacophila,Trichoptera
Rhyacophila Vagrita Gr.,Rhyacophila Vagrita Group,yes,formatting,Rhyacophila Vagrita Group,Trichoptera
Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,no,,Rhyacophila Vagrita Group,Trichoptera
Rhyacophila verrula,Rhyacophila Verrula Group,yes,formatting,Rhyacophila Verrula Group,Trichoptera
Rhyacophila Verrula Gr.,Rhyacophila Verrula Group,yes,formatting,Rhyacophila Verrula Group,Trichoptera
Rhyacophila Verrula Group,Rhyacophila Verrula Group,no,,Rhyacophila Verrula Group,Trichoptera
Rhyacophila Visor Group,Rhyacophila Visor Group,no,,Rhyacophila Visor Group,Trichoptera
Rhyacophila Vofixa Gr.,Rhyacophila Vofixa Group,yes,formatting,Rhyacophila Vofixa Group,Trichoptera
Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,no,,Rhyacophila Vofixa Group,Trichoptera
Robackia,Robackia,no,,Robackia,Chironomidae
Robackia demeijerei,Robackia,yes,backed off to genus,Robackia,Chironomidae
Robackia sp.,Robackia,yes,sp.,Robackia,Chironomidae
Roederiodes,Roederiodes/Wiedemannia,yes,Slashed taxon,Roederiodes/Wiedemannia,Diptera
Roederiodes/Wiedemannia,Roederiodes/Wiedemannia,no,,Roederiodes/Wiedemannia,Diptera
Saetheria,Saetheria,no,,Saetheria,Chironomidae
Saetheria sp.,Saetheria,yes,sp.,Saetheria,Chironomidae
Saetheria tylus,Saetheria,yes,backed off to genus,Saetheria,Chironomidae
Sanfilippodytes sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Sarcoptiformes,Acari,yes,mites collapsed to Acari,Acari,Acari
Sciomyzidae,Sciomyzidae,no,,Sciomyzidae,Diptera
Scleroprocta,Scleroprocta,no,,Scleroprocta,Diptera
Sergentia,Sergentia,no,,Sergentia,Chironomidae
Sergentia sp.,Sergentia,yes,sp.,Sergentia,Chironomidae
Sericostriata,Sericostriata surdickae,yes,monotypic,Sericostriata surdickae,Trichoptera
Sericostriata surdickae,Sericostriata surdickae,no,monotypic,Sericostriata surdickae,Trichoptera
Serratella,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A27,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A45,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A49,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella micheneri,Serratella micheneri,no,,Serratella micheneri,Ephemeroptera
Serratella sp.,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella teresa,Matriella teresa,yes,nomenclature,Matriella teresa,Ephemeroptera
Serratella tibialis,Ephemerella tibialis,yes,nomenclature; S. tibialis was placed in Ephemerella (2008),Ephemerella tibialis,Ephemeroptera
Setvena,Setvena,no,,Setvena,Plecoptera
Setvena sp.,Setvena,yes,sp.,Setvena,Plecoptera
Sialis,Sialis,no,,Sialis,Megaloptera
Sialis sp.,Sialis,yes,sp.,Sialis,Megaloptera
Sigara sp.,Corixidae,yes,backed off to family; NonTarget? Could go either way,Corixidae,Hemiptera
Simuliidae,Simuliidae,no,,Simuliidae,Diptera
Simulium,Simulium,no,,Simulium,Diptera
Simulium sp.,Simulium,yes,sp.,Simulium,Diptera
Siphlonuridae,Siphlonuridae,no,,Siphlonuridae,Ephemeroptera
Siphlonurus,Siphlonurus,no,,Siphlonurus,Ephemeroptera
Siphlonurus sp.,Siphlonurus,yes,sp.,Siphlonurus,Ephemeroptera
Skwala,Skwala,no,,Skwala,Plecoptera
Skwala sp.,Skwala,yes,sp.,Skwala,Plecoptera
Slavina,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Slavina appendiculata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Smittia,Smittia,no,,Smittia,Chironomidae
Smittia sp.,Smittia,yes,sp.,Smittia,Chironomidae
Specaria,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Sperchon,Acari,yes,mites collapsed to Acari,Sperchon,Acari
Sperchon sp.,Acari,yes,mites collapsed to Acari,Sperchon,Acari
Sperchonidae,Acari,yes,mites collapsed to Acari,Sperchontidae,Acari
Sperchonopsis,Acari,yes,mites collapsed to Acari,Sperchonopsis,Acari
Sperchonopsis sp.,Acari,yes,mites collapsed to Acari,Sperchonopsis,Acari
Sperchontidae,Acari,yes,mites collapsed to Acari,Sperchontidae,Acari
Sphaeriidae,Sphaeriidae,no,,Sphaeriidae,Mollusca
Sphaeriidae (Pisidiidae),Sphaeriidae,yes,naming scheme,Sphaeriidae,Mollusca
Sphaerium,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Sphaerium sp.,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Sphaerium striatinum,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Spirosperma,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Spirosperma ferox,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Stactobiella,Stactobiella,no,,Stactobiella,Trichoptera
Stagnicola,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Stagnicola caperata,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Stagnicola idahoensis (shortspire pondsnail),Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Stagnicola sp.,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Stempellina,Stempellina,no,,Stempellina,Chironomidae
Stempellina sp.,Stempellina,yes,sp.,Stempellina,Chironomidae
Stempellinella,Stempellinella,no,,Stempellinella,Chironomidae
Stempellinella sp.,Stempellinella,yes,sp.,Stempellinella,Chironomidae
Stenelmis,Stenelmis,no,,Stenelmis,Coleoptera
Stenelmis sp.,Stenelmis,yes,sp.,Stenelmis,Coleoptera
Stenochironomus,Stenochironomus,no,,Stenochironomus,Chironomidae
Stenochironomus sp.,Stenochironomus,yes,sp.,Stenochironomus,Chironomidae
Stenonema,Maccaffertium/Stenonema,yes,Slashed taxon. Unsure whether this is Stenonema femoratum or Maccaffertium,Maccaffertium/Stenonema,Ephemeroptera
Stictochironomous,Stictochironomus,yes,spelling,Stictochironomus,Chironomidae
Stictochironomus,Stictochironomus,no,,Stictochironomus,Chironomidae
Stictochironomus sp.,Stictochironomus,yes,sp.,Stictochironomus,Chironomidae
Stictocladius,Stictocladius,no,,Stictocladius,Chironomidae
Stictocladius sp.,Stictocladius,yes,sp.,Stictocladius,Chironomidae
Stictotarsus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Stictotarsus sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Stilobezzia,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Stilobezzia sp.,Ceratopogoninae,yes,backed off to subfamily; too many unknown genera,Ceratopogoninae,Diptera
Stilocladius,Stilocladius,no,,Stilocladius,Chironomidae
Stilocladius sp.,Stilocladius,yes,sp.,Stilocladius,Chironomidae
Stratiomyidae,Stratiomyidae,no,,Stratiomyidae,Diptera
Stratiomys sp.,Stratiomyidae,yes,sp.,Stratiomyidae,Diptera
Stygobromus,Stygobromus,no,,Stygobromus,Crustacea
Stygobromus sp.,Stygobromus,yes,sp.,Stygobromus,Crustacea
Stygothrombidiidae,Acari,yes,mites collapsed to Acari,Stygothrombiidae,Acari
Stygothrombiidae,Acari,yes,mites collapsed to Acari,Stygothrombiidae,Acari
Stygothrombium,Acari,yes,mites collapsed to Acari,Stygothrombium,Acari
Stygothrombium sp.,Acari,yes,mites collapsed to Acari,Stygothrombium,Acari
Stylaria,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Stylaria lacustris,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Stylodrilus heringianus,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Sublettea,Sublettea,no,,Sublettea,Chironomidae
Sublettea sp.,Sublettea,yes,sp.,Sublettea,Chironomidae
Suwallia,Neaviperla/Suwallia,yes,Slashed taxon,Neaviperla/Suwallia,Plecoptera
Suwallia sp.,Neaviperla/Suwallia,yes,Slashed taxon,Neaviperla/Suwallia,Plecoptera
Sweltsa,Gaufina/Sweltsa,yes,"slashed taxon. Gaufinia Stark and Baumann, 2021 (new genus)",Gaufina/Sweltsa,Plecoptera
Sweltsa sp.,Gaufina/Sweltsa,yes,"slashed taxon. Gaufinia Stark and Baumann, 2021 (new genus)",Gaufina/Sweltsa,Plecoptera
Symbiocladius,Symbiocladius,no,,Symbiocladius,Chironomidae
Symbiocladius sp.,Symbiocladius,yes,sp.,Symbiocladius,Chironomidae
Symplecta (Trimicra) pilipes,Limoniidae,yes,backed off to family,Limoniidae,Diptera
Symposiocladius,Orthocladius,yes,nomenclature,Orthocladius,Chironomidae
Sympotthastia,Sympotthastia,no,,Sympotthastia,Chironomidae
Sympotthastia sp.,Sympotthastia,yes,sp.,Sympotthastia,Chironomidae
Synorthocladius,Synorthocladius,no,,Synorthocladius,Chironomidae
Synorthocladius sp.,Synorthocladius,yes,sp.,Synorthocladius,Chironomidae
Syrphidae,Syrphidae,no,,Syrphidae,Diptera
Tabanidae,Tabanidae,no,,Tabanidae,Diptera
Taenionema sp.,Taeniopterygidae,yes,backed off to family,Taeniopterygidae,Plecoptera
Taeniopterygidae,Taeniopterygidae,no,,Taeniopterygidae,Plecoptera
Tanyderidae,Tanyderidae,no,,Tanyderidae,Diptera
Tanypus,Tanypus,no,,Tanypus,Chironomidae
Tanypus sp.,Tanypus,yes,sp.,Tanypus,Chironomidae
Tanytarsini,Tanytarsini,no,,Tanytarsini,Chironomidae
Tanytarsus,Tanytarsus,no,,Tanytarsus,Chironomidae
Tanytarsus sp.,Tanytarsus,yes,sp.,Tanytarsus,Chironomidae
Taylorconcha serpenticola,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Telmatodrilinae,Oligochaeta,yes,worms to Oligochaeta,Telmatodrilinae,Oligochaeta
