"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"463","Leptophlebiidae",FALSE,"UN","U","F",11,2,NA,NA,"3","CG","uni","DEPO",NA,FALSE,"","Eurythermal","",NA,17.64307495,22.08,"","yes",101095,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Leptophlebiidae","","","","","","","","","","Ephemeroptera"
"464","Lestes",FALSE,"CN","","F",11,9,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",102061,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Zygoptera","","Lestidae","","","","Lestes","","","","","","Odonata"
"465","Lestidae",FALSE,"UN","","F",11,9,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",102061,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Zygoptera","","Lestidae","","","","","","","","","","Odonata"
"466","Leucotrichia",FALSE,"CN","","F",1,2,NA,NA,"4","SC","multi","RHEO",NA,FALSE,"warm","Warm","",22.4,22.45463596,27.002,"","",115630,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Spicipalpia","Hydroptiloidea","Hydroptilidae","Hydroptilinae","Leucotrichiini","","Leucotrichia","","","","","","Trichoptera"
"467","Leucrocuta",FALSE,"CN","","F",11,1,NA,NA,"3","SC","uni","RHEO",NA,FALSE,"","","Less30",NA,NA,NA,"","",100676,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Leucrocuta","","","","","","Ephemeroptera"
"468","Leuctridae",FALSE,"CN","","F",0,0,NA,NA,"3","SH","uni","RHEO",NA,FALSE,"","Cold","",NA,15.35283437,19.662,"","yes",102840,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Leuctridae","","","","","","","","","","Plecoptera"
"469","Libellulidae",FALSE,"UN","","F",11,9,NA,NA,NA,"PR","uni","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",101797,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Libellulidae","","","","","","","","","","Odonata"
"470","Limnephilidae",FALSE,"CN","","F",11,3,NA,NA,"3","UNKN","UNKN","UNKN",NA,FALSE,"","Cool","",NA,16.04420894,21.418,"","yes",115933,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","","","","","","","","","","Trichoptera"
"471","Limnephiloidea",FALSE,"UN","","",NA,NA,NA,NA,NA,"UNKN","UNKN","UNKN",NA,FALSE,"","Eurythermal","",NA,16.9680582,22.05,"","yes",598162,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","","","","","","","","","","","Trichoptera"
"472","Limnephilus",FALSE,"CN","","F",2,3,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",116069,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Limnephilinae","Limnephilini","","Limnephilus","","","","","","Trichoptera"
"473","Limnesia",FALSE,"UN","","",NA,NA,NA,27,"","PR","","",NA,FALSE,"warm","Warm","",20.3,20.12441661,24.365,"","",83051,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Limnesiidae","","","","Limnesia","","","","","","Other Non-Insect"
"474","Limnesiidae",FALSE,"UN","","",11,NA,NA,NA,"","PR","","",NA,FALSE,"warm","Warm","",NA,20.08907404,24.26,"","",83050,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Limnesiidae","","","","","","","","","","Other Non-Insect"
"475","Limnochares",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",83146,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Limnocharidae","","","","Limnochares","","","","","","Other Non-Insect"
"476","Limnodrilus",FALSE,"UN","T","F",11,10,NA,46.5,"","","","",NA,FALSE,"","","Less30",21,NA,NA,"","",68638,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Tubificinae","","","Limnodrilus","","","","","","Oligochaeta"
"477","Limnophyes",FALSE,"SP","","F",11,8,NA,35.4,"5","CG","multi","GENE",NA,FALSE,"eurythermal","Eurythermal","",19.1,18.95992803,23.244,"","",128776,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Limnophyes","","","","","","Chironomidae"
"478","Limoniidae",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","Cool-Warm","",NA,19.45541675,22.771,"","yes",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","","","","","","","","","","Diptera"
"479","Lipsothrix",FALSE,"UN","","",NA,NA,NA,NA,"1i","XY","semi","SPEC",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",120749,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Limoniinae","","","Lipsothrix","","","","","","Diptera"
"480","Lirceus",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",92666,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Isopoda","Asellota","","Asellidae","","","","Lirceus","","","","","","Other Non-Insect"
"481","Ljania",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","",NA,NA,NA,"","",83449,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Aturidae","","","","Ljania","","","","","","Other Non-Insect"
"482","Lopescladius",FALSE,"UN","","F",11,2,NA,NA,"3","CG","multi","SPEC",NA,FALSE,"warm","Warm","",22.6,23.36830776,26.932,"","",128811,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Lopescladius","","","","","","Chironomidae"
"483","Lumbriculidae",FALSE,"BU","","F",1,4,NA,17,"","","","",NA,TRUE,"cool","Cool","",18.8,18.36323759,21.424,"","",68440,"Animalia","Annelida","","Clitellata","Oligochaeta","Lumbriculida","","","Lumbriculidae","","","","","","","","","","Oligochaeta"
"484","Lutrochus",FALSE,"UN","","",NA,3,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",114037,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Lutrochidae","","","","Lutrochus","","","","","","Coleoptera"
"485","Lymnaeidae",FALSE,"UN","","F",3,6,NA,56,"5","SC","uni","GENE",NA,FALSE,"warm","Warm","",21.8,21.67354241,26.385,"","",76483,"Animalia","Mollusca","","Gastropoda","","Basommatophora","","","Lymnaeidae","","","","","","","","","","Other Non-Insect"
"486","Maccaffertium",FALSE,"CN","","",NA,NA,NA,NA,"5","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",697957,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Maccaffertium","","","","","","Ephemeroptera"
"487","Macromia",FALSE,"UN","","F",11,2,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",101918,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Macromiidae","","","","Macromia","","","","","","Odonata"
"488","Macromiidae",FALSE,"UN","","F",11,3,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",102019,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Macromiidae","","","","","","","","","","Odonata"
"489","Macropelopia",FALSE,"UN","T","F",5,6,NA,21.6,"3","PR","multi","RHEO",NA,FALSE,"cool","Cool","",17.5,17.48659678,20.848,"","",128034,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Macropelopiini","","Macropelopia","","","","","","Chironomidae"
"490","Macropelopiini",FALSE,"UN","T","F",11,NA,NA,NA,"","","","",NA,FALSE,"","Eurythermal","",NA,18.80941866,22.262,"","yes",128020,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Macropelopiini","","","","","","","","Chironomidae"
"491","Malenka",FALSE,"CN","","F",1,1,NA,16.6,"4","SH","uni","RHEO",NA,FALSE,"cool","Cool","",18.5,18.30303736,21.438,"","",102567,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Nemouridae","Amphinemurinae","","","Malenka","","","","","","Plecoptera"
"492","Margaritiferidae",FALSE,"UN","","F",11,4,NA,NA,"","","","",NA,TRUE,"","","Less30",21.8,NA,NA,"","",79914,"Animalia","Mollusca","","Bivalvia","Palaeoheterodonta","Unionoida","","","Margaritiferidae","","","","","","","","","","Other Non-Insect"
"493","Marilia",FALSE,"UN","","F",11,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",116514,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Leptoceroidea","Odontoceridae","Odontocerinae","","","Marilia","","","","","","Trichoptera"
"494","Maruina",FALSE,"CN","","T",11,1,NA,8.3,"3","SC","uni","SPEC",NA,FALSE,"cowa","Cool-Warm","",19.5,19.51096521,23.215,"","",125392,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Psychodidae","Psychodinae","","","Maruina","","","","","","Diptera"
"495","Matriella teresa",FALSE,"CN","","F",11,2,5,8.9,"3","CG","uni","RHEO",NA,FALSE,"cool","Cool","",19.1,19.06645627,21.67,"","",776924,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Ephemerellidae","","","","Matriella","","","","","teresa","Ephemeroptera"
"496","Megaleuctra",FALSE,"UN","","F",11,0,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",102877,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Leuctridae","Megaleuctrinae","","","Megaleuctra","","","","","","Plecoptera"
"497","Megaloptera",FALSE,"UN","","F",11,7,NA,NA,"","","","",NA,FALSE,"","Cool-Warm","",NA,19.41566802,23.13,"","yes",115000,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Megaloptera","","","","","","","","","","","","","Megaloptera"
"498","Megarcys",FALSE,"CN","","F",1,1,20,7.6,"2","PR","semi","RHEO",NA,TRUE,"stenoc","Cold Stenotherm","",13,12.95348618,17.07,"Cold Stenotherm","",103110,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Systellognatha","","Perlodidae","Perlodinae","Arcynopterygini","","Megarcys","","","","","","Plecoptera"
"499","Menetus",FALSE,"UN","T","F",11,6,NA,59.8,"4","SC","multi","GENE",NA,FALSE,"warm","Warm","",19.6,19.363361,24.215,"","",76626,"Animalia","Mollusca","","Gastropoda","","Basommatophora","","","Planorbidae","","","","Menetus","","","","","","Other Non-Insect"
"500","Meringodixa",FALSE,"SW","","F",11,2,NA,18.2,"3","CG","multi","SPEC",NA,FALSE,"cool","Cool","",17.5,17.53695693,20.31,"","",125873,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Dixidae","","","","Meringodixa","","","","","","Diptera"
"501","Mesenchytraeus",FALSE,"UN","","F",11,4,NA,8.9,"","","","",NA,FALSE,"cold","Cold","",15.2,15.07057539,19.705,"","",68544,"Animalia","Annelida","","Clitellata","Oligochaeta","Enchytraeida","","","Enchytraeidae","","","","Mesenchytraeus","","","","","","Oligochaeta"
"502","Mesobates",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Hygrobatidae","Hygrobatinae","","","Mesobates","","","","","","Other Non-Insect"
"503","Mesocricotopus",FALSE,"UN","","",NA,NA,NA,NA,NA,"CG","multi","GENE",NA,FALSE,"","","",NA,NA,NA,"","",128815,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Mesocricotopus","","","","","","Chironomidae"
"504","Mesosmittia",FALSE,"UN","","",NA,NA,NA,NA,"4","CG","multi","GENE",NA,FALSE,"","","",NA,NA,NA,"","",128818,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Mesosmittia","","","","","","Chironomidae"
"505","Metacnephia",FALSE,"CN","","F",NA,6,NA,NA,"1i","CF","uni","HEAD",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",126687,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Simuliidae","Simuliinae","Prosimuliini","","Metacnephia","","","","","","Diptera"
"506","Metriocnemus",FALSE,"BU","","F",11,6,NA,43.4,"4","OM","multi","GENE",NA,FALSE,"eurythermal","Eurythermal","",19.1,19.05610859,22.415,"","",128821,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Metriocnemus","","","","","","Chironomidae"
"507","Micrasema",FALSE,"CN","U","F",2,1,NA,9.7,"3","CG","semi","RHEO",NA,FALSE,"cool","Cool","",16.8,16.67755003,20.829,"","",116958,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Brachycentridae","","","","Micrasema","","","","","","Trichoptera"
"508","Microchironomus",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",129532,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Microchironomus","","","","","","Chironomidae"
"509","Microcylloepus",FALSE,"CN","","F",4,5,NA,NA,"4","CG","semi","RHEO",NA,TRUE,"stenow","Warm Stenotherm","",26.7,26.84036357,28.71,"","",114146,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Elmidae","Elminae","Elmini","","Microcylloepus","","","","","","Coleoptera"
"510","Micropsectra",FALSE,"UN","","F",1,4,NA,19.7,"4","CG","multi","GENE",NA,FALSE,"eurythermal","Eurythermal","",17.9,17.73507182,22.151,"Eurythermal","",129890,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Tanytarsini","","Micropsectra","","","","","","Chironomidae"
"511","Microtendipes",FALSE,"CN","T","F",4,6,NA,15,"4","CF","multi","GENE",NA,FALSE,"","Warm","",20.3,20.31055476,23.584,"","yes",129535,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Microtendipes","","","","","","Chironomidae"
"512","Microtendipes Pedellus Group",FALSE,"CN","T","",NA,6,NA,15,"4","CF","multi","GENE",NA,FALSE,"cowa","Cool-Warm","",20.3,20.16030303,23.49,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Microtendipes","","Pedellus Gr.","","","","Chironomidae"
"513","Microtendipes Rydalensis Group",FALSE,"UN","","",4,6,NA,15,"4","CF","multi","GENE",NA,FALSE,"cowa","Cool-Warm","",20.3,20.24341199,22.23,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Microtendipes","","Rydalensis Gr.","","","","Chironomidae"
"514","Midea",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",83466,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Mideidae","","","","Midea","","","","","","Other Non-Insect"
"515","Mideopsidae",FALSE,"UN","","",11,NA,NA,NA,"","PR","","",NA,FALSE,"eurythermal","Eurythermal","",NA,18.80123845,22.256,"","",83476,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Mideopsidae","","","","","","","","","","Other Non-Insect"
"516","Mideopsis",FALSE,"UN","","",11,NA,NA,21.7,"","PR","","",NA,FALSE,"eurythermal","Eurythermal","",18.9,18.89205312,22.35,"","",83479,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Mideopsidae","","","","Mideopsis","","","","","","Other Non-Insect"
"517","Molanna",FALSE,"UN","","F",11,6,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",116474,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Leptoceroidea","Molannidae","","","","Molanna","","","","","","Trichoptera"
"518","Molophilus",FALSE,"BU","","T",11,4,NA,NA,"4","SH","uni","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",120758,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Limoniidae","Chioneinae","","","Molophilus","","","","","","Diptera"
"519","Momonia",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","",NA,NA,NA,"","",83474,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Momoniidae","","","","Momonia","","","","","","Other Non-Insect"
"520","Momoniidae",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Momoniidae","","","","","","","","","","Other Non-Insect"
"521","Monatractides",FALSE,"UN","","",NA,NA,NA,18.5,"","PR","","",NA,FALSE,"cool","Cool","",17.9,17.83620003,21.802,"","",NA,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Torrenticolidae","","","","Monatractides","","","","","","Other Non-Insect"
"522","Monodiamesa",FALSE,"SP","","F",5,7,NA,28.1,"3","CG","multi","GENE",NA,FALSE,"cool","Cool","",17.1,16.69533003,20.42,"","",128440,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Prodiamesinae","","","Monodiamesa","","","","","","Chironomidae"
"523","Monopelopia",FALSE,"UN","T","F",11,6,NA,NA,NA,"PR","multi","SPEC",TRUE,FALSE,"","","Less30",NA,NA,NA,"","",128199,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Pentaneurini","","Monopelopia","","","","","","Chironomidae"
"524","Monophylax mono",FALSE,"BU","","F",11,1,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Limnephilinae","Chilostigmini","","Monophylax","","","","","mono","Trichoptera"
"525","Moselia",FALSE,"UN","","F",11,0,NA,15.4,"2","SH","uni","HEAD",TRUE,TRUE,"cold","Cold","",14.4,14.60978719,19.005,"Cold","",102909,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Leuctridae","Leuctrinae","","","Moselia","","","","","","Plecoptera"
"526","Moselyana comosa",FALSE,"SP","","",NA,4,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Apataniidae","","","","Moselyana","","","","","comosa","Trichoptera"
"527","Muscidae",FALSE,"SP","","F",11,10,NA,22.2,"4","PR","multi","GENE",NA,FALSE,"eurythermal","Eurythermal","",18.8,18.50760626,23.002,"","",150025,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Muscidae","","","","","","","","","","Diptera"
"528","Musculium",FALSE,"UN","","F",11,6,NA,50.7,"","","","",NA,FALSE,"","","Less30",20,NA,NA,"","",81427,"Animalia","Mollusca","","Bivalvia","Heterodonta","Veneroida","","","Sphaeriidae","","","","Musculium","","","","","","Other Non-Insect"
"529","Mystacides",FALSE,"SP","","F",3,4,NA,NA,"4","OM","uni","GENE",NA,FALSE,"warm","Warm","",21.1,21.08328213,24.7,"","",116598,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Leptoceroidea","Leptoceridae","Leptocerinae","Mystacidini","","Mystacides","","","","","","Trichoptera"
"530","Naididae",FALSE,"UN","","F",5,8,NA,NA,"","","","",NA,FALSE,"","Cool-Warm","",NA,20.42798694,22.61,"","yes",68854,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","","","","","","","","","","Oligochaeta"
"531","Naidinae",FALSE,"UN","","",NA,8,NA,33.2,"","","","",NA,FALSE,"warm","Warm","",21.2,20.97614457,23.512,"","",974284,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Naidinae","","","","","","","","","Oligochaeta"
"532","Nais",FALSE,"UN","","F",11,8,NA,33.2,"","","","",NA,FALSE,"cowa","Cool-Warm","",21.2,20.80907906,23.356,"","",68946,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Naidinae","","","Nais","","","","","","Oligochaeta"
"533","Najadicola",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",83101,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Pionidae","","","","Najadicola","","","","","","Other Non-Insect"
"534","Namamyia",FALSE,"NEEDS_REVIEW","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Leptoceroidea","Odontoceridae","Odontocerinae","","","Namamyia","","","","","","Trichoptera"
"535","Nanocladius",FALSE,"SP","","F",4,3,NA,11.4,"5","CG","multi","GENE",NA,FALSE,"warm","Warm","",20.1,20.03507739,25.936,"","",128844,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Nanocladius","","","","","","Chironomidae"
"536","Nanonemoura wahkeena",FALSE,"CN","","",1,1,NA,NA,"","SH","uni","RHEO",NA,TRUE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","","","Nemouridae","","","","Nanonemoura","","","","","wahkeena","Plecoptera"
"537","Narpus",FALSE,"CN","U","F",1,2,5,12.9,"4","CG","semi","RHEO",NA,TRUE,"cool","Cool","",18.1,18.07526637,21.412,"","",114142,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Elmidae","Elminae","Elmini","","Narpus","","","","","","Coleoptera"
"538","Natarsia",FALSE,"UN","T","F",11,7,NA,31.2,"4","PR","multi","GENE",NA,FALSE,"cool","Cool","",19.2,19.30540603,21.816,"","",128070,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Natarsiini","","Natarsia","","","","","","Chironomidae"
"539","Nautarachna",FALSE,"UN","","",NA,8,NA,4.9,"","PR","","",NA,FALSE,"cool","Cool","",17.4,17.68310724,20.017,"","",83326,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Nautarachnidae","","","","Nautarachna","","","","","","Other Non-Insect"
"540","Nautarachnidae",FALSE,"UN","","",NA,NA,NA,4.9,"","PR","","",NA,FALSE,"","","",17.4,NA,NA,"","",NA,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Nautarachnidae","","","","","","","","","","Other Non-Insect"
"541","Neaviperla/Suwallia",FALSE,"UN","","F",11,1,10,NA,"3","","","",NA,FALSE,"cool","Cool","",18.2,17.98480692,21.23,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Systellognatha","","Chloroperlidae","Chloroperlinae","Suwalliini","","Neaviperla/Suwallia","","","","","","Plecoptera"
"542","Nectoporus",FALSE,"SW","","T",7,5,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Hydroporinae","Hydroporini","","Nectoporus","","","","","","Coleoptera"
"543","Nectopsyche",FALSE,"SW","","F",3,2,NA,NA,"4","OM","uni","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",116651,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Leptoceroidea","Leptoceridae","Leptocerinae","Nectopsychini","","Nectopsyche","","","","","","Trichoptera"
"544","Nemata",FALSE,"UN","","F",5,5,NA,25.4,"4","PA","uni","SPEC",NA,FALSE,"eurythermal","Eurythermal","",17.9,17.46102488,22.3,"","",563956,"Animalia","Nemata","","","","","","","","","","","","","","","","","Other Non-Insect"
"545","Nematocera",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","Eurythermal","",NA,18.12199419,22.492,"","yes",118832,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","","","","","","","","","","","Diptera"
"546","Nematomorpha",FALSE,"UN","","F",11,8,NA,NA,NA,"PA","semi","SPEC",NA,FALSE,"","","Less30",NA,NA,NA,"","",64183,"Animalia","Nematomorpha","","","","","","","","","","","","","","","","","Other Non-Insect"
"547","Nemotaulius hostilis",FALSE,"SP","","",NA,NA,NA,NA,"","SH","","",NA,FALSE,"","","",NA,NA,NA,"","",116434,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Limnephilinae","Limnephilini","","Nemotaulius","Macrotaulius","Macrotaulius","","","hostilus","Trichoptera"
"548","Nemotelus",FALSE,"SW","","T",11,7,NA,NA,NA,"CG","UNKN","SPEC",NA,FALSE,"","","Less30",21.8,NA,NA,"","",130694,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Stratiomyidae","Nemotelinae","","","Nemotelus","","","","","","Diptera"
"549","Nemouridae",FALSE,"CN","","F",11,2,NA,NA,"4","SH","UNKN","RHEO",NA,FALSE,"","Cool","",NA,16.77021858,21.36,"","yes",102517,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Euholognatha","","Nemouridae","","","","","","","","","","Plecoptera"
"550","Neoacarus",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","",NA,NA,NA,"","",82859,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Neoacaridae","","","","Neoacarus","","","","","","Other Non-Insect"
