"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"57","Apedilum",FALSE,"UN","T","F",11,NA,NA,NA,"5","CG","multi","GENE",NA,FALSE,"warm","Warm","",22.8,22.93779108,26.732,"","",206655,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Chironominae","Chironomini","","Apedilum","","","","","","Chironomidae"
"58","Apobaetis",FALSE,"SW","","",NA,NA,NA,NA,"","CG","","",NA,FALSE,"","","",NA,NA,NA,"","",100936,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Apobaetis","","","","","","Ephemeroptera"
"59","Apsectrotanypus",FALSE,"BU","T","F",11,8,NA,NA,NA,"PR","multi","GENE",NA,FALSE,"","","Less30",NA,NA,NA,"","",128021,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Macropelopiini","","Apsectrotanypus","","","","","","Chironomidae"
"60","Araeopidius monachus",FALSE,"CN","U","U",11,NA,NA,NA,NA,"","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",708487,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Ptilodactylidae","Araeopidiinae","","","Araeopidius","","","","","monachus","Coleoptera"
"61","Archilestes",FALSE,"UN","","F",11,2.5,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",102059,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Zygoptera","","Lestidae","","","","Archilestes","","","","","","Odonata"
"62","Arcteonais",FALSE,"UN","","",NA,NA,NA,33.2,"","","","",NA,FALSE,"","","",21.2,NA,NA,"","",68975,"Animalia","Annelida","","Clitellata","Oligochaeta","Tubificida","","","Naididae","Naidinae","","","Arcteonais","","","","","","Oligochaeta"
"63","Arctopsyche",FALSE,"CN","U","F",3,2,15,4.1,"3","PR","semi","RHEO",NA,TRUE,"cool","Cool","",17.1,17.02430189,20.518,"","",115529,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Annulipalpia","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","Arctopsyche","","","","","","Trichoptera"
"64","Arctopsychinae",FALSE,"CN","U","F",11,2,10,NA,"3","PR","semi","RHEO",NA,TRUE,"","Cool","",NA,15.86335494,19.99,"","yes",568763,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Annulipalpia","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","","","","","Trichoptera"
"65","Argia",FALSE,"CN","","F",11,7,NA,39.1,"4","PR","uni","RHEO",NA,FALSE,"stenow","Warm Stenotherm","",23.8,24.06609594,27.92,"Warm Stenotherm","",102139,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Zygoptera","","Coenagrionidae","","","","Argia","","","","","","Odonata"
"66","Arhynchobdellida",FALSE,"UN","","",NA,NA,NA,67.1,"","","","",NA,FALSE,"","Warm","",21.8,21.68450719,26.89,"","yes",568835,"Animalia","Annelida","","Clitellata","Hirudinea","Arhynchobdellida","","","","","","","","","","","","","Other Non-Insect"
