FishTaxaID,FinalID,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species,EnterDate,Comments,TSN,ParTSN,CNCode,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr,data_MN,BCG_Attr_MN_01,BCG_Attr_MN_02,BCG_Attr_MN_03,BCG_Attr_MN_04,BCG_Attr_MN_05,BCG_Attr_MN_06,BCG_Attr_MN_07,BCG_Attr_MN_10,BCG_Attr_MN_11,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11
60,Ironcolor shiner,Notropis chalybaeus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,chalybaeus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
61,Johnny darter,Etheostoma nigrum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
62,Largemouth bass,Micropterus salmoides,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
63,Least brook lamprey,Lampetra aepyptera,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,aepyptera,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
64,Logperch,Percina caprodes,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
65,northern sunfish,Lepomis megalotis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,megalotis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
66,Longnose dace,Rhinichthys cataractae,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,##########,,,,,2,3,2,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
67,Longnose gar,Lepisosteus osseus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,##########,,,,,x,,x,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,x,x
68,Margined madtom,Noturus insignis,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,insignis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
69,Mottled sculpin,Cottus bairdi,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi,##########,,,,,3,3,3,FALSE,x,x,3,3,3,3,x,3,3,3,3,3,3,3,3,x,3,3
70,Mud sunfish,Acantharchus pomotis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Acantharchus,pomotis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
71,Mummichog,Fundulus heteroclitus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,heteroclitus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
72,Northern hogsucker,Hypentelium nigricans,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
73,Northern pike,Esox lucius,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
74,northern pearl dace,Margariscus margarita,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Margariscus,margarita,##########,,,,,,3,3,FALSE,x,3,x,x,3,3,3,3,3,x,3,3,x,3,3,3,3,3
75,Pirate perch,Aphredoderus sayanus,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,x,x
76,Potomic sculpin,Cottus girardi,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,girardi,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
77,Pumpkinseed,Lepomis gibbosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus,##########,,,,,,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5
78,Rainbow trout,Oncorhynchus mykiss,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,##########,,,,,6,6,6,FALSE,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
79,Rainwater killifish,Lucania parva,Animalia,Chordata,Osteichthyes,,Fundulidae,Lucania,parva,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
80,Redbreast sunfish,Lepomis auritus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,auritus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
81,Redfin pickerel,Esox americanus americanus,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,americanus americanus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
82,River chub,Nocomis micropogon,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,micropogon,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,x,x
83,Rock bass,Ambloplites rupestris,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
84,Rosyface shiner,Notropis rubellus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,rubellus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,x,x
85,Rosyside dace,Clinostomus funduloides,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
86,Satinfin shiner,Cyprinella analostana,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
87,Shield darter,Percina peltata,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
88,Shorthead redhorse,Moxostoma macrolepidotum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
89,Silverjaw minnow,Notropis buccatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
91,Smallmouth bass,Micropterus dolomieu,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
92,Spot,Leiostomus xanthurus,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
93,Spotfin shiner,Cyprinella spiloptera,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
94,Spottail shiner,Notropis hudsonius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius,##########,,,,,x,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
95,Stonecat,Noturus flavus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
96,Striped bass,Morone saxatilis,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
97,Striped killifish,Fundulus majalis,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
98,Striped shiner,Luxilus chrysocephalus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
99,Swallowtail shiner,Notropis procne,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
100,Swamp darter,Etheostoma fusiforme,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
101,Tadpole madtom,Noturus gyrinus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus,##########,,,,,,3,3,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,5
102,Tesselated darter,Etheostoma olmstedi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
103,Warmouth,Lepomis gulosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,x,x
104,watercolumn fish,,Animalia,Chordata,Osteichthyes,,,,,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
105,White catfish,Ameiurus catus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
106,White crappie,Pomoxis annularis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis,##########,,,,,,,,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,x,x
107,White perch,Morone americana,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
108,White sucker,Catostomus commersoni,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni,##########,,,,,5,4,5,FALSE,4,4,4,4,5,5,4,5,5,4,5,4,4,5,4,4,4,4
109,Yellow bullhead,Ameiurus natalis,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,5
110,Yellow perch,Perca flavescens,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5
111,bigmouth buffalo,Ictiobus cyprinellus,Animalia,,,,,Ictiobus,cyprinellus,##########,,,,BIB,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,5a,5a,5a,5a,5a,5a,5a,4,4
112,bigmouth shiner,Notropis dorsalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,dorsalis,##########,,,,BMS,4,4,4,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5a,5a,5a
113,black buffalo,Ictiobus niger,Animalia,,,,,Ictiobus,niger,##########,,,,BKB,,,,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,x,x
114,black bullhead,Ameiurus melas,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas,##########,,,,BLB,5,5,5,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5a,5a,5a
115,black redhorse,Moxostoma duquesnei,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,duquesnei,##########,,,,BRH,2,,2,FALSE,x,x,2,x,x,x,x,2,x,2,2,x,x,x,x,x,4,4
116,blackchin shiner,Notropis heterodon,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterodon,##########,,,,BCS,,1,1,FALSE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
117,blacknose shiner,Notropis heterolepis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterolepis,##########,,,,BNS,,2,2,FALSE,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,4
118,blackside darter,Percina maculata,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata,##########,,,,BSD,3,3,3,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
119,blue sucker,Cycleptus elongatus,Animalia,,,,,Cycleptus,elongatus,##########,,,,BLS,,2,2,FALSE,1,1,1,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x
120,bowfin,Amia calva,Animalia,,,,,Amia,calva,##########,,,,BOF,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
121,brassy minnow,Hybognathus hankinsoni,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,hankinsoni,##########,,,,BRM,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
122,brook silverside,Labidesthes sicculus,Animalia,,,,,Labidesthes,sicculus,##########,,,,BKS,,3,3,FALSE,x,x,3,3,3,x,x,3,x,3,3,x,3,3,x,x,x,x
123,brook stickleback,Culaea inconstans,Animalia,,,,,Culaea,inconstans,##########,,,,BST,5,5,5,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5a,4,4
124,bullhead minnow,Pimephales vigilax,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,vigilax,##########,,,,BHM,,4,4,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,4,4
125,burbot,Lota lota,Animalia,,,,,Lota,lota,##########,,,,BUB,,2,2,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
126,carmine shiner,Notropis percobromus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,percobromus,##########,,,,CRS,3,,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
127,central mudminnow,Umbra limi,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,limi,##########,,,,CNM,5,5,5,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,4,5a,5a,5,4,5,5
128,channel shiner,Notropis wickliffi,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,wickliffi,##########,,,,CNS,x,,x,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
129,chestnut lamprey,Ichthyomyzon castaneus,Animalia,,,,,Ichthyomyzon,castaneus,##########,,,,CHL,3,3,3,FALSE,3,3,3,3,3,3,3,3,x,3,3,3,3,3,3,3,3,3
130,chinook salmon,Oncorhynchus tshawytscha,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,##########,,,,CHS,,6,6,FALSE,x,x,x,6,6,6,x,x,x,x,x,x,6,6,6,x,6,6
131,coho salmon,Oncorhynchus kisutch,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,##########,,,,COS,,,,FALSE,,,,,,,,,,,,,,,,,6,6
132,crystal darter,Crystallaria asprella,Animalia,,,,,Crystallaria,asprella,##########,,,,CRD,,1,1,FALSE,x,x,1,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x
133,emerald shiner,Notropis atherinoides,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,atherinoides,##########,,,,EMS,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,Fam: herrings,Clupeidae ,Animalia,Chordata,Osteichthyes,,Clupeidae,,,##########,,,,HER,,,,FALSE,,,,,,,,,,,,,,,,,,
135,Fam: lamprey,Petromyzontidae ,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,,##########,,,,LAM,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
136,Fam: minnows,Cyprinidae ,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,,,##########,,,,MIN,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
137,Fam: trout,Salmonidae ,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,,,##########,,,,TRT,,,,FALSE,,,,,,,,,,,,,,,,,,
138,finescale dace,Phoxinus neogaeus,Animalia,,,,,Phoxinus,neogaeus,##########,,,,FND,,2,2,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
139,flathead catfish,Pylodictis olivaris,Animalia,,,,,Pylodictis,olivaris,##########,,,,FCF,,4,4,FALSE,4,4,4,x,x,x,4,4,4,4,4,4,x,x,x,4,x,x
140,freshwater drum,Aplodinotus grunniens,Animalia,,,,,Aplodinotus,grunniens,##########,,,,FRD,x,4,4,FALSE,4,4,4,4,4,x,x,4,x,4,4,x,4,4,x,x,4,4
141,Gen: buffalos,Ictiobus ,Animalia,,,,,Ictiobus,,##########,,,,BUF,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
142,Gen: bullheads,Ameiurus ,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,,##########,,,,BUL,,,,FALSE,,,,,,,,,,,,,,,,,,
143,Gen: carpsuckers,Carpiodes ,Animalia,,,,,Carpiodes,,##########,,,,CPS,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
