TaxaID,CommonName,NONTARGET,Order,Family,BCG_ATTR,Reproduction,Trophic,Type
Lucania parva,Rainwater killifish,FALSE,Cyprinodontiformes,Fundulidae,6t,,IV,
Lythrurus fumeus,Ribbon shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Lythrurus umbratilis,Redfin shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Macrhybopsis aestivalis,Speckled chub,FALSE,Cypriniformes,Cyprinidae,1,Broadcaster,IV,
Macrhybopsis australis,Prairie chub,FALSE,Cypriniformes,Cyprinidae,3,,OM,
Macrhybopsis hyostoma,Shoal chub,FALSE,Cypriniformes,Cyprinidae,3,,OM,
Macrhybopsis storeiana,Silver chub,FALSE,Cypriniformes,Cyprinidae,3,,IV,
Meda fulgida,Spikedace,FALSE,Cypriniformes,Cyprinidae,,,IV,
Menidia beryllina,Inland silverside,FALSE,Atheriniformes,Atherinidae,,,PL,
Micropterus dolomieu,Smallmouth bass,FALSE,Perciformes,Centrarchidae,6,,PI,
Micropterus punctulatus,Spotted bass,FALSE,Perciformes,Centrarchidae,4,,PI,
Micropterus salmoides,Largemouth bass,FALSE,Perciformes,Centrarchidae,6t,,PI,
Minytrema melanops,Spotted sucker,FALSE,Cypriniformes,Catostomidae,3,,IV,
Morone americana,White perch,FALSE,Perciformes,Moronidae,4,,,
Morone chrysops,White bass,FALSE,Perciformes,Percichthyidae,6,,PI,
Morone chrysops x saxatilis,Wiper,FALSE,Perciformes,Moronidae,4,,,
Morone mississippiensis,Yellow bass,FALSE,Perciformes,Moronidae,4,,,
Morone saxatilis,Striped bass,FALSE,Perciformes,Percichthyidae,,,PI,
Moxostoma congestum,Gray redhorse,FALSE,Cypriniformes,Catostomidae,,,,
Moxostoma erythrurum,Golden redhorse,FALSE,Cypriniformes,Catostomidae,,,,
Moxostoma macrolepidotum,Shorthead redhorse,FALSE,Cypriniformes,Catostomidae,3,,OM,LLNLB
Moxostoma poecilurum,Blacktail redhorse,FALSE,Cypriniformes,Catostomidae,3,,IV,
Mugil cephalus,Striped mullet,FALSE,Mugiliformes,Mugilidae,4,,OM,
Mugil curema,White mullet,FALSE,Mugiliformes,Mugilidae,,,OM,
Mylocheilus caurinus,Peamouth,FALSE,Cypriniformes,Cyprinidae,3,,IV,
