Date,TypeOfChange,Taxon_orig,Taxon_modified,Notes
20240606,change OTU_BCG,HYALELLA AZTECA,HYALELLA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,HYDROMETRIDAE,HYDROMETRA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,HYDROPSYCHE MOROSA GR.,HYDROPSYCHE MOROSA GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,LEPTOCERUS,LEPTOCERUS AMERICANUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,MACRONYCHUS,MACRONYCHUS GLABRATUS,One species in NE. Sean Sullivan
20240606,change OTU_BCG,MALLOCHOHELEA,CERATOPOGONINAE,subfamily level recommended by Sean Sullivan
20240606,change OTU_BCG,MICROCYLLOEPUS PUSILLUS,MICROCYLLOEPUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,MOOREOBDELLA,ERPOBDELLA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,MOOREOBDELLA FERVIDA,ERPOBDELLA FERVIDA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,MOOREOBDELLA MICROSTOMA,ERPOBDELLA MICROSTOMA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,NEMATODA,NEMATA,phylum level recommended by Sean Sullivan
20240606,change OTU_BCG,NEMOURA,NEMOURIDAE,questionable ID. Family-level recommended by Sean Sullivan
20240606,change OTU_BCG,NEOPERLA CLYMENE,NEOPERLA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,NEOPLEA,NEOPLEA STRIOLA,One species in NE. Sean Sullivan
20240606,change OTU_BCG,NEPA APICULATA,NEPA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,OECETIS AVARA,OECETIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,OECETIS CINERASCENS,OECETIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORCONECTES,FAXONIUS,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,ORCONECTES IMMUNIS,FAXONIUS IMMUNIS,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,ORCONECTES VIRILIS,FAXONIUS VIRILIS,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,ORMOSIA ARCUATA,ORMOSIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORTHOCLADIUS LIGNICOLA,ORTHOCLADIUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORTHOCLADIUS MALLOCHI,ORTHOCLADIUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORTHOCLADIUS OBUMBRATUS,ORTHOCLADIUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORTHOCLADIUS WIENSI,ORTHOCLADIUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,ORTHOTRICHIA CRISTATA,ORTHOTRICHIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PARACHIRONOMUS ABORTIVUS,PARACHIRONOMUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PARACHIRONOMUS DIRECTUS,PARACHIRONOMUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PARACLOEODES,PARACLOEODES MINUTUS,One species in NE. Sean Sullivan
20240606,change OTU_BCG,PARALAUTERBORNIELLA,PARALAUTERBORNIELLA NIGROHALTERALE,One species in NE. Sean Sullivan
20240606,change OTU_BCG,PARALAUTERBORNIELLA NIGROHALTERALIS,PARALAUTERBORNIELLA NIGROHALTERALE,spelling
20240606,change OTU_BCG,PARANAIS FRICI,PARANAIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PELECYPODA,BIVALVIA,nomenclature change
20240606,change OTU_BCG,PELOSCOLEX MULTISETOSUS,QUISTADRILUS MULTISETOSUS,nomenclature change
20240606,change OTU_BCG,PELOSCOLEX SUPERIORENSIS,TASSERKIDRILUS SUPERIORENSIS,nomenclature change
20240606,change OTU_BCG,PERLESTA PLACIDA,PERLESTA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PHYSA,PHYSIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,PHYSELLA,PHYSIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,PISIDIIDAE,SPHAERIIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,PISIDIUM ADAMSI,PISIDIUM,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PISIDIUM CASERTANUM,PISIDIUM,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,PISIDIUM COMPRESSUM,PISIDIUM,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,POLYPEDILUM CONVICTUM,POLYPEDILUM CONVICTUM GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM FALLAX,POLYPEDILUM FALLAX GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM FALLAX GR.,POLYPEDILUM FALLAX GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM HALTERALE,POLYPEDILUM HALTERALE GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM HALTERALE GR.,POLYPEDILUM HALTERALE GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM ILLINOENSE,POLYPEDILUM ILLINOENSE GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM ILLINOENSE GR.,POLYPEDILUM ILLINOENSE GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM SCALAENUM,POLYPEDILUM SCALAENUM GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POLYPEDILUM SCALAENUM GR.,POLYPEDILUM SCALAENUM GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,POTAMYIA,POTAMYIA FLAVA,One species in NE. Sean Sullivan
20240606,change OTU_BCG,PRISTINA LONGISETA LONGISETA,PRISTINA LONGISETA,removed subspecies
20240606,change OTU_BCG,PROSTOMA GRAECENSE,PROSTOMA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,QUISTRADRILUS,QUISTADRILUS MULTISETOSUS,correct spelling per itis.gov
20240606,change OTU_BCG,QUISTRADRILUS MULTISETOSUS,QUISTADRILUS MULTISETOSUS,correct spelling per itis.gov
20240606,change OTU_BCG,RHAGOVELIA OBESA,RHAGOVELIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,RHEOTANYTARSUS AKRINA,RHEOTANYTARSUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,RHEOTANYTARSUS DISTINCTISSIMUS,RHEOTANYTARSUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,RHEUMATOBATES RILEYI,RHEUMATOBATES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,SAETHERIA TYLUS,SAETHERIA,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,SPHAERIUM STRIATINUM,SPHAERIUM,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,STENACRON INTERPUNCTATUM,STENACRON,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,STENELMIS HUMEROSA,STENELMIS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,STENONEMA BIPUNCTATUM,MACCAFFERTIUM BIPUNCTATUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA EXIGUUM,MACCAFFERTIUM EXIGUUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA INTEGRUM,MACCAFFERTIUM INTEGRUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA MEXICANUM,MACCAFFERTIUM MEXICANUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA PULCHELLUM,MACCAFFERTIUM PULCHELLUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA TERMINATUM,MACCAFFERTIUM TERMINATUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STENONEMA TRIPUNCTATUM,MACCAFFERTIUM TRIPUNCTATUM,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,STILOBEZZIA,CERATOPOGONINAE,subfamily level recommended by Sean Sullivan
20240606,change OTU_BCG,SYMPHITOPSYCHE,CERATOPSYCHE,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,SYMPHITOPSYCHE PIATRIX,CERATOPSYCHE,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,TAENIOPTERYX BURKSI,TAENIOPTERYX,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,TANYPUS CLAVATUS,TANYPUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,TANYPUS PUNCTIPENNIS,TANYPUS,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,TELOPELOPIA,TELOPELOPIA OKOBOJI,One species in NE. Sean Sullivan
20240606,change OTU_BCG,THIENEMANNIMYIA,THIENEMANNIMYIA GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,THIENEMANNIMYIA GR.,THIENEMANNIMYIA GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,TRIAENODES TARDUS,TRIAENODES,genus level recommended by Sean Sullivan
20240606,change OTU_BCG,TRICORYTHIDAE,LEPTOHYPHIDAE,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,TURBELLARIA,TREPAXONEMATA,nomenclature change. Sean Sullivan
20240606,change OTU_BCG,TVETENIA BAVARICA,TVETENIA BAVARICA GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,TVETENIA BAVARICA GR.,TVETENIA BAVARICA GROUP,formatting (CAPS and group)
20240606,change OTU_BCG,WAPSA MOBILIS,PARANAIS,nomenclature change
20240606,change OTU_BCG,XENOCHIRONOMUS,XENOCHIRONOMUS XENOLABIS,One species in NE. Sean Sullivan
