TaxaID,RANK,NONTARGET,BCG_ATTR,FFG,FFGSource_BCG,Habit,HabitSource_BCG,TolVal,TolValSource_BCG,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,AUTHOR,TSN,PARTSN,BENTAXAID,TOLVAL_NM,TOLVALSOURCE_NM,TOLVAL_ED,TOLVALSOURCE_ED,TOLVALWI,TOLVALKANOD,TOLVALKAAP,TOLVALKAHM,TOLVALKAPOC,TOLVALKASA,TOLVALKASSS,TOLVALKASOURCE,TOLVALIDSS,TOLVALIDSSSOURCE,FFG_NM,FFGSOURCE_NM,FFG_ED,FFGSECONDARY,FFGTERTIARY,FFGSOURCE_ED,HABIT_NM,HABITSECONDARY,HABITTERTIARY,HABITSOURCE,HABITATPRIMARY,HABITATSECONDARY,HABITATTERTIARY,HABITATSOURCE,LIFECYCLE_NM,LIFECYCLESOURCE,LIFECYCLE1,LIFECYCLE1SOURCE,LIFECYCLE2,LIFECYCLE2SOURCE,TEMPTOLERANCE,TEMPTOLERANCESOURCE,COMMENTS_NM,JACOBI_ID,NM_TAXON_ID
Musculium transversum,Species,FALSE,,CF,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Musculium,"(Say, 1829)",81428,81427,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurythermal: warm summer,inferred,No Comments,,25444
Pisidiidae,Family,FALSE,4,CF,EPA 841-B-99-002,,,6,Jacobi,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,,"Gray, 1857",81388,566875,1883,6,Jacobi,8,EPA 841-B-99-002,,,,,,,,,,,Scraper,EPA 841-B-99-002,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,,,Sphaeriidae no longer valid - changed to Pisidiidae,928.1,25433
Pisidium,Genus,FALSE,4,CF,EPA 841-B-99-002,BU,03_WSA,6,Jacobi,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"L. Pfeiffer, 1821",81400,81388,1884,6,Jacobi,8,EPA 841-B-99-002,,,,,,,,,,,Scraper,EPA 841-B-99-002,,,,EPA 841-B-99-002,,,,,,,,,,,univoltine,USGS BenTraits Table,,,,,No Comments,928.2,25446
Pisidium casertanum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"(Poli, 1791)",81405,81400,1885,8,EPA 841-B-99-002,8,EPA 841-B-99-002,,,,,,,,,,,Scraper,EPA 841-B-99-002,Scraper,,,EPA 841-B-99-002,,,,,,,,,,,,,,,Stenothermal: cold,IdahoDEQ-WBAG-2002,No Comments,,25448
Pisidium compressum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Prime, 1852",81406,81400,1886,8,EPA 841-B-99-002,8,EPA 841-B-99-002,,,,,,,,,,,,,,,,EPA 841-B-99-002,,,,,,,,,,,,,,,,,No Comments,,25449
Pisidium contortum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,,,81400,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999968
Pisidium insigne,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Gabb, 1868",81423,81400,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999969
Pisidium lilljeborgi,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"(Clessin, 1886)",81411,81400,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999970
Pisidium milium,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Held, 1836",81412,81400,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,24510
Pisidium nitidum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Jenyns, 1832",81413,81400,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999971
