Taxon_Orig,Taxon_Group,NonTarget,source,Comment,FishTaxaID,OTU_BCG,OTU_IBI,SciID,Common,Kingdom,Phylum,Class,Order,Family,Genus,Species
Moxostoma valenciennesi,,,MN BCG Access db,,157,Moxostoma valenciennesi,Moxostoma valenciennesi,Moxostoma valenciennesi,greater redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,valenciennesi
Carpiodes velifer,,,MN BCG Access db,,158,Carpiodes velifer,Carpiodes velifer,Carpiodes velifer,highfin carpsucker,Animalia,,,,,Carpiodes,velifer
Nocomis biguttatus,,,MN BCG Access db,,159,Nocomis biguttatus,Nocomis biguttatus,Nocomis biguttatus,hornyhead chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus
Cyprinidae hybrid,,,MN BCG Access db,,160,Cyprinidae hybrid,Cyprinidae hybrid,Cyprinidae hybrid,hybrid minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,hybrid,
Chrosomus hybrid,,,MN BCG Access db,,161,Chrosomus hybrid,Chrosomus hybrid,Chrosomus hybrid,hybrid Chrosomus,Animalia,,,,,Chrosomus,hybrid
Lepomis hybrid,,,MN BCG Access db,,162,Lepomis hybrid,Lepomis hybrid,Lepomis hybrid,hybrid sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,hybrid
Etheostoma exile,,,MN BCG Access db,,163,Etheostoma exile,Etheostoma exile,Etheostoma exile,Iowa darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,exile
Couesius plumbeus,,,MN BCG Access db,,164,Couesius plumbeus,Couesius plumbeus,Couesius plumbeus,lake chub,Animalia,,,,,Couesius,plumbeus
Coregonus artedi,,,MN BCG Access db,,165,Coregonus artedi,Coregonus artedi,Coregonus artedi,lake herring,Animalia,,,,,Coregonus,artedi
Acipenser fulvescens,,,MN BCG Access db,,166,Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,lake sturgeon,Animalia,,,,,Acipenser,fulvescens
Petromyzontidae larvae,,,MN BCG Access db,,167,Petromyzontidae larvae,Petromyzontidae larvae,Petromyzontidae larvae,lamprey ammocoete,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,larvae,
Campostoma oligolepis,,,MN BCG Access db,,168,Campostoma oligolepis,Campostoma oligolepis,Campostoma oligolepis,largescale stoneroller,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,oligolepis
Etheostoma microperca,,,MN BCG Access db,,169,Etheostoma microperca,Etheostoma microperca,Etheostoma microperca,least darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,microperca
Catostomus catostomus,,,MN BCG Access db,,170,Catostomus catostomus,Catostomus catostomus,Catostomus catostomus,longnose sucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,catostomus
Notropis volucellus,,,MN BCG Access db,,171,Notropis volucellus,Notropis volucellus,Notropis volucellus,mimic shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,volucellus
Hybognathus nuchalis,,,MN BCG Access db,,172,Hybognathus nuchalis,Hybognathus nuchalis,Hybognathus nuchalis,Mississippi silvery minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,nuchalis
Hiodon tergisus,,,MN BCG Access db,,173,Hiodon tergisus,Hiodon tergisus,Hiodon tergisus,mooneye,Animalia,,,,,Hiodon,tergisus
Etheostoma asprigene,,,MN BCG Access db,,174,Etheostoma asprigene,Etheostoma asprigene,Etheostoma asprigene,mud darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,asprigene
Esox masquinongy,,,MN BCG Access db,,175,Esox masquinongy,Esox masquinongy,Esox masquinongy,muskellunge,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,masquinongy
Pungitius pungitius,,,MN BCG Access db,,176,Pungitius pungitius,Pungitius pungitius,Pungitius pungitius,ninespine stickleback,Animalia,,,,,Pungitius,pungitius
Ichthyomyzon fossor,,,MN BCG Access db,,177,Ichthyomyzon fossor,Ichthyomyzon fossor,Ichthyomyzon fossor,northern brook lamprey,Animalia,,,,,Ichthyomyzon,fossor
Phoxinus eos,,,MN BCG Access db,,178,Phoxinus eos,Phoxinus eos,Phoxinus eos,northern redbelly dace,Animalia,,,,,Phoxinus,eos
Lepomis humilis,,,MN BCG Access db,,179,Lepomis humilis,Lepomis humilis,Lepomis humilis,orangespotted sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,humilis
Notropis nubilus,,,MN BCG Access db,,180,Notropis nubilus,Notropis nubilus,Notropis nubilus,Ozark minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,nubilus
Oncorhynchus gorbuscha,,,MN BCG Access db,,181,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,pink salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha
Fundulus sciadicus,,,MN BCG Access db,,182,Fundulus sciadicus,Fundulus sciadicus,Fundulus sciadicus,plains topminnow,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,sciadicus
Opsopoeodus emiliae,,,MN BCG Access db,,183,Opsopoeodus emiliae,Opsopoeodus emiliae,Opsopoeodus emiliae,pugnose minnow,Animalia,,,,,Opsopoeodus,emiliae
Notropis anogenus,,,MN BCG Access db,,184,Notropis anogenus,Notropis anogenus,Notropis anogenus,pugnose shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,anogenus
Carpiodes cyprinus,,,MN BCG Access db,,185,Carpiodes cyprinus,Carpiodes cyprinus,Carpiodes cyprinus,quillback,Animalia,,,,,Carpiodes,cyprinus
Etheostoma caeruleum,,,MN BCG Access db,,186,Etheostoma caeruleum,Etheostoma caeruleum,Etheostoma caeruleum,rainbow darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,caeruleum
Osmerus mordax,,,MN BCG Access db,,187,Osmerus mordax,Osmerus mordax,Osmerus mordax,rainbow smelt,Animalia,,,,,Osmerus,mordax
Cyprinella lutrensis,,,MN BCG Access db,,188,Cyprinella lutrensis,Cyprinella lutrensis,Cyprinella lutrensis,red shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,lutrensis
Lythrurus umbratilis,,,MN BCG Access db,,189,Lythrurus umbratilis,Lythrurus umbratilis,Lythrurus umbratilis,redfin shiner,Animalia,,,,,Lythrurus,umbratilis
Clinostomus elongatus,,,MN BCG Access db,,190,Clinostomus elongatus,Clinostomus elongatus,Clinostomus elongatus,redside dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,elongatus
Carpiodes carpio,,,MN BCG Access db,,191,Carpiodes carpio,Carpiodes carpio,Carpiodes carpio,river carpsucker,Animalia,,,,,Carpiodes,carpio
Percina shumardi,,,MN BCG Access db,,192,Percina shumardi,Percina shumardi,Percina shumardi,river darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,shumardi
Moxostoma carinatum,,,MN BCG Access db,,193,Moxostoma carinatum,Moxostoma carinatum,Moxostoma carinatum,river redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
Notropis blennius,,,MN BCG Access db,,194,Notropis blennius,Notropis blennius,Notropis blennius,river shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,blennius
Gymnocephalus cernuus,,,MN BCG Access db,,195,Gymnocephalus cernuus,Gymnocephalus cernuus,Gymnocephalus cernuus,ruffe,Animalia,,,,,Gymnocephalus,cernuus
Notropis stramineus,,,MN BCG Access db,,196,Notropis stramineus,Notropis stramineus,Notropis stramineus,sand shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,stramineus
Sander canadensis,,,MN BCG Access db,,197,Sander canadensis,Sander canadensis,Sander canadensis,sauger,Animalia,,,,,Sander,canadensis
Petromyzon marinus,,,MN BCG Access db,,198,Petromyzon marinus,Petromyzon marinus,Petromyzon marinus,sea lamprey,Animalia,,,,,Petromyzon,marinus
Macrhybopsis hyostoma,,,MN BCG Access db,,199,Macrhybopsis hyostoma,Macrhybopsis hyostoma,Macrhybopsis hyostoma,shoal chub,Animalia,,,,,Macrhybopsis,hyostoma
Lepisosteus platostomus,,,MN BCG Access db,,200,Lepisosteus platostomus,Lepisosteus platostomus,Lepisosteus platostomus,shortnose gar,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus
Scaphirhynchus platorynchus,,,MN BCG Access db,,201,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,shovelnose sturgeon,Animalia,,,,,Scaphirhynchus,platorynchus
Macrhybopsis storeriana,,,MN BCG Access db,,202,Macrhybopsis storeriana,Macrhybopsis storeriana,Macrhybopsis storeriana,silver chub,Animalia,,,,,Macrhybopsis,storeriana
Ichthyomyzon unicuspis,,,MN BCG Access db,,203,Ichthyomyzon unicuspis,Ichthyomyzon unicuspis,Ichthyomyzon unicuspis,silver lamprey,Animalia,,,,,Ichthyomyzon,unicuspis
Moxostoma anisurum,,,MN BCG Access db,,204,Moxostoma anisurum,Moxostoma anisurum,Moxostoma anisurum,silver redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,anisurum
Percina phoxocephala,,,MN BCG Access db,,205,Percina phoxocephala,Percina phoxocephala,Percina phoxocephala,slenderhead darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,phoxocephala
Ictiobus bubalus,,,MN BCG Access db,,206,Ictiobus bubalus,Ictiobus bubalus,Ictiobus bubalus,smallmouth buffalo,Animalia,,,,,Ictiobus,bubalus
Ichthyomyzon gagei,,,MN BCG Access db,,207,Ichthyomyzon gagei,Ichthyomyzon gagei,Ichthyomyzon gagei,southern brook lamprey,Animalia,,,,,Ichthyomyzon,gagei
Phoxinus erythrogaster,,,MN BCG Access db,,208,Phoxinus erythrogaster,Phoxinus erythrogaster,Phoxinus erythrogaster,southern redbelly dace,Animalia,,,,,Phoxinus,erythrogaster
Salvelinus hybrid,,,MN BCG Access db,,209,Salvelinus hybrid,Salvelinus hybrid,Salvelinus hybrid,splake,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,hybrid
Minytrema melanops,,,MN BCG Access db,,210,Minytrema melanops,Minytrema melanops,Minytrema melanops,spotted sucker,Animalia,,,,,Minytrema,melanops
Salmoninae,,,MN BCG Access db,,211,Salmoninae,Salmoninae,Salmoninae,SubFam: salmonids,Animalia,,,,,Salmoninae,
Phenacobius mirabilis,,,MN BCG Access db,,212,Phenacobius mirabilis,Phenacobius mirabilis,Phenacobius mirabilis,suckermouth minnow,Animalia,,,,,Phenacobius,mirabilis
Gasterosteus aculeatus,,,MN BCG Access db,,213,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus,threespine stickleback,Animalia,,,,,Gasterosteus,aculeatus
Esox hybrid,,,MN BCG Access db,,214,Esox hybrid,Esox hybrid,Esox hybrid,tiger musky,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,hybrid
Salmonidae hybrid,,,MN BCG Access db,,215,Salmonidae hybrid,Salmonidae hybrid,Salmonidae hybrid,tiger trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,hybrid,
Notropis topeka,,,MN BCG Access db,,216,Notropis topeka,Notropis topeka,Notropis topeka,Topeka shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,topeka
Percopsis omiscomaycus,,,MN BCG Access db,,217,Percopsis omiscomaycus,Percopsis omiscomaycus,Percopsis omiscomaycus,trout-perch,Animalia,,,,,Percopsis,omiscomaycus
Sander vitreus,,,MN BCG Access db,,218,Sander vitreus,Sander vitreus,Sander vitreus,walleye,Animalia,,,,,Sander,vitreus
Notropis texanus,,,MN BCG Access db,,219,Notropis texanus,Notropis texanus,Notropis texanus,weed shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,texanus
Ammocrypta clara,,,MN BCG Access db,,220,Ammocrypta clara,Ammocrypta clara,Ammocrypta clara,western sand darter,Animalia,,,,,Ammocrypta,clara
Morone chrysops,,,MN BCG Access db,,221,Morone chrysops,Morone chrysops,Morone chrysops,white bass,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,chrysops
Rhinichthys obtusus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Blacknose Dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
Petromyzontidae ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Petromyzontidae,Petromyzontidae,Petromyzontidae,Lamprey (larvae),Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
Percina maculata ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Percina maculata,Percina maculata,Percina maculata,Blackside Darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata
Notropis percobromus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Notropis percobromus,Notropis percobromus,Notropis percobromus,Carmine shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,percobromus
Umbra limi ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Umbra limi,Umbra limi,Umbra limi,Central Mudminnow,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,limi
Luxilus cornutus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Common Shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
Semotilus atromaculatus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Creek Chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
Pimephales promelas ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Pimephales promelas,Pimephales promelas,Pimephales promelas,Fathead Minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
Nocomis biguttatus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Nocomis biguttatus,Nocomis biguttatus,Nocomis biguttatus,Hornyhead Chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus
Etheostoma nigrum ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Johnny Darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
Esox lucius ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Esox lucius,Esox lucius,Esox lucius,Northern Pike,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
Phoxinus eos ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Phoxinus eos,Phoxinus eos,Phoxinus eos,Northern Redbelly Dace,Animalia,,,,,Phoxinus,eos
Moxostoma carinatum ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Moxostoma carinatum,Moxostoma carinatum,Moxostoma carinatum,River Redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
Ambloplites rupestris  ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Rock Bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
Catostomus commersoni ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,White Sucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
Perca flavescens ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Perca flavescens,Perca flavescens,Perca flavescens,Yellow Perch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
Salmo salar ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Salmo salar,Salmo salar,Salmo salar,Atlantic salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
Etheostoma zonale ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,banded darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
Fundulus diaphanus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,banded killifish,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
Pomoxis nigromaculatus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,black crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
Lepomis macrochirus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,bluegill,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
Pimephales notatus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Pimephales notatus,Pimephales notatus,Pimephales notatus,bluntnose minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus
Salvelinus fontinalis ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,brook trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis
Ameiurus nebulosus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Ameiurus nebulosus,Ameiurus nebulosus,Ameiurus nebulosus,brown bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
Salmo trutta ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Salmo trutta,Salmo trutta,Salmo trutta,brown trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
Campostoma anomalum ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Campostoma anomalum,Campostoma anomalum,Campostoma anomalum,central stoneroller,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum
Ictalurus punctatus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Ictalurus punctatus,Ictalurus punctatus,Ictalurus punctatus,channel catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
Cyrpinus carpio ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Cyrpinus carpio,Cyrpinus carpio,Cyrpinus carpio,common carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio
Luxilus cornutus  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,common shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
Semotilus atromaculatus  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,creek chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
Etheostoma flabellare ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Etheostoma flabellare,Etheostoma flabellare,Etheostoma flabellare,fantail darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare
Pimephales promelas  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Pimephales promelas,Pimephales promelas,Pimephales promelas,fathead minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
Dorosoma cepedianum ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Dorosoma cepedianum,Dorosoma cepedianum,Dorosoma cepedianum,gizzard shad,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum
Moxostoma erythrurum ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Moxostoma erythrurum,Moxostoma erythrurum,Moxostoma erythrurum,golden redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum
Notemigonus crysoleucas ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Notemigonus crysoleucas,Notemigonus crysoleucas,Notemigonus crysoleucas,golden shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
Carassius auratus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Carassius auratus,Carassius auratus,Carassius auratus,goldfish,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
Lepomis cyanellus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Lepomis cyanellus,Lepomis cyanellus,Lepomis cyanellus,green sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
Etheostoma nigrum  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,johnny darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
Micropterus salmoides ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,largemouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
Percina caprodes ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Percina caprodes,Percina caprodes,Percina caprodes,logperch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes
Rhinichthys cataractae ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Rhinichthys cataractae,Rhinichthys cataractae,Rhinichthys cataractae,longnose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
Lepisosteus osseus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Lepisosteus osseus,Lepisosteus osseus,Lepisosteus osseus,longnose gar,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus
Cottus bairdi ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Cottus bairdi,Cottus bairdi,Cottus bairdi,mottled sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi
Hypentelium nigricans ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Hypentelium nigricans,Hypentelium nigricans,Hypentelium nigricans,northern hogsucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans
Esox lucius  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Esox lucius,Esox lucius,Esox lucius,northern pike,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
Aphredoderus sayanus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Aphredoderus sayanus,Aphredoderus sayanus,Aphredoderus sayanus,pirate perch,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus
Lepomis gibbosus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Lepomis gibbosus,Lepomis gibbosus,Lepomis gibbosus,pumpkinseed,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus
Oncorhynchus mykiss ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,rainbow trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Ambloplites rupestris ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,rock bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
Moxostoma macrolepidotum ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Moxostoma macrolepidotum,shorthead redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
Cottus cognatus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Cottus cognatus,Cottus cognatus,Cottus cognatus,slimy sculpin,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
Micropterus dolomieu ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,smallmouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
Cyprinella spiloptera ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Cyprinella spiloptera,Cyprinella spiloptera,Cyprinella spiloptera,spotfin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
Notropis hudsonius ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Notropis hudsonius,Notropis hudsonius,Notropis hudsonius,spottail shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
Noturus flavus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Noturus flavus,Noturus flavus,Noturus flavus,stonecat,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
Noturus gyrinus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Noturus gyrinus,Noturus gyrinus,Noturus gyrinus,tadpole madtom,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
Lepomis gulosus ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Lepomis gulosus,Lepomis gulosus,Lepomis gulosus,warmouth,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
Pomoxis annularis ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Pomoxis annularis,Pomoxis annularis,Pomoxis annularis,white crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
Catostomus commersonii,,,"MN, case","add ""i"" to end of Taxon_Orig_Sci so not a duplicate",,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,white sucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
