TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
CYPRINUS CARPIO,CYPRINIDAE,CYPRINUS,COMMON CARP,5,V,5_MIDDLE,V,5,NON_NATIVE,OM,,BROADCASTER
DOROSOMA,CLUPEIDAE,DOROSOMA,SHAD,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,BROADCASTER; MIGRATORY
DOROSOMA CEPEDIANUM,CLUPEIDAE,DOROSOMA,GIZZARD SHAD,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER
DOROSOMA PETENENSE,CLUPEIDAE,DOROSOMA,THREADFIN SHAD,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,OM,W,BROADCASTER
ELASSOMA ZONATUM,ELASSOMATIDAE,ELASSOMA,BANDED PYGMY SUNFISH,3,III,3_MIDDLE,III,3,NATIVE,IV,W,COMPLEX NEST
ERIMYSTAX HARRYI,CYPRINIDAE,ERIMYSTAX,OZARK CHUB,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL
ERIMYSTAX X-PUNCTATUS,CYPRINIDAE,ERIMYSTAX,GRAVEL CHUB,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL
ERIMYZON CLAVIFORMIS,CATOSTOMIDAE,ERIMYZON,WESTERN CREEK CHUBSUCKER,3,III,3_MIDDLE,III,3,NATIVE,OM,F;W,LITHOPHIL
ERIMYZON OBLONGUS,CATOSTOMIDAE,ERIMYZON,CREEK CHUBSUCKER,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,BROADCASTER; MIGRATORY; LITHOPHIL
ERIMYZON SUCETTA,CATOSTOMIDAE,ERIMYZON,LAKE CHUBSUCKER,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,BROADCASTER
