"TaxaID","CommonName","NONTARGET","Order","Family","BCG_ATTR","Reproduction","Trophic","Type"
"Rhinichthys cataractae","Longnose dace",FALSE,"Cypriniformes","Cyprinidae","3",,"IV",
"Lepisosteus osseus","Longnose gar",FALSE,"Lepisosteiformes","Lepisosteidae","5",,"PI","LLNLB"
"Catostomus catostomus","Longnose sucker",FALSE,,"Catostomidae","3",,"IV","LLNLB"
"Astyanax mexicanus","Mexican tetra",FALSE,"Characiformes","Characidae","6",,"PI",
"Notropis volucellus","Mimic shiner",FALSE,,"Cyprinidae","2",,"OM",
"Hybognathus nuchalis","Mississippi silvery minnow",FALSE,"Cypriniformes","Cyprinidae","3",,,
"Cottus bairdi","Mottled sculpin",FALSE,"Perciformes","Cottidae","x",,"IV",
"Catostomus platyrhynchus","Mountain sucker",FALSE,,"Catostomidae","3",,"HB",
"Prosopium williamsoni","Mountain whitefish",FALSE,,"Salmonidae","x",,"IV",
"Ethostoma asprigene","Mud darter",FALSE,,"Percidae","4",,"IV",
"Esox masquinongy","Muskellunge",FALSE,"Salmoniformes","Esocidae","6",,,
"Esox lucius","Northern pike",FALSE,"Salmoniformes","Esocidae","6",,"PI",
"Ptychocheilus oregonensis","Northern pikeminnow",FALSE,,"Cyprinidae","4",,,"LLNLB"
"Fundulus kansae","Northern plains killifish",FALSE,,"Fundulidae","5",,,
"Lepomis humilus","Orangespotted sunfish",FALSE,,"Centrarchidae","4",,"IV",
"Ethostoma spectabile","Orangethroat darter",FALSE,,"Percidae","4",,"IV",
"Mylocheilus caurinus","Peamouth",FALSE,,"Cyprinidae","3",,"IV",
"Notropis simus pecosensis","Pecos bluntnose shiner",FALSE,"Cypriniformes","Cyprinidae","x","Broadcaster","IV",
"Gambusia nobilis","Pecos gambusia",FALSE,"Cyprinodontiformes","Poeciliidae","x",,"IV",
"Cyprinodon pecosensis","Pecos pupfish",FALSE,"Cyprinodontiformes","Cyprinodontidae","x",,"OM",
"Notropis orca","Phantom shiner",FALSE,"Cypriniformes","Cyprinidae","1",,,
"Aphredoderus sayanus","Pirate perch",FALSE,,"Aphredoderidae","3",,"IV",
"Fundulus zebrinus","Plains killifish",FALSE,"Cyprinodontiformes","Fundulidae","6t",,"IV",
"Hybognathus placitus","Plains minnow",FALSE,"Cypriniformes","Cyprinidae","x","Broadcaster","HB",
"Fundulus sciadicus","Plains topminnow",FALSE,,"Fundulidae","4",,"IV",
"Macrhybopsis australis","Prairie chub",FALSE,,"Cyprinidae","3",,"OM",
"Cottus asper","Prickly sculpin",FALSE,,"Cottidae","3",,"IV",
"Opsopoeodus emiliae","Pugnose minnow",FALSE,,"Cyprinidae","4",,"OM",
"Lepomis gibbosus","Pumpkinseed",FALSE,,"Centrarchidae","4",,"IV",
"Carpioides cyprinus","Quillback",FALSE,,"Catostomidae","4",,"OM","LLNLB"
"Oncorhynchus mykiss","Rainbow trout",FALSE,"Salmoniformes","Salmonidae","6s",,"IV",
"Lucania parva","Rainwater killifish",FALSE,"Cyprinodontiformes","Fundulidae","6t",,"IV",
"Xyrauchen texanus","Razorback sucker",FALSE,"Cypriniformes","Catostomidae","x",,"OM",
"Cyprinodon rubrofluviatilis","Red river pupfish",FALSE,,"Cyprinodontidae","5",,"OM",
"Notropis bairdi","Red river shiner",FALSE,,"Cyprinidae","4",,"IV",
"Cyprinella lutrensis","Red shiner",FALSE,"Cypriniformes","Cyprinidae","5",,"OM",
"Lepomis auritus","Redbreast sunfish",FALSE,,"Centrarchidae","4",,"IV",
"Lepomis microlophus","Redear sunfish",FALSE,"Perciformes","Centrarchidae","6",,,
"Esox samericanus americanus","Redfin pickerel",FALSE,,"Esocidae","3",,,
"Lythrurus umbratilis","Redfin shiner",FALSE,,"Cyprinidae","4",,"IV",
"Richardsonius balteatus","Redside shiner",FALSE,"Cypriniformes","Cyprinidae","6",,,
"Lepomis miniatus","Redspotted sunfish",FALSE,,"Centrarchidae","4",,"IV",
"Lythrurus fumeus","Ribbon shiner",FALSE,,"Cyprinidae","4",,"IV",
"Notropis simus simus","Rio grande bluntnose shiner",FALSE,"Cypriniformes","Cyprinidae","1","Broadcaster",,
"Gila pandora","Rio grande chub",FALSE,"Cypriniformes","Cyprinidae","2",,"IV",
"Cichlasoma cyanoguttatum","Rio grande cichlid",FALSE,,"Cichlidae","4",,,
"Oncorhynchus clarki virginalis","Rio grande cutthroat trout",FALSE,"Salmoniformes","Salmonidae","1",,"IV",
"Notropis jemezanus","Rio grande shiner",FALSE,"Cypriniformes","Cyprinidae","1","Broadcaster","IV",
"Hybognathus amarus","Rio grande silvery minnow",FALSE,"Cypriniformes","Cyprinidae","3","Broadcaster","HB",
"Catostomus plebeius","Rio grande sucker",FALSE,"Cypriniformes","Catostomidae","2",,"OM","LLNLB"
"Carpiodes carpio","River carpsucker",FALSE,"Cypriniformes","Catostomidae","4",,"OM","LLNLB"
"Awaous banana","River goby",FALSE,,"Gobiidae","4",,,
"Notropis blenniuis","River shiner",FALSE,,"Cyprinidae","4",,"IV",
"Ambloplites rupestris","Rock bass",FALSE,"Perciformes","Centrarchidae","x",,"IV",
"Dionda episcopa","Roundnose minnow",FALSE,"Cypriniformes","Cyprinidae","1",,"HB",
"Gila robusta","Roundtail chub",FALSE,"Cypriniformes","Cyprinidae","x",,"OM",
"Notropis sabinae","Sabine shiner",FALSE,,"Cyprinidae","4","Broadcaster","IV",
"Ptychocheilus grandis","Sacramento pikeminnow",FALSE,,"Cyprinidae","4",,,"LLNLB"
"Catostomus occidentalis","Sacramento sucker",FALSE,,"Catostomidae","2",,"OM","LLNLB"
"Poecilia latipinna","Sailfin molly",FALSE,"Cyprinodontiformes","Poeciliidae","6t",,"HB",
"Percopsis transmontana","Sand roller",FALSE,,"Percopsidae","x",,"IV",
"Notropis stramineus","Sand shiner",FALSE,"Cypriniformes","Cyprinidae","4","Broadcaster","OM",
"Catostomus santaanae","Santa ana sucker",FALSE,,"Catostomidae","x",,"HB",
"Sander canadensis","Sauger",FALSE,,"Percidae","3",,,
"Ammocrypta vivax","Scaly sand darter",FALSE,,"Percidae","3",,"IV",
"Cyprinodon variegatus","Sheepshead minnow",FALSE,"Cyprinodontiformes","Cyprinodontidae","x",,,
"Macrhybopsis hyostoma","Shoal chub",FALSE,,"Cyprinidae","3",,"OM",
"Moxostoma macrolepidotum","Shorthead redhorse",FALSE,,"Catostomidae","3",,"OM","LLNLB"
"Lepiosteus platostomus","Shortnose gar",FALSE,,"Lepisosteidae","5",,,"LLNLB"
"Scaphirhynchus platorynchus","Shovelnose sturgeon",FALSE,,"Acipenseridae","2",,,"LLNLB"
"Macrhybopsis storeiana","Silver chub",FALSE,,"Cyprinidae","3",,"IV",
"Notropis shumardi","Silverband shiner",FALSE,,"Cyprinidae","4",,"IV",
"Percina phoxocephala","Slenderhead darter",FALSE,,"Percidae","3",,"IV",
"Pimephales tenellus","Slim minnow",FALSE,,"Cyprinidae","3",,"IV",
"Etheostoma gracile","Slough darter",FALSE,,"Percidae","4",,"IV",
"Micropterus dolomieu","Smallmouth bass",FALSE,"Perciformes","Centrarchidae","6",,"PI",
"Ictiobus bubalus","Smallmouth buffalo",FALSE,"Cypriniformes","Catostomidae","5",,"OM","LLNLB"
