Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,37,Arcteonais lomondi,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68976,68975,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Arcteonais,,Arcteonais lomondi,,Species
,,,MN Access db,38,Chaetogaster,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68934,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Chaetogaster,,,,Genus
,,,MN Access db,39,Dero,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68898,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Dero,,,,Genus
,,,MN Access db,40,Nais,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,198375,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,,,Genus
,,,MN Access db,41,Ophidonais serpentina,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68996,68995,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Ophidonais,,Ophidonais serpentina,,Species
,,,MN Access db,42,Pristina,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68876,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristina,,,,Genus
,,,MN Access db,43,Pristinella,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,69024,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Pristinella,,,,Genus
,,,MN Access db,44,Slavina appendiculata,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68856,68855,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Slavina,,Slavina appendiculata,,Species
,,,MN Access db,45,Specaria josinae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68985,68984,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Specaria,,Specaria josinae,,Species
,,,MN Access db,46,Stylaria lacustris,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68872,68871,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Stylaria,,lacustris,,Species
