Date,TypeOfChange,Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
20230228,addition,Ephemeroptera,Paraleptophlebia Bicornuta Gr.,FALSE,yes,Formatting (Gr.),Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Paraleptophlebia,,Bicornuta Gr.,,,
20230228,addition,Chironomidae,Potthastia longimana group,FALSE,yes,spelling and formatting,Potthastia,Potthastia Longimanus Group,Potthastia Longimanus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Potthastia,,Longimanus Gr.,,,
20230228,addition,Diptera,Rhabdomastix fascigera group,FALSE,yes,best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix,120968,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,,,,,
20230228,addition,Diptera,Rhabdomastix Setigera Gr.,FALSE,yes,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,Lurdia,,,,
20230228,addition,Diptera,Rhabdomastix setigera group,FALSE,yes,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,Lurdia,,,,
20230228,addition,Trichoptera,Rhyacophila atrata group,FALSE,yes,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Sibirica Gr.,mainensis sugroup,atrata complex,
20230228,addition,Trichoptera,Rhyacophila Brunnea/Vemna Group,FALSE,yes,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,
20230228,addition,Trichoptera,Rhyacophila ecosa group,FALSE,yes,formatting,DNI,Rhyacophila,Rhyacophila,115097,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,,,
20230228,addition,Coleoptera,Stictotarsus/Boreonectes,FALSE,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,,,,,,,,
20230228,addition,Diptera,Symplecta,FALSE,no?,,DNI,Symplecta,Symplecta,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,,,,Symplecta,,,,,
20230228,addition,Diptera,Thienemannimyia Gr.,FALSE,yes,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia Gr.,,,,,,
20230228,addition,Diptera,Tricyphona,FALSE,yes,best to leave at family,DNI,Pediciidae,Pediciidae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,,,,,,,,,
20230508,addition,Ephemeroptera,Epeorus albertae Group,FALSE,yes,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Epeorus,,Albertae Gr.,,,
20230508,addition,Ephemeroptera,Epeorus grandis Group,FALSE,yes,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Epeorus,,Grandis Gr.,,,
20230508,addition,Ephemeroptera,Ephemerella excrucians Group,FALSE,yes,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,Ephemerella,Excrucians Gr.,,,
20230508,addition,Chironomidae,Eukiefferiella brehmi Group,FALSE,yes,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Brehmi Gr.,,,
20230508,addition,Chironomidae,Eukiefferiella claripennis Group,FALSE,yes,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Claripennis Gr.,,,
20230508,addition,Chironomidae,Eukiefferiella devonica Group,FALSE,yes,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Devonica Gr.,,,
20230508,addition,Chironomidae,Eukiefferiella pseudomontana Group,FALSE,yes,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Eukiefferiella,,Pseudomontana Gr.,,,
20230508,addition,Chironomidae,Orthocladius Complex,FALSE,yes,FORMATTING,Orthocladius complex,Orthocladius complex,Orthocladius complex,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,
20230508,addition,Ephemeroptera,Paraleptophlebia bicornuta Group,FALSE,yes,Formatting,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Paraleptophlebia,,Bicornuta Gr.,,,
20230508,addition,Chironomidae,Potthastia gaedii Group,FALSE,yes,formatting,Potthastia,Potthastia Gaedii Group,Potthastia Gaedii Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Potthastia,,Gaedii Gr.,,,
20230508,addition,Diptera,Rhabdomastix fascigera Group,FALSE,yes,formatting and best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix,120968,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,,,,,
20230508,addition,Diptera,Rhabdomastix setigera Group,FALSE,yes,formatting and best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,Lurdia,,,,
20230508,addition,Trichoptera,Rhyacophila alberta Group,FALSE,yes,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Alberta Gr.,,,
20230508,addition,Trichoptera,Rhyacophila angelita Group,FALSE,yes,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Angelita Gr.,,,
20230508,addition,Trichoptera,Rhyacophila betteni Group,FALSE,yes,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Betteni Gr.,,,
20230508,addition,Trichoptera,Rhyacophila brunnea Group,FALSE,yes,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,
20230508,addition,Trichoptera,Rhyacophila brunnea/vemna Group,FALSE,yes,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,
20230508,addition,Trichoptera,Rhyacophila coloradensis Group,FALSE,yes,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Coloradensis Gr.,,,
20230508,addition,Trichoptera,Rhyacophila hyalinata Group,FALSE,yes,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Hyalinata Gr.,,,
20230508,addition,Trichoptera,Rhyacophila nevadensis Group,FALSE,yes,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Nevadensis Gr.,,,
20230508,addition,Trichoptera,Rhyacophila sibirica Group,FALSE,yes,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Sibirica Gr.,,,
20230508,addition,Trichoptera,Rhyacophila vagrita Group,FALSE,yes,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Vagrita Gr.,,,
20230508,addition,Trichoptera,Rhyacophila verrula Group,FALSE,yes,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Verrula Gr.,,,
20230508,addition,Trichoptera,Rhyacophila vofixa Group,FALSE,yes,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Vofixa Gr.,,,
20230508,addition,Chironomidae,Tvetenia bavarica Group,FALSE,yes,formatting,Tvetenia,Tvetenia Bavarica Group,Tvetenia Bavarica Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Tvetenia,,Bavarica Gr.,,,
20230508,addition,Plecoptera,Zapada oregonensis Group,FALSE,yes,Formatting,Zapada Oregonensis Group,Zapada Oregonensis Group,Zapada Oregonensis Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Nemouridae,Nemourinae,,,Zapada,,Oregonensis Gr.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02,Add BSTI column from Shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05,Edit,New non-match (from Rob’s input file) = Orthocladius (Symposiocladius) sp. 2 (Bolton 2012) Translation = ‘Orthocladius (Symposiocladius)’ (copy the info from the existing entry,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,Add LongLived,,,,,,,,,,,,,,,,,,,,,,,,,,,
