TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,COLD_IA,ColdWaterIndicatorTaxa,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
HYGROTUS NUBILUS,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,1.9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYGROTUS,NUBILUS,Predaceous Diving Beetles,866
HYGROTUS SAYI,Species,FALSE,4,4_worse,PR,SW,,,multi,TRUE,1.9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYGROTUS,SAYI,Predaceous Diving Beetles,82
ILYBIOSOMA SERIATUM,Species,FALSE,4,4_middle,PR,NA,,,NA,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,ILYBIOSOMA,SERIATUM,Predaceous Diving Beetles,533
ILYBIUS,Genus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,3.7,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,ILYBIUS,,Predaceous Diving Beetles,683
ILYBIUS BIGUTTULUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,3.7,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,ILYBIUS,BIGUTTLULUS,Predaceous Diving Beetles,733
ILYBIUS BIGUTTULUS/INCARINATUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,3.7,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,ILYBIUS,BIGUTTULUS/INCARINATUS,Predaceous Diving Beetles,617
ILYBIUS FRATERCULUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,3.7,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,ILYBIUS,FRATERCULUS,Predaceous Diving Beetles,83
IRONOQUIA,Genus,FALSE,4,4_middle,SH,"CB,CN,SP",,,uni,FALSE,3,SH,Shredder,cn,Clinger,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,IRONOQUIA,,Northern Case Maker Caddisflies,467
ISCHNURA,Genus,FALSE,4,4_worse,PR,CB,RM,root_mat,uni,FALSE,9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,ISCHNURA,,Narrowwinged Damselflies,869
ISCHNURA POSITA,Species,FALSE,4,4_worse,PR,CB,,,uni,FALSE,9,PR,Predator,CB,Climber,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,ISCHNURA,POSITA,Narrowwinged Damselflies,1096
