Taxon_Group,Taxon_orig,NonTarget,Rationale,FishTaxaID,FinalID,OTU_BCG,OTU_IBI,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,,,,180,Ozark minnow,Ozark minnow,Ozark minnow,Notropis nubilus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,nubilus
,,,,181,pink salmon,pink salmon,pink salmon,Oncorhynchus gorbuscha,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha
,,,,182,plains topminnow,plains topminnow,plains topminnow,Fundulus sciadicus,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,sciadicus
,,,,183,pugnose minnow,pugnose minnow,pugnose minnow,Opsopoeodus emiliae,Animalia,,,,,Opsopoeodus,emiliae
,,,,184,pugnose shiner,pugnose shiner,pugnose shiner,Notropis anogenus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,anogenus
,,,,185,quillback,quillback,quillback,Carpiodes cyprinus,Animalia,,,,,Carpiodes,cyprinus
,,,,186,rainbow darter,rainbow darter,rainbow darter,Etheostoma caeruleum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,caeruleum
,,,,187,rainbow smelt,rainbow smelt,rainbow smelt,Osmerus mordax,Animalia,,,,,Osmerus,mordax
,,,,188,red shiner,red shiner,red shiner,Cyprinella lutrensis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,lutrensis
,,,,189,redfin shiner,redfin shiner,redfin shiner,Lythrurus umbratilis,Animalia,,,,,Lythrurus,umbratilis
,,,,190,redside dace,redside dace,redside dace,Clinostomus elongatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,elongatus
,,,,191,river carpsucker,river carpsucker,river carpsucker,Carpiodes carpio,Animalia,,,,,Carpiodes,carpio
,,,,192,river darter,river darter,river darter,Percina shumardi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,shumardi
,,,,193,river redhorse,river redhorse,river redhorse,Moxostoma carinatum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
,,,,194,river shiner,river shiner,river shiner,Notropis blennius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,blennius
,,,,195,ruffe,ruffe,ruffe,Gymnocephalus cernuus,Animalia,,,,,Gymnocephalus,cernuus
,,,,196,sand shiner,sand shiner,sand shiner,Notropis stramineus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,stramineus
,,,,197,sauger,sauger,sauger,Sander canadensis,Animalia,,,,,Sander,canadensis
,,,,198,sea lamprey,sea lamprey,sea lamprey,Petromyzon marinus,Animalia,,,,,Petromyzon,marinus
,,,,199,shoal chub,shoal chub,shoal chub,Macrhybopsis hyostoma,Animalia,,,,,Macrhybopsis,hyostoma
,,,,200,shortnose gar,shortnose gar,shortnose gar,Lepisosteus platostomus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus
,,,,201,shovelnose sturgeon,shovelnose sturgeon,shovelnose sturgeon,Scaphirhynchus platorynchus,Animalia,,,,,Scaphirhynchus,platorynchus
,,,,202,silver chub,silver chub,silver chub,Macrhybopsis storeriana,Animalia,,,,,Macrhybopsis,storeriana
,,,,203,silver lamprey,silver lamprey,silver lamprey,Ichthyomyzon unicuspis,Animalia,,,,,Ichthyomyzon,unicuspis
,,,,204,silver redhorse,silver redhorse,silver redhorse,Moxostoma anisurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,anisurum
,,,,205,slenderhead darter,slenderhead darter,slenderhead darter,Percina phoxocephala,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,phoxocephala
,,,,206,smallmouth buffalo,smallmouth buffalo,smallmouth buffalo,Ictiobus bubalus,Animalia,,,,,Ictiobus,bubalus
,,,,207,southern brook lamprey,southern brook lamprey,southern brook lamprey,Ichthyomyzon gagei,Animalia,,,,,Ichthyomyzon,gagei
,,,,208,southern redbelly dace,southern redbelly dace,southern redbelly dace,Phoxinus erythrogaster,Animalia,,,,,Phoxinus,erythrogaster
,,,,209,splake,splake,splake,Salvelinus hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,hybrid
,,,,210,spotted sucker,spotted sucker,spotted sucker,Minytrema melanops,Animalia,,,,,Minytrema,melanops
,,,,211,SubFam: salmonids,SubFam: salmonids,SubFam: salmonids,Salmoninae ,Animalia,,,,,Salmoninae,
,,,,212,suckermouth minnow,suckermouth minnow,suckermouth minnow,Phenacobius mirabilis,Animalia,,,,,Phenacobius,mirabilis
,,,,213,threespine stickleback,threespine stickleback,threespine stickleback,Gasterosteus aculeatus,Animalia,,,,,Gasterosteus,aculeatus
,,,,214,tiger musky,tiger musky,tiger musky,Esox hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,hybrid
,,,,215,tiger trout,tiger trout,tiger trout,Salmonidae hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,hybrid,
,,,,216,Topeka shiner,Topeka shiner,Topeka shiner,Notropis topeka,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,topeka
,,,,217,trout-perch,trout-perch,trout-perch,Percopsis omiscomaycus,Animalia,,,,,Percopsis,omiscomaycus
,,,,218,walleye,walleye,walleye,Sander vitreus,Animalia,,,,,Sander,vitreus
,,,,219,weed shiner,weed shiner,weed shiner,Notropis texanus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,texanus
,,,,220,western sand darter,western sand darter,western sand darter,Ammocrypta clara,Animalia,,,,,Ammocrypta,clara
,,,,221,white bass,white bass,white bass,Morone chrysops,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,chrysops
