Taxon_Group,BenTaxaID,FinalID,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
,65,Spirosperma ferox,68610,68780,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Spirosperma,,Spirosperma ferox,,Species,8,WSA,CG,WSA,CN,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,66,Tubifex,68622,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,,,Genus,10,WSA,CG,RBP2 1999,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,5,5
,67,Tubifex tubifex,68623,68622,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Tubifex,,tubifex,,Species,10,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,5,FALSE,5,,,,,5,5
,68,Lumbriculida,68439,68422,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,,,,,,,Order,,WSA,CG,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,69,Lumbriculidae,68440,68439,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae,,,,,,,Family,8,WSA,CG,WSA,BU,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,70,Lumbriculidae/Lumbricidae,,,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,Lumbriculidae/Lumbricidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,71,Megadrile,,,Annelida,,Clitellata,Oligochaeta,,Lumbricina,,,,,,,,SubClass,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,72,Crustacea,83677,82696,Mollusca,Crustacea,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,,,,,Class,,RBP2 1999 (ID),CG,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,73,Acari,,,Arthropoda,,Arachnida,Acarina,,,,,,,,,,SubClass,7,WSA,PR,WSA,CN,WSA,,FALSE,,2006-01-17,WSA,FALSE,4,TRUE,4,x,4,4,4,x,x
,75,Acariformes,690740,82754,Arthropoda,,Arachnida,Acarina,Acariformes,,,,,,,,,Order,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
