TaxaID_orig,OTU_BCG,Modified,Rationale,Notes_ORWA,NM_FINALID,RANK,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES
Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,FALSE,,,Eukiefferiella devonica,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,devonica,
Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,FALSE,,,Eukiefferiella devonica gr.,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,devonica gr.,
Eukiefferiella gracei gr.,Eukiefferiella Gracei Group,TRUE,formatting - Group,,Eukiefferiella gracei gr.,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,gracei gr.,
Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,FALSE,,,Eukiefferiella gracei gr.,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,gracei gr.,
Eukiefferiella ilkleyensis,Eukiefferiella ilkleyensis,FALSE,,,Eukiefferiella ilkleyensis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,ilkleyensis,
Eukiefferiella pseudomontana,Eukiefferiella Pseudomontana Group,TRUE,formatting - Group,,Eukiefferiella pseudomontana,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,pseudomontana,
Eukiefferiella pseudomontana gr.,Eukiefferiella Pseudomontana Group,TRUE,formatting - Group,,Eukiefferiella pseudomontana gr.,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,pseudomontana gr.,
Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,FALSE,,,Eukiefferiella pseudomontana,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,pseudomontana,
Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,FALSE,,,Eukiefferiella pseudomontana gr.,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,pseudomontana gr.,
Eulimnichus,Eulimnichus,FALSE,,,Eulimnichus,Genus,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Dryopoidea,Limnichidae,Limnichinae,,Eulimnichus,,,
Eulimnichus analis,Eulimnichus analis,FALSE,,,Eulimnichus analis,Species,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Dryopoidea,Limnichidae,Limnichinae,,Eulimnichus,,analis,
Eulimnichus perpolitus,Eulimnichus perpolitus,FALSE,,,Eulimnichus perpolitus,Species,Arthropoda,,Insecta,,Coleoptera,Polyphaga,,Dryopoidea,Limnichidae,Limnichinae,,Eulimnichus,,perpolitus,
Euparyphus,Euparyphus,FALSE,,,Euparyphus,Genus,Arthropoda,,Insecta,,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Stratiomyinae,Oxycerini,Euparyphus,,,
EUPERA,Eupera,TRUE,formatting - CAPS,,,Genus,Mollusca,,Bivalvia,,Veneroida,,,,Sphaeriidae,,,Eupera,,,
Fallceon,Fallceon,FALSE,,,Fallceon,Genus,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Fallceon,,,
Fallceon quilleri,Fallceon quilleri,FALSE,,,Fallceon quilleri,Species,Arthropoda,,Insecta,,Ephemeroptera,Pisciforma,,,Baetidae,,,Fallceon,,quilleri,
Ferrissia,Ferrissia,FALSE,,,Ferrissia,Genus,Mollusca,,Gastropoda,,Basommatophora,,,,Ancylidae,,,Ferrissia,,,
Ferrissia californica,Ferrissia californica,FALSE,,,Ferrissia californica,Species,Mollusca,,Gastropoda,,Basommatophora,,,,Ancylidae,,,Ferrissia,,californica,
