Taxon_Group,Taxon,NonTarget,LBR_NumSamp,LBR_SumAbund,BCG_attr,BCG_attr2,BCG_attr_Roman,BURP_TOL,FFG,BURP_FFG,Habit,BURP_HABIT,Life_Cycle,BURP_VOLT,LONGLIVED,Thermal_indicator,ThermPref_ORWA,BURP_THERM,ThermVar_ORWA,Habitat,FSBI_2012,BSTI_v2_opt,BSTI_v2_tol,Hemoglobin,LargeRiver,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Comments
Trichoptera,Agraylea,FALSE,,,2,,II,3,"PH,CG",Macrophyte Piercer/Gatherer,"CN,CB",Climber,uni,Facultative Multivoltine,FALSE,,cold,Eurythermal: cool summer,,UN,,,,,,115635,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptilini,,Agraylea,,,,,,
Acari,Albertathyas montana,FALSE,,,2,,II,,"PR,PA",,UN,,uni,,FALSE,,,,,LOTI,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hydryphantidae,,,,Albertathyas,,,,,montana,
Acari,Albia,FALSE,,,2,,II,,"PR,PA",,UN,,uni,,FALSE,,,,,GENE,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Albia,,,,,,
Trichoptera,Allocosmoecus partitus,FALSE,,,3,,III,3,"SC,SH",Scraper/Shredder,"SP,CN",Sprawler/Clinger,uni,Univoltine,FALSE,,cool,Stenothermal: cold,,LOTI,,,,,,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,partitus,
Trichoptera,Allomyia,FALSE,,,1i,,I i,1,"SC,MH",Shredder,"CN,BU",Clinger,semi,,FALSE,,,Stenothermal: cold,,LOTI,,,,,,116438,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Apataniidae,,,,Allomyia,,,,,,
Chironomidae,Alotanypus,FALSE,2,29.85,5,,V,6,PR,Predator,"BU,SP",Burrower/Sprawler,multi,,FALSE,,warm,,,GENE,,,,T,,206646,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Coelotanypodini,,Alotanypus,,,,,,
Hemiptera,Ambrysus,FALSE,,,,,NA,7,,Predator,,Clinger,,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Naucoridae,,,,Ambrysus,,,,,,
Ephemeroptera,Ameletus,FALSE,1,3,3,,III,4,"SC,CG",Scraper/Gatherer,"SW,CN",Clinger/Swimmer,uni,Univoltine,FALSE,cool,cool,Eurythermal: cool summer,,LOTI,,9.233072605,10.75072354,U,,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,,
Trichoptera,Amiocentrus,FALSE,,,3,,III,6,"CG,SC,MH",Gatherer,CN,Clinger,uni,,FALSE,,cowa,Eurythermal: warm summer,,LOTI,5,5.742280995,7.600334479,,,116933,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,Amiocentrus,,,,,,
Trichoptera,Amphicosmoecus canax,FALSE,,,NA,,NA,2,SH,Shredder,"CB,SP",Clinger,uni,Univoltine,FALSE,,,Stenothermal: cold,,GENE,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Amphicosmoecus,,,,,canax,
Crustacea,Amphipoda,FALSE,,,NA,,NA,7,CG,Gatherer/Omnivore,SW,Sprawler/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: cool summer,yes,GENE,,,,,,93294,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,,,,,,,,,
Coleoptera,Amphizoa,FALSE,,,1i,,I i,3,PR,Predator,CN,Clinger/Floater,semi,Obligate Semivoltine,FALSE,,,Eurythermal: cool summer,,LOTI,,,,,,111953,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Amphizoidae,,,,Amphizoa,,,,,,
Coleoptera,Anacaena,FALSE,,,NA,,NA,5,"PR,CG",Predator/Gatherer,BU,,uni,,FALSE,,,,,GENE,,,,,,112878,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Hydrophilidae,Hydrophilinae,Anacaenini,,Anacaena,,,,,,
Ephemeroptera,Anafroptilum/Procloeon,FALSE,,,3,,III,,CG,,"SW,CN",,multi,,FALSE,,warm,,,LOTI,,11.92964576,16.08898702,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,,
Trichoptera,Anagapetus,FALSE,,,2,,II,3,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,,cold,Stenothermal: cold,,LOTI,5,7.243462079,8.05784869,,,117154,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Anagapetini,,Anagapetus,,,,,,
Odonata,Anisoptera,FALSE,,,NA,,NA,8,PR,Predator,UN,,UN,,FALSE,,,,yes,GENE,,,,,,101594,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,,,,,,,,,,,
Diptera,Anopheles,FALSE,,,NA,,NA,10,CF,Filterer,SW,Swimmer,multi,,FALSE,,,,,GENE,,,,,,125956,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,Anophelinae,,,Anopheles,,,,,,
Diptera,Antocha,FALSE,18,335.288,4,4_middle,IV_middle,7,CG,Gatherer,CN,Clinger,multi,Facultative Multivoltine,FALSE,,cowa,Eurythermal: warm summer,,LOTI,5,6.331624654,9.985832058,,,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,,
Trichoptera,Apatania,FALSE,,,2,,II,3,"SC,CG",Scraper/Gatherer,CN,Clinger,uni,Univoltine,TRUE,,cold,Stenothermal: cold,,GENE,10,7.027379434,10.05009935,,,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,,
Chironomidae,Apedilum,FALSE,,,5,,V,,CG,Shredder,UN,Sprawler,multi,Obligate Multivoltine,FALSE,,warm,Eurythermal: cool summer,,GENE,,,,T,,206655,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Apedilum,,,,,,
Chironomidae,Apsectrotanypus,FALSE,,,NA,,NA,8,PR,Predator,"BU,SP",Burrower/Sprawler,multi,,FALSE,,,,,GENE,,,,T,,128021,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Apsectrotanypus,,,,,,
Trichoptera,Arctopsyche,FALSE,1,53,3,,III,4,"CF,PR",Filterer,CN,Clinger,semi,,TRUE,cool,cool,Eurythermal: cool summer,,LOTI,15,4.056006757,6.934624637,U,,115529,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychoidea,Hydropsychidae,Arctopsychinae,,,Arctopsyche,,,,,,
Trichoptera,Arctopsychinae,FALSE,,,NA,,NA,4,"CF,PR",,CN,,semi,,TRUE,,,Eurythermal: cool summer,yes,LOTI,10,,,U,,568763,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychoidea,Hydropsychidae,Arctopsychinae,,,,,,,,,
Odonata,Argia,FALSE,8,22.568,5,,V,8,PR,Predator,"CB,CN,SP",Clinger,uni,Univoltine,FALSE,stenow,stenow,Eurythermal: warm summer,,LOTI,,39.1251817,26.58878244,,TRUE,102139,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,Argia,,,,,,
Acari,Arrenuridae,FALSE,,,4,4_middle,IV_middle,,"PR,PA",,UN,,uni,,FALSE,,,,,GENE,,,,,,82862,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,,,,,,,
Acari,Arrenurus,FALSE,,,4,4_middle,IV_middle,,"PR,PA",Predator,UN,,uni,,FALSE,,cowa,,,GENE,,,,,,82864,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,Arrenurus,,,,,,
Crustacea,Asellidae,FALSE,,,NA,,NA,9,OM,Gatherer/Omnivore,NA,Sprawler/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,,NA,,,,,,92657,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,,Asellidae,,,,,,,,,,
Ephemeroptera,Asioplax,FALSE,26,606.328,3,,III,,"CG,SC",Gatherer,"SP,CN",Clinger/Sprawler,multi,,FALSE,,,,,LOTI,,,,F,TRUE,609510,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptohyphidae,,,,Asioplax,,,,,,
Diptera,Atherix,FALSE,1,1,3,,III,7,PR,Predator,"CN,BU",Sprawler,semi,Facultative Semivoltine,TRUE,,warm,Eurythermal: warm summer,,LOTI,5,6.017194944,9.168406988,,,130929,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Athericidae,,,,Atherix,,,,,,
Coleoptera,Atractelmis wawona,FALSE,,,3,,III,4,"CG,SC",Gatherer,"CN,CB",,semi,,TRUE,,,,,LOTI,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Atractelmis,,,,,wawona,
Acari,Atractides,FALSE,,,4,4_middle,IV_middle,7,"PR,PA",Predator,UN,,uni,,FALSE,,cool,,,GENE,,,,U,,83282,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Atractides,,,,,,
Ephemeroptera,Attenella,FALSE,,,3,,III,6,CG,Gatherer/Scraper,CN,Clinger,uni,Univoltine,FALSE,,,Eurythermal: warm summer,yes,LOTI,10,8.038307724,10.10152865,,,101338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Attenella,,,,,,
Ephemeroptera,Attenella margarita,FALSE,,,4,4_middle,IV_middle,7,CG,Gatherer/Scraper,CN,Clinger,uni,Univoltine,FALSE,,cowa,Eurythermal: warm summer,,LOTI,15,,,F,TRUE,101343,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Attenella,,,,,margarita,
Acari,Aturidae,FALSE,,,4,4_middle,IV_middle,,"PR,PA",,UN,,uni,,FALSE,,,,,UN,,,,,,82973,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,,,,,,,
Acari,Aturus,FALSE,,,4,4_middle,IV_middle,,"PR,PA",Predator,UN,,uni,,FALSE,,,,,GENE,,,,,,82974,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,,,,Aturus,,,,,,
Ephemeroptera,Baetidae,FALSE,3,15,NA,,NA,6,"CG,SC",Gatherer/Scraper,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,yes,GENE,,,,,,100755,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,,,,,,,
Ephemeroptera,Baetis,FALSE,,,NA,,NA,7,CG,Gatherer/Scraper,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,yes,LOTI,,,,U,,100800,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,,,,,
Ephemeroptera,Baetis alius,TRUE,,,2,,II,4,CG,Gatherer/Scraper,"SW,CN",Swimmer/Clinger,multi,Facultative Multivoltine,FALSE,,cool,Eurythermal: cool summer,,LOTI,,4.617524274,6.83449546,,,100803,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Alius Gr.,,,alius,
Ephemeroptera,Baetis bicaudatus complex,FALSE,,,2,,II,,CG,,"SW,CN",,multi,,FALSE,,stenoc,,,LOTI,5,7.158405436,8.210483805,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,bicaudatus complex,,
Ephemeroptera,Baetis flavistriga complex,FALSE,,,4,4_middle,IV_middle,,CG,,"SW,CN",,multi,,FALSE,,warm,,,LOTI,,5.441122125,8.197046601,,TRUE,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Fuscatus Gr.,,flavistriga complex,,
Ephemeroptera,Baetis notos,FALSE,1,4.264,4,4_middle,IV_middle,8,CG,Gatherer/Scraper,"SW,CN",Swimmer/Clinger,multi,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,,10.44926069,10.4229858,,TRUE,568579,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Fuscatus Gr.,,,notos,
Ephemeroptera,Baetis tricaudatus complex,FALSE,135,97652.346,4,4_worse,IV_worse,7,CG,Scraper/Gatherer,"SW,CN",Clinger/Swimmer,multi,Obligate Semivoltine,FALSE,,eurythermal,Eurythermal: warm summer,,LOTI,,11.6088744,17.64464829,U,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Baetis,,Rhodani Gr.,,tricaudatus complex,,
Ephemeroptera,Baetisca,FALSE,,,1i,,I i,,"CG,SC",Gatherer,"SP,CN",Sprawler,uni,,FALSE,,,,,RIVE,,,,,TRUE,101494,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Carapacea,,Baetiscidae,,,,Baetisca,,,,,,
Hemiptera,Belostoma,FALSE,,,,,NA,9.8,,Predator,,,,,FALSE,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Belostomatidae,Belostomatinae,,,Belostoma,,,,,,
Diptera,Bibiocephala grandis,FALSE,,,2,,II,0,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,,,,,LOTI,,,,,,121250,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Bibiocephala,,,,,grandis,
Chironomidae,Bilyjomyia,FALSE,,,2,,II,,PR,,"BU,SP",,multi,,FALSE,,,,,LOTI,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Bilyjomyia,,,,,,
Mollusca,Bivalvia,FALSE,,,NA,,NA,,CF,Filterer,UN,,NA,,FALSE,,,Eurythermal: warm summer,yes,NA,,,,,,79118,Animalia,Mollusca,,Bivalvia,,,,,,,,,,,,,,,
Diptera,Blepharicera,FALSE,,,4,4_middle,IV_middle,3,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,,,Stenothermal: cold,,LOTI,,,,,,121255,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Blepharicera,,,,,,
Diptera,Blephariceridae,FALSE,1,3,3,,III,3,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,cool,eurythermal,Stenothermal: cold,,LOTI,,1.551471011,2.702626034,,,121227,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,,,,,,,,,,
Chironomidae,Boreochlus,FALSE,,,3,,III,5,"CG,SC",Gatherer,SP,Sprawler,multi,Univoltine,FALSE,,cold,Stenothermal: cold,,GENE,,,,,,127954,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Podonominae,Boreochlini,,Boreochlus,,,,,,
Chironomidae,Boreoheptagyia,FALSE,,,3,,III,,"CG,SC",Gatherer/Scraper,"SP,CN",Clinger,multi,Univoltine,FALSE,,cold,Stenothermal: cold,,LOTI,,,,,,128343,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Boreoheptagyiini,,Boreoheptagyia,,,,,,
Trichoptera,Brachycentridae,FALSE,,,NA,,NA,5,UN,Filterer/Gatherer/Shredder,UN,Clinger,UN,,FALSE,,,,yes,LOTI,,,,,,116905,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,,,,,,,
Trichoptera,Brachycentrus,FALSE,,,3,,III,5,"CF,SC,CG",Filterer/Scraper,CN,Clinger,uni,Univoltine,FALSE,,,Eurythermal: warm summer,yes,LOTI,,,,U,,116906,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,Brachycentrus,,,,,,
Trichoptera,Brachycentrus americanus complex,FALSE,,,3,,III,,"CF,SC,CG",,CN,,uni,,FALSE,,eurythermal,,,LOTI,15,4.489850139,5.538574072,U,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,Brachycentrus,,,,Brachycentrus americanus complex,,
Trichoptera,Brachycentrus occidentalis,FALSE,10,236.312,4,4_middle,IV_middle,6,"CF,SC,CG",Filterer/Scraper,CN,Clinger,uni,Univoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,,,,,TRUE,116918,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Brachycentridae,,,,Brachycentrus,Sphinctogaster,,,,occidentalis,
Misc. Phyla,Branchiobdellida,FALSE,2,37.07,4,4_middle,IV_middle,6,PA,Gatherer,BU,Swimmer,multi,,FALSE,,warm,,,GENE,,,,,,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,,
Chironomidae,Brillia,FALSE,16,149.14,4,4_middle,IV_middle,6,SH,Shredder,"BU,SP",Burrower/Sprawler,multi,Bivo/Multivo,FALSE,cool,cool,Eurythermal: cool summer,,LOTI,,17.5314627,21.53392803,,,128477,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Brillia,,,,,,
Chironomidae,Brundiniella,FALSE,1,3,4,4_middle,IV_middle,4,PR,Predator,"BU,SP",Burrower/Sprawler,multi,Bivo/Multivo,FALSE,,cool,Stenothermal: cold,,LOTI,,41.02455068,29.45617613,,,128026,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Macropelopiini,,Brundiniella,,,,,,
Coleoptera,Brychius,FALSE,3,132.87,4,4_worse,IV_worse,8,"SC,PH",Scraper/Macrophyte Piercer,CN,Clinger/Climber/Swimmer,uni,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,,,,,111947,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Haliplidae,,,,Brychius,,,,,,
Coleoptera,Bryelmis,FALSE,,,1i,,I i,,"CG,SC",,"CN,CB",,semi,,TRUE,,cold,,,LOTI,,,,,,945749,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Bryelmis,,,,,,
Crustacea,Caecidotea,FALSE,45,3123.87,5,,V,9,OM,Gatherer/Omnivore,CB,Sprawler/Swimmer,multi,Obligate Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,72.0083846,34.51367077,,,92686,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,,Asellidae,,,,Caecidotea,,,,,,
Ephemeroptera,Caenis,FALSE,3,55.78,5,,V,9,"CG,SC",Gatherer/Scraper,SP,Sprawler/Climber,multi,Facultative Multivoltine,FALSE,stenow,stenow,Eurythermal: warm summer,,GENE,,,,,,101478,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Caenidae,Caeninae,,,Caenis,,,,,,
Plecoptera,Calineuria californica,FALSE,,,3,,III,5,PR,Predator,"SP,CN",Clinger,semi,Obligate Semivoltine,TRUE,,cowa,Eurythermal: warm summer,,LOTI,10,6.637933741,9.377502873,,,102986,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Calineuria,,,,,californica,
Ephemeroptera,Callibaetis,FALSE,1,5.56,4,4_worse,IV_worse,9,CG,Gatherer,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,,,,,100903,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Callibaetis,,,,,,
