TaxaID_orig,Name type,OTU_BCG,Modified_BCG,Rationale
COTTUS BAIRDI,scientific,COTTUS BAIRDII,TRUE,misspelling
COTTUS CAROLINAE,scientific,COTTUS CAROLINAE,FALSE,
BANDED SCULPIN,common,COTTUS CAROLINAE,TRUE,common to scientific name
COTTUS COGNATUS,scientific,COTTUS COGNATUS,FALSE,
SLIMY SCULPIN,common,COTTUS COGNATUS,TRUE,common to scientific name
COTTUS HYPSELURUS,scientific,COTTUS HYPSELURUS,FALSE,
OZARK SCULPIN,common,COTTUS HYPSELURUS,TRUE,common to scientific name
COTTUS IMMACULATUS,scientific,COTTUS IMMACULATUS,FALSE,
KNOBFIN SCULPIN,common,COTTUS IMMACULATUS,TRUE,common to scientific name
COTTUS SPECUS,scientific,COTTUS SPECUS,FALSE,
GROTTO SCULPIN,common,COTTUS SPECUS,TRUE,common to scientific name
CRYSTALLARIA ASPRELLA,scientific,CRYSTALLARIA ASPRELLA,FALSE,
CRYSTAL DARTER,common,CRYSTALLARIA ASPRELLA,TRUE,common to scientific name
CTENOPHARYNGODON IDELLA,scientific,CTENOPHARYNGODON IDELLA,FALSE,
GRASS CARP,common,CTENOPHARYNGODON IDELLA,TRUE,common to scientific name
CTENOPHARYNODON IDELLA,scientific,CTENOPHARYNGODON IDELLA,TRUE,misspelling
CULAEA INCONSTANS,scientific,CULAEA INCONSTANS,FALSE,
BROOK STICKLEBACK,common,CULAEA INCONSTANS,TRUE,common to scientific name
CYCLEPTUS ELONGATUS,scientific,CYCLEPTUS ELONGATUS,FALSE,
BLUE SUCKER,common,CYCLEPTUS ELONGATUS,TRUE,common to scientific name
CYCLEPTUS ELONGUS,scientific,CYCLEPTUS ELONGATUS,TRUE,misspelling
CYPRINELLA,scientific,CYPRINELLA,FALSE,
SATINFIN SHINERS,common,CYPRINELLA,TRUE,common to scientific name
CYPRINELLA SP.,scientific,CYPRINELLA,TRUE,syntax
CYPRINELLA SPP.,scientific,CYPRINELLA,TRUE,syntax
CYPRINELLA CAMURA,scientific,CYPRINELLA CAMURA,FALSE,
BLUNTFACE SHINER,common,CYPRINELLA CAMURA,TRUE,common to scientific name
CYPRINELLA GALACTURA,scientific,CYPRINELLA GALACTURA,FALSE,
WHITETAIL SHINER,common,CYPRINELLA GALACTURA,TRUE,common to scientific name
CYPRINELLA LUTRENSIS,scientific,CYPRINELLA LUTRENSIS,FALSE,
RED SHINER,common,CYPRINELLA LUTRENSIS,TRUE,common to scientific name
CYPRINELLA LUTRENSIS X SPILOPTERA,scientific,CYPRINELLA LUTRENSIS X SPILOPTERA,FALSE,
HYBRID: RED SHINER X SPOTFIN SHINER,common,CYPRINELLA LUTRENSIS X SPILOPTERA,TRUE,common to scientific name
RED SHINER X SPOTFIN SHINER,common,CYPRINELLA LUTRENSIS X SPILOPTERA,TRUE,common to scientific name
CYPRINELLA SPILOPTERA,scientific,CYPRINELLA SPILOPTERA,FALSE,
SPOTFIN SHINER,common,CYPRINELLA SPILOPTERA,TRUE,common to scientific name
CYPRINELLA VENUSTA,scientific,CYPRINELLA VENUSTA,FALSE,
BLACKTAIL SHINER,common,CYPRINELLA VENUSTA,TRUE,common to scientific name
CYPRINELLA VENUSTUS,scientific,CYPRINELLA VENUSTA,TRUE,slight name difference
CYPRINELLA WHIPPLEI,scientific,CYPRINELLA WHIPPLEI,FALSE,
STEELCOLOR SHINER,common,CYPRINELLA WHIPPLEI,TRUE,common to scientific name
CYPRINIDAE,scientific,CYPRINIDAE,FALSE,
MINNOW (UNIDENTIFIED),common,CYPRINIDAE,TRUE,common to scientific name
MINNOWS AND CARPS,common,CYPRINIDAE,TRUE,common to scientific name
CYPRINIDAE - UNIDENTIFIED,scientific,CYPRINIDAE,TRUE,naming scheme
CYPRINIDAE HYBRID,scientific,CYPRINIDAE HYBRID,FALSE,
HYBRID MINNOW,common,CYPRINIDAE HYBRID,TRUE,common to scientific name
HYBRID MINNOWS,common,CYPRINIDAE HYBRID,TRUE,common to scientific name
HYBRID MINNOWS AND CARPS,common,CYPRINIDAE HYBRID,TRUE,common to scientific name
CYPRINODON RUBROFLUVIATILIS,scientific,CYPRINODON RUBROFLUVIATILIS,FALSE,
RED RIVER PUPFISH,common,CYPRINODON RUBROFLUVIATILIS,TRUE,common to scientific name
CYPRINUS CARPIO,scientific,CYPRINUS CARPIO,FALSE,
COMMON CARP,common,CYPRINUS CARPIO,TRUE,common to scientific name
DOROSOMA,scientific,DOROSOMA,FALSE,
SHAD,common,DOROSOMA,TRUE,common to scientific name
SHAD (UNIDENTIFIED),common,DOROSOMA,TRUE,common to scientific name
DOROSOMA SP.,scientific,DOROSOMA,TRUE,syntax
DOROSOMA CEPEDIANUM,scientific,DOROSOMA CEPEDIANUM,FALSE,
GIZZARD SHAD,common,DOROSOMA CEPEDIANUM,TRUE,common to scientific name
DOROSOMA PETENENSE,scientific,DOROSOMA PETENENSE,FALSE,
THREADFIN SHAD,common,DOROSOMA PETENENSE,TRUE,common to scientific name
ELASSOMA ZONATUM,scientific,ELASSOMA ZONATUM,FALSE,
BANDED PYGMY SUNFISH,common,ELASSOMA ZONATUM,TRUE,common to scientific name
ERIMYSTAX HARRYI,scientific,ERIMYSTAX HARRYI,FALSE,
OZARK CHUB,common,ERIMYSTAX HARRYI,TRUE,common to scientific name
ERIMYSTAX X-PUNCTATUS,scientific,ERIMYSTAX X-PUNCTATUS,FALSE,
GRAVEL CHUB,common,ERIMYSTAX X-PUNCTATUS,TRUE,common to scientific name
ERIMYZON CLAVIFORMIS,scientific,ERIMYZON CLAVIFORMIS,FALSE,
WESTERN CREEK CHUBSUCKER,common,ERIMYZON CLAVIFORMIS,TRUE,common to scientific name
ERIMYZON OBLONGUS,scientific,ERIMYZON OBLONGUS,FALSE,
CREEK CHUBSUCKER,common,ERIMYZON OBLONGUS,TRUE,common to scientific name
ERIMYZON SUCETTA,scientific,ERIMYZON SUCETTA,FALSE,
LAKE CHUBSUCKER,common,ERIMYZON SUCETTA,TRUE,common to scientific name
ESOX AMERICANUS,scientific,ESOX AMERICANUS,FALSE,
REDFIN OR GRASS PICKEREL,common,ESOX AMERICANUS,TRUE,common to scientific name
ESOX AMERICANUS VERMICULATUS,scientific,ESOX AMERICANUS,TRUE,removed sub-species
ESOX LUCIUS,scientific,ESOX LUCIUS,FALSE,
NORTHERN PIKE,common,ESOX LUCIUS,TRUE,common to scientific name
ESOX MASQUINONGY,scientific,ESOX MASQUINONGY,FALSE,
MUSKELLUNGE,common,ESOX MASQUINONGY,TRUE,common to scientific name
ESOX NIGER,scientific,ESOX NIGER,FALSE,
CHAIN PICKEREL,common,ESOX NIGER,TRUE,common to scientific name
ETHEOSTOMA,scientific,ETHEOSTOMA,FALSE,
DARTER,common,ETHEOSTOMA,TRUE,common to scientific name
ETHEOSTOMA ARTESIAE,scientific,ETHEOSTOMA ARTESIAE,FALSE,
REDSPOT DARTER,common,ETHEOSTOMA ARTESIAE,TRUE,common to scientific name
ETHEOSTOMA ASPRIGENE,scientific,ETHEOSTOMA ASPRIGENE,FALSE,
MUD DARTER,common,ETHEOSTOMA ASPRIGENE,TRUE,common to scientific name
ETHEOSTOMA AUTUMNALE,scientific,ETHEOSTOMA AUTUMNALE,FALSE,
AUTUMN DARTER,common,ETHEOSTOMA AUTUMNALE,TRUE,common to scientific name
ETHEOSTOMA BLENNIOIDES,scientific,ETHEOSTOMA BLENNIOIDES,FALSE,
GREENSIDE DARTER,common,ETHEOSTOMA BLENNIOIDES,TRUE,common to scientific name
ETHEOSTOMA BURRI,scientific,ETHEOSTOMA BURRI,FALSE,
BROOK DARTER,common,ETHEOSTOMA BURRI,TRUE,common to scientific name
ETHEOSTOMA CAERULEUM,scientific,ETHEOSTOMA CAERULEUM,FALSE,
RAINBOW DARTER,common,ETHEOSTOMA CAERULEUM,TRUE,common to scientific name
ETHEOSTOMA CHLOROSOMA,scientific,ETHEOSTOMA CHLOROSOMA,FALSE,
BLUNTNOSE DARTER,common,ETHEOSTOMA CHLOROSOMA,TRUE,common to scientific name
ETHEOSTOMA CHLOROSOMUM,scientific,ETHEOSTOMA CHLOROSOMA,TRUE,slight name difference
ETHEOSTOMA COLLETTEI,scientific,ETHEOSTOMA COLLETTEI,FALSE,
CREOLE DARTER,common,ETHEOSTOMA COLLETTEI,TRUE,common to scientific name
ETHEOSTOMA CRAGINI,scientific,ETHEOSTOMA CRAGINI,FALSE,
ARKANSAS DARTER,common,ETHEOSTOMA CRAGINI,TRUE,common to scientific name
ETHEOSTOMA ERYTHROZONUM,scientific,ETHEOSTOMA ERYTHROZONUM,FALSE,
MERAMEC SADDLED DARTER,common,ETHEOSTOMA ERYTHROZONUM,TRUE,common to scientific name
ETHEOSTOMA EUZONUM,scientific,ETHEOSTOMA EUZONUM,FALSE,
ARKANSAS SADDLED DARTER,common,ETHEOSTOMA EUZONUM,TRUE,common to scientific name
ETHEOSTOMA EXILE,scientific,ETHEOSTOMA EXILE,FALSE,
IOWA DARTER,common,ETHEOSTOMA EXILE,TRUE,common to scientific name
ETHEOSTOMA FLABELLARE,scientific,ETHEOSTOMA FLABELLARE,FALSE,
FANTAIL DARTER,common,ETHEOSTOMA FLABELLARE,TRUE,common to scientific name
ETHEOSTOMA FLABELLARE FLABELLARE,scientific,ETHEOSTOMA FLABELLARE FLABELLARE,FALSE,
BARRED FANTAIL DARTER,common,ETHEOSTOMA FLABELLARE FLABELLARE,TRUE,common to scientific name
ETHEOSTOMA FLABELLARE LINEOLATUM,scientific,ETHEOSTOMA FLABELLARE LINEOLATUM,FALSE,
STRIPED FANTAIL DARTER,common,ETHEOSTOMA FLABELLARE LINEOLATUM,TRUE,common to scientific name
ETHEOSTOMA FUSIFORME,scientific,ETHEOSTOMA FUSIFORME,FALSE,
SWAMP DARTER,common,ETHEOSTOMA FUSIFORME,TRUE,common to scientific name
ETHEOSTOMA GRACILE,scientific,ETHEOSTOMA GRACILE,FALSE,
SLOUGH DARTER,common,ETHEOSTOMA GRACILE,TRUE,common to scientific name
ETHEOSTOMA HISTRIO,scientific,ETHEOSTOMA HISTRIO,FALSE,
HARLEQUIN DARTER,common,ETHEOSTOMA HISTRIO,TRUE,common to scientific name
ETHEOSTOMA MICROPERCA,scientific,ETHEOSTOMA MICROPERCA,FALSE,
LEAST DARTER,common,ETHEOSTOMA MICROPERCA,TRUE,common to scientific name
ETHEOSTOMA MIHILEZE,scientific,ETHEOSTOMA MIHILEZE,FALSE,
SUNBURST DARTER,common,ETHEOSTOMA MIHILEZE,TRUE,common to scientific name
ETHEOSTOMA NIANGUAE,scientific,ETHEOSTOMA NIANGUAE,FALSE,
NIANGUA DARTER,common,ETHEOSTOMA NIANGUAE,TRUE,common to scientific name
ETHEOSTOMA NIGRUM,scientific,ETHEOSTOMA NIGRUM,FALSE,
JOHNNY DARTER,common,ETHEOSTOMA NIGRUM,TRUE,common to scientific name
ETHEOSTOMA PARVIPINNE,scientific,ETHEOSTOMA PARVIPINNE,FALSE,
GOLDSTRIPE DARTER,common,ETHEOSTOMA PARVIPINNE,TRUE,common to scientific name
ETHEOSTOMA PROELIARE,scientific,ETHEOSTOMA PROELIARE,FALSE,
CYPRESS DARTER,common,ETHEOSTOMA PROELIARE,TRUE,common to scientific name
ETHEOSTOMA PROLIERE,scientific,ETHEOSTOMA PROELIARE,TRUE,misspelling
ETHEOSTOMA PUNCTULATUM,scientific,ETHEOSTOMA PUNCTULATUM,FALSE,
STIPPLED DARTER,common,ETHEOSTOMA PUNCTULATUM,TRUE,common to scientific name
ETHEOSTOMA RADIOSUM,scientific,ETHEOSTOMA RADIOSUM,FALSE,
ORANGEBELLY DARTER,common,ETHEOSTOMA RADIOSUM,TRUE,common to scientific name
ETHEOSTOMA SPECTABILE,scientific,ETHEOSTOMA SPECTABILE,FALSE,
ORANGETHROAT DARTER,common,ETHEOSTOMA SPECTABILE,TRUE,common to scientific name
ETHEOSTOMA STIGMAEUM,scientific,ETHEOSTOMA STIGMAEUM,FALSE,
SPECKLED DARTER,common,ETHEOSTOMA STIGMAEUM,TRUE,common to scientific name
ETHEOSTOMA TEDDYROOSEVELT,scientific,ETHEOSTOMA TEDDYROOSEVELT,FALSE,
HIGHLAND DARTER,common,ETHEOSTOMA TEDDYROOSEVELT,TRUE,common to scientific name
ETHEOSTOMA TETRAZONUM,scientific,ETHEOSTOMA TETRAZONUM,FALSE,
MISSOURI SADDLED DARTER,common,ETHEOSTOMA TETRAZONUM,TRUE,common to scientific name
ETHEOSTOMA UNIPORUM,scientific,ETHEOSTOMA UNIPORUM,FALSE,
CURRENT DARTER,common,ETHEOSTOMA UNIPORUM,TRUE,common to scientific name
ETHEOSTOMA WHIPPLEI,scientific,ETHEOSTOMA WHIPPLEI,FALSE,
REDFIN DARTER,common,ETHEOSTOMA WHIPPLEI,TRUE,common to scientific name
ETHEOSTOMA ZONALE,scientific,ETHEOSTOMA ZONALE,FALSE,
BANDED DARTER,common,ETHEOSTOMA ZONALE,TRUE,common to scientific name
FUNDULUS,scientific,FUNDULUS,FALSE,
TOPMINNOWS,common,FUNDULUS,TRUE,common to scientific name
FUNDULUS CATENATUS,scientific,FUNDULUS CATENATUS,FALSE,
NORTHERN STUDFISH,common,FUNDULUS CATENATUS,TRUE,common to scientific name
FUNDULUS CHRYSOTUS,scientific,FUNDULUS CHRYSOTUS,FALSE,
GOLDEN TOPMINNOW,common,FUNDULUS CHRYSOTUS,TRUE,common to scientific name
FUNDULUS DISPAR,scientific,FUNDULUS DISPAR,FALSE,
STARHEAD TOPMINNOW,common,FUNDULUS DISPAR,TRUE,common to scientific name
FUNDULUS KANSAE,scientific,FUNDULUS KANSAE,FALSE,
NORTHERN PLAINS KILLIFISH,common,FUNDULUS KANSAE,TRUE,common to scientific name
FUNDULUS KANSII,scientific,FUNDULUS KANSAE,TRUE,slight name difference
FUNDULUS NOTATUS,scientific,FUNDULUS NOTATUS,FALSE,
BLACKSTRIPE TOPMINNOW,common,FUNDULUS NOTATUS,TRUE,common to scientific name
FUNDULUS OLIVACEUS,scientific,FUNDULUS OLIVACEUS,FALSE,
BLACKSPOTTED TOPMINNOW,common,FUNDULUS OLIVACEUS,TRUE,common to scientific name
FUNDULUS SCIADICUS,scientific,FUNDULUS SCIADICUS,FALSE,
PLAINS TOPMINNOW,common,FUNDULUS SCIADICUS,TRUE,common to scientific name
FUNDULUS ZEBRINUS,scientific,FUNDULUS ZEBRINUS,FALSE,
PLAINS KILLIFISH,common,FUNDULUS ZEBRINUS,TRUE,common to scientific name
GAMBUSIA AFFINIS,scientific,GAMBUSIA AFFINIS,FALSE,
WESTERN MOSQUITOFISH,common,GAMBUSIA AFFINIS,TRUE,common to scientific name
GUMBUSIA AFFINIS,scientific,GAMBUSIA AFFINIS,TRUE,misspelling
HIODON ALOSOIDES,scientific,HIODON ALOSOIDES,FALSE,
GOLDEYE,common,HIODON ALOSOIDES,TRUE,common to scientific name
HIODON TERGISUS,scientific,HIODON TERGISUS,FALSE,
MOONEYE,common,HIODON TERGISUS,TRUE,common to scientific name
HYBOGNATHUS,scientific,HYBOGNATHUS,FALSE,
SILVERY MINNOW,common,HYBOGNATHUS,TRUE,common to scientific name
HYBOGNATHUS SPP.,scientific,HYBOGNATHUS,TRUE,syntax
HYBOGNATHUS ARGYRITIS,scientific,HYBOGNATHUS ARGYRITIS,FALSE,
WESTERN SILVERY MINNOW,common,HYBOGNATHUS ARGYRITIS,TRUE,common to scientific name
HYBOGNATHUS HANKINSONI,scientific,HYBOGNATHUS HANKINSONI,FALSE,
BRASSY MINNOW,common,HYBOGNATHUS HANKINSONI,TRUE,common to scientific name
HYBOGNATHUS HAYI,scientific,HYBOGNATHUS HAYI,FALSE,
CYPRESS MINNOW,common,HYBOGNATHUS HAYI,TRUE,common to scientific name
HYBOGNATHUS NUCHALIS,scientific,HYBOGNATHUS NUCHALIS,FALSE,
MISSISSIPPI SILVERY MINNOW,common,HYBOGNATHUS NUCHALIS,TRUE,common to scientific name
HYBOGNATHUS PLACITUS,scientific,HYBOGNATHUS PLACITUS,FALSE,
PLAINS MINNOW,common,HYBOGNATHUS PLACITUS,TRUE,common to scientific name
HYBOPSIS AMBLOPS,scientific,HYBOPSIS AMBLOPS,FALSE,
BIGEYE CHUB,common,HYBOPSIS AMBLOPS,TRUE,common to scientific name
HYBOPSIS AMNIS,scientific,HYBOPSIS AMNIS,FALSE,
PALLID SHINER,common,HYBOPSIS AMNIS,TRUE,common to scientific name
HYBOPSIS DORSALIS,scientific,HYBOPSIS DORSALIS,FALSE,
BIGMOUTH SHINER,common,HYBOPSIS DORSALIS,TRUE,common to scientific name
NOTROPIS DORSALIS,scientific,HYBOPSIS DORSALIS,TRUE,nomenclature (genus)
HYPENTELIUM NIGRICANS,scientific,HYPENTELIUM NIGRICANS,FALSE,
NORTHERN HOG SUCKER,common,HYPENTELIUM NIGRICANS,TRUE,common to scientific name
HYPOPHTHALMICHTHYS MOLITRIX,scientific,HYPOPHTHALMICHTHYS MOLITRIX,FALSE,
SILVER CARP,common,HYPOPHTHALMICHTHYS MOLITRIX,TRUE,common to scientific name
HYPOPHTHALMICHTHYS NOBILIS,scientific,HYPOPHTHALMICHTHYS NOBILIS,FALSE,
HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,scientific,HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,FALSE,
BIGHEAD CARP,common,HYPOPHTHALMICHTHYS NOBILIS,TRUE,common to scientific name
BIGHEAD CARP X SILVER CARP,common,HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,TRUE,common to scientific name
ICHTHYOMYZON,scientific,ICHTHYOMYZON,FALSE,
LAMPREY ICHTHYOMYZON,common,ICHTHYOMYZON,TRUE,common to scientific name
ICHTHYOMYZON SP,scientific,ICHTHYOMYZON,TRUE,syntax
ICHTHYOMYZON SP.,scientific,ICHTHYOMYZON,TRUE,syntax
ICHTHYOMYZON CASTANEUS,scientific,ICHTHYOMYZON CASTANEUS,FALSE,
CHESTNUT LAMPREY,common,ICHTHYOMYZON CASTANEUS,TRUE,common to scientific name
ICHTHYOMYZON FOSSOR,scientific,ICHTHYOMYZON FOSSOR,FALSE,
NORTHERN BROOK LAMPREY,common,ICHTHYOMYZON FOSSOR,TRUE,common to scientific name
ICHTHYOMYZON GAGEI,scientific,ICHTHYOMYZON GAGEI,FALSE,
SOUTHERN BROOK LAMPREY,common,ICHTHYOMYZON GAGEI,TRUE,common to scientific name
ICHTHYOMYZON UNICUSPIS,scientific,ICHTHYOMYZON UNICUSPIS,FALSE,
SILVER LAMPREY,common,ICHTHYOMYZON UNICUSPIS,TRUE,common to scientific name
ICTALURUS FURCATUS,scientific,ICTALURUS FURCATUS,FALSE,
BLUE CATFISH,common,ICTALURUS FURCATUS,TRUE,common to scientific name
ICTALURUS PUNCTATUS,scientific,ICTALURUS PUNCTATUS,FALSE,
CHANNEL CATFISH,common,ICTALURUS PUNCTATUS,TRUE,common to scientific name
ICTIOBUS,scientific,ICTIOBUS,FALSE,
BUFFALO,common,ICTIOBUS,TRUE,common to scientific name
BUFFALO (UNIDENTIFIED),common,ICTIOBUS,TRUE,common to scientific name
ICTIOBUS SP.,scientific,ICTIOBUS,TRUE,syntax
ICTIOBUS SPP.,scientific,ICTIOBUS,TRUE,syntax
ICTIOBUS BUBALUS,scientific,ICTIOBUS BUBALUS,FALSE,
SMALLMOUTH BUFFALO,common,ICTIOBUS BUBALUS,TRUE,common to scientific name
ICTIOBUS BUBALUS X NIGER,scientific,ICTIOBUS BUBALUS X NIGER,FALSE,
SMALLMOUTH X BLACK BUFFALO,common,ICTIOBUS BUBALUS X NIGER,TRUE,common to scientific name
SMALLMOUTH X BLACK BUFFALO HYBRID,common,ICTIOBUS BUBALUS X NIGER,TRUE,common to scientific name
ICTIOBUS CYPRINELLUS,scientific,ICTIOBUS CYPRINELLUS,FALSE,
BIGMOUTH BUFFALO,common,ICTIOBUS CYPRINELLUS,TRUE,common to scientific name
ICTIOBUS NIGER,scientific,ICTIOBUS NIGER,FALSE,
